Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.09281776762576915+0j),[0.00096148],[1.],[0.57478195],[1.],"(array([0.12749185]), array([-0.00512196]))","(array([0.00890193]), array([-0.0154186]))","(array([0.01490807]), array([-0.02582153]))","(array([0.02100862]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706249]))","(array([0.03336009]), array([-0.05778137]))","(array([0.03949157]), array([-0.06840141]))","(array([0.04552807]), array([-0.07885694]))","(array([0.05136803]), array([-0.08897205]))","(array([0.05697928]), array([-0.09869101]))","(array([0.06233024]), array([-0.10774126]))"
(0.1086789320503447+0j),[0.00366674],[1.],[0.61457472],[1.],"(array([0.14303094]), array([-0.01489523]))","(array([0.01490807]), array([-0.02582154]))","(array([0.02100862]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706249]))","(array([0.03336009]), array([-0.05778137]))","(array([0.03949157]), array([-0.06840141]))","(array([0.04552808]), array([-0.07885694]))","(array([0.05136804]), array([-0.08897205]))","(array([0.05697928]), array([-0.09869101]))","(array([0.06233024]), array([-0.10774126]))","(array([0.06751775]), array([-0.11589745]))"
(0.12530098386984143+0j),[0.0079677],[1.],[0.65129841],[1.],"(array([0.15766465]), array([-0.02450704]))","(array([0.02100862]), array([-0.03638799]))","(array([0.02717154]), array([-0.04706249]))","(array([0.03336009]), array([-0.05778137]))","(array([0.03949158]), array([-0.06840142]))","(array([0.04552808]), array([-0.07885695]))","(array([0.05136804]), array([-0.08897206]))","(array([0.05697929]), array([-0.09869102]))","(array([0.06233025]), array([-0.10774127]))","(array([0.06751776]), array([-0.11589746]))","(array([0.07251668]), array([-0.1229736]))"
(0.1413243878505877+0j),[0.01370995],[1.],[0.68225633],[1.],"(array([0.17139064]), array([-0.03394016]))","(array([0.02717154]), array([-0.0470625]))","(array([0.03336009]), array([-0.05778138]))","(array([0.03949158]), array([-0.06840143]))","(array([0.04552808]), array([-0.07885696]))","(array([0.05136805]), array([-0.08897207]))","(array([0.05697929]), array([-0.09869103]))","(array([0.06233026]), array([-0.10774128]))","(array([0.06751777]), array([-0.11589747]))","(array([0.07251669]), array([-0.12297361]))","(array([0.07731091]), array([-0.12901078]))"
(0.15740848492270082+0j),[0.02073907],[1.],[0.70955281],[1.],"(array([0.18411926]), array([-0.0431735]))","(array([0.0333601]), array([-0.05778139]))","(array([0.03949159]), array([-0.06840144]))","(array([0.04552809]), array([-0.07885697]))","(array([0.05136806]), array([-0.08897209]))","(array([0.05697931]), array([-0.09869106]))","(array([0.06233027]), array([-0.10774131]))","(array([0.06751778]), array([-0.11589749]))","(array([0.0725167]), array([-0.12297364]))","(array([0.07731092]), array([-0.1290108]))","(array([0.08184185]), array([-0.13397628]))"
(0.17251663490812752+0j),[0.02890153],[1.],[0.73166847],[1.],"(array([0.19587235]), array([-0.0521787]))","(array([0.0394916]), array([-0.06840145]))","(array([0.0455281]), array([-0.07885699]))","(array([0.05136807]), array([-0.08897211]))","(array([0.05697932]), array([-0.09869108]))","(array([0.06233029]), array([-0.10774134]))","(array([0.0675178]), array([-0.11589753]))","(array([0.07251672]), array([-0.12297367]))","(array([0.07731094]), array([-0.12901083]))","(array([0.08184187]), array([-0.13397631]))","(array([0.08610823]), array([-0.13793851]))"
(0.18707232789719896+0j),[0.03805312],[1.],[0.74999304],[1.],"(array([0.2065588]), array([-0.06084554]))","(array([0.04552811]), array([-0.07885701]))","(array([0.05136809]), array([-0.08897213]))","(array([0.05697934]), array([-0.09869111]))","(array([0.06233031]), array([-0.10774138]))","(array([0.06751782]), array([-0.11589757]))","(array([0.07251675]), array([-0.12297371]))","(array([0.07731096]), array([-0.12901087]))","(array([0.08184189]), array([-0.13397635]))","(array([0.08610826]), array([-0.13793854]))","(array([0.09007726]), array([-0.14090666]))"
(0.20042732302518082+0j),[0.04805731],[1.],[0.76393214],[1.],"(array([0.21622614]), array([-0.06914055]))","(array([0.0513681]), array([-0.08897216]))","(array([0.05697936]), array([-0.09869115]))","(array([0.06233033]), array([-0.10774142]))","(array([0.06751785]), array([-0.11589762]))","(array([0.07251678]), array([-0.12297377]))","(array([0.07731099]), array([-0.12901093]))","(array([0.08184192]), array([-0.1339764]))","(array([0.08610829]), array([-0.13793859]))","(array([0.09007729]), array([-0.14090671]))","(array([0.09376378]), array([-0.14297083]))"
(0.21277227314068384+0j),[0.05876693],[1.],[0.77431753],[1.],"(array([0.22480284]), array([-0.07691939]))","(array([0.05697938]), array([-0.09869118]))","(array([0.06233036]), array([-0.10774146]))","(array([0.06751788]), array([-0.11589768]))","(array([0.07251682]), array([-0.12297383]))","(array([0.07731104]), array([-0.129011]))","(array([0.08184196]), array([-0.13397647]))","(array([0.08610833]), array([-0.13793866]))","(array([0.09007733]), array([-0.14090677]))","(array([0.09376382]), array([-0.14297089]))","(array([0.09715547]), array([-0.14417282]))"
(0.22385371245792957+0j),[0.07003183],[1.],[0.78120311],[1.],"(array([0.23235502]), array([-0.08416019]))","(array([0.06233039]), array([-0.10774151]))","(array([0.06751792]), array([-0.11589773]))","(array([0.07251686]), array([-0.1229739]))","(array([0.07731109]), array([-0.12901108]))","(array([0.08184202]), array([-0.13397656]))","(array([0.08610838]), array([-0.13793874]))","(array([0.09007738]), array([-0.14090685]))","(array([0.09376387]), array([-0.14297097]))","(array([0.09715552]), array([-0.1441729]))","(array([0.10027216]), array([-0.14461467]))"
