Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.29016634623252463+0j),[0.00343589],[1.],[0.86369314],[1.],"(array([0.20647368]), array([-0.02374125]))","(array([0.0241964]), array([-0.0419094]))","(array([0.03489873]), array([-0.06044637]))","(array([0.0457269]), array([-0.07920131]))","(array([0.05626002]), array([-0.09744522]))","(array([0.06609782]), array([-0.11448479]))","(array([0.07490482]), array([-0.12973896]))","(array([0.08243466]), array([-0.14278103]))","(array([0.08853976]), array([-0.15335537]))","(array([0.09323312]), array([-0.16127374]))","(array([0.09666959]), array([-0.16644512]))"
(0.31926822666104626+0j),[0.00730012],[1.],[0.87332632],[1.],"(array([0.22010737]), array([-0.04069182]))","(array([0.03489874]), array([-0.06044639]))","(array([0.04572692]), array([-0.07920135]))","(array([0.05626006]), array([-0.09744528]))","(array([0.06609786]), array([-0.11448486]))","(array([0.07490487]), array([-0.12973904]))","(array([0.08243472]), array([-0.14278112]))","(array([0.08853982]), array([-0.15335547]))","(array([0.09323318]), array([-0.16127384]))","(array([0.09666963]), array([-0.1664452]))","(array([0.09901]), array([-0.16905529]))"
(0.3437974755246084+0j),[0.01228007],[1.],[0.87342783],[1.],"(array([0.23187454]), array([-0.05822992]))","(array([0.04572695]), array([-0.07920141]))","(array([0.05626011]), array([-0.09744537]))","(array([0.06609793]), array([-0.11448497]))","(array([0.07490494]), array([-0.12973917]))","(array([0.08243482]), array([-0.1427813]))","(array([0.08853994]), array([-0.15335567]))","(array([0.09323329]), array([-0.16127403]))","(array([0.09666973]), array([-0.16644538]))","(array([0.0990101]), array([-0.16905545]))","(array([0.10040756]), array([-0.16947825]))"
(0.36354880832141623+0j),[0.01814036],[1.],[0.86600634],[1.],"(array([0.24184655]), array([-0.07576168]))","(array([0.05626017]), array([-0.09744548]))","(array([0.06609802]), array([-0.11448513]))","(array([0.07490506]), array([-0.12973936]))","(array([0.08243496]), array([-0.14278155]))","(array([0.08854011]), array([-0.15335597]))","(array([0.09323346]), array([-0.16127433]))","(array([0.09666989]), array([-0.16644567]))","(array([0.09901024]), array([-0.16905571]))","(array([0.10040769]), array([-0.16947849]))","(array([0.10103892]), array([-0.16812548]))"
(0.378733860842244+0j),[0.02465372],[1.],[0.85301232],[1.],"(array([0.25005086]), array([-0.09261005]))","(array([0.06609813]), array([-0.11448531]))","(array([0.0749052]), array([-0.1297396]))","(array([0.08243512]), array([-0.14278183]))","(array([0.0885403]), array([-0.15335633]))","(array([0.09323367]), array([-0.16127473]))","(array([0.0966701]), array([-0.16644605]))","(array([0.09901044]), array([-0.16905606]))","(array([0.10040787]), array([-0.16947882]))","(array([0.10103909]), array([-0.16812579]))","(array([0.10108328]), array([-0.16541116]))"
(0.389962190823368+0j),[0.03163936],[1.],[0.83624569],[1.],"(array([0.25651124]), array([-0.10812717]))","(array([0.07490536]), array([-0.12973987]))","(array([0.08243532]), array([-0.14278216]))","(array([0.08854051]), array([-0.1533567]))","(array([0.09323392]), array([-0.16127516]))","(array([0.09667037]), array([-0.16644653]))","(array([0.09901069]), array([-0.16905651]))","(array([0.10040811]), array([-0.16947923]))","(array([0.10103932]), array([-0.16812619]))","(array([0.1010835]), array([-0.16541156]))","(array([0.10071333]), array([-0.16172527]))"
(0.3981758846283094+0j),[0.03889459],[1.],[0.81727889],[1.],"(array([0.26127288]), array([-0.12177462]))","(array([0.08243553]), array([-0.14278253]))","(array([0.08854074]), array([-0.15335709]))","(array([0.09323417]), array([-0.1612756]))","(array([0.09667066]), array([-0.16644704]))","(array([0.099011]), array([-0.16905706]))","(array([0.1004084]), array([-0.16947974]))","(array([0.10103959]), array([-0.16812665]))","(array([0.10108377]), array([-0.16541202]))","(array([0.10071359]), array([-0.16172574]))","(array([0.10008246]), array([-0.15741875]))"
(0.40448585999124514+0j),[0.04612818],[1.],[0.79734416],[1.],"(array([0.26440518]), array([-0.13318107]))","(array([0.08854102]), array([-0.15335757]))","(array([0.09323445]), array([-0.16127608]))","(array([0.09667095]), array([-0.16644755]))","(array([0.09901132]), array([-0.16905763]))","(array([0.10040875]), array([-0.16948034]))","(array([0.10103993]), array([-0.1681272]))","(array([0.10108408]), array([-0.16541251]))","(array([0.1007139]), array([-0.16172625]))","(array([0.10008277]), array([-0.15741927]))","(array([0.09930065]), array([-0.1527927]))"
(0.4099528501684906+0j),[0.05293763],[1.],[0.777273],[1.],"(array([0.26599232]), array([-0.14216914]))","(array([0.09323483]), array([-0.1612767]))","(array([0.09667132]), array([-0.16644814]))","(array([0.09901169]), array([-0.16905825]))","(array([0.10040914]), array([-0.16948101]))","(array([0.10104032]), array([-0.16812787]))","(array([0.10108447]), array([-0.16541313]))","(array([0.10071426]), array([-0.16172681]))","(array([0.10008313]), array([-0.15741986]))","(array([0.09930101]), array([-0.1527933]))","(array([0.09841603]), array([-0.14808695]))"
(0.4153576774022337+0j),[0.05894488],[1.],[0.75752695],[1.],"(array([0.26619212]), array([-0.14863865]))","(array([0.0966718]), array([-0.16644894]))","(array([0.09901215]), array([-0.16905898]))","(array([0.10040959]), array([-0.16948175]))","(array([0.1010408]), array([-0.16812866]))","(array([0.10108493]), array([-0.16541389]))","(array([0.10071471]), array([-0.16172749]))","(array([0.10008355]), array([-0.1574205]))","(array([0.09930144]), array([-0.15279398]))","(array([0.09841646]), array([-0.14808766]))","(array([0.09742474]), array([-0.14347099]))"
