Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.2586494763136575+0j),[0.0009197],[1.],[0.84396011],[1.],"(array([0.1911717]), array([-0.0077817]))","(array([0.01406618]), array([-0.02436335]))","(array([0.02431312]), array([-0.04211156]))","(array([0.03505352]), array([-0.06071447]))","(array([0.04591244]), array([-0.07952269]))","(array([0.05646754]), array([-0.09780465]))","(array([0.06631742]), array([-0.11486514]))","(array([0.07512605]), array([-0.13012214]))","(array([0.08264714]), array([-0.14314905]))","(array([0.08873381]), array([-0.15369146]))","(array([0.09340033]), array([-0.1615633]))"
(0.2918119697861123+0j),[0.00343313],[1.],[0.86471762],[1.],"(array([0.20681413]), array([-0.02386784]))","(array([0.02431313]), array([-0.04211158]))","(array([0.03505354]), array([-0.06071451]))","(array([0.04591247]), array([-0.07952274]))","(array([0.05646758]), array([-0.09780471]))","(array([0.06631745]), array([-0.1148652]))","(array([0.07512608]), array([-0.13012219]))","(array([0.08264717]), array([-0.1431491]))","(array([0.08873384]), array([-0.15369152]))","(array([0.09340036]), array([-0.16156334]))","(array([0.09680311]), array([-0.16667693]))"
(0.32098546146927653+0j),[0.0072878],[1.],[0.87400352],[1.],"(array([0.2204161]), array([-0.04089565]))","(array([0.03505355]), array([-0.06071453]))","(array([0.0459125]), array([-0.07952278]))","(array([0.05646761]), array([-0.09780477]))","(array([0.0663175]), array([-0.11486527]))","(array([0.07512613]), array([-0.13012227]))","(array([0.08264723]), array([-0.1431492]))","(array([0.0887339]), array([-0.15369162]))","(array([0.09340041]), array([-0.16156344]))","(array([0.09680316]), array([-0.16667701]))","(array([0.09910458]), array([-0.1692224]))"
(0.3455498291058875+0j),[0.0122486],[1.],[0.873749],[1.],"(array([0.23214175]), array([-0.05850295]))","(array([0.04591253]), array([-0.07952284]))","(array([0.05646766]), array([-0.09780486]))","(array([0.06631756]), array([-0.11486539]))","(array([0.07512621]), array([-0.13012241]))","(array([0.08264734]), array([-0.14314938]))","(array([0.08873402]), array([-0.15369183]))","(array([0.09340052]), array([-0.16156363]))","(array([0.09680326]), array([-0.16667719]))","(array([0.09910467]), array([-0.16922256]))","(array([0.10045953]), array([-0.16957805]))"
(0.3653026448779856+0j),[0.01807794],[1.],[0.86597834],[1.],"(array([0.24206476]), array([-0.07609365]))","(array([0.05646773]), array([-0.09780497]))","(array([0.06631766]), array([-0.11486555]))","(array([0.07512632]), array([-0.1301226]))","(array([0.08264748]), array([-0.14314963]))","(array([0.08873419]), array([-0.15369214]))","(array([0.09340069]), array([-0.16156394]))","(array([0.09680342]), array([-0.16667748]))","(array([0.09910482]), array([-0.16922283]))","(array([0.10045967]), array([-0.16957829]))","(array([0.10104612]), array([-0.16815902]))"
(0.38045962344230877+0j),[0.0245474],[1.],[0.85265359],[1.],"(array([0.25021417]), array([-0.09298853]))","(array([0.06631777]), array([-0.11486574]))","(array([0.07512646]), array([-0.13012285]))","(array([0.08264764]), array([-0.14314992]))","(array([0.08873439]), array([-0.1536925]))","(array([0.09340091]), array([-0.16156434]))","(array([0.09680364]), array([-0.16667787]))","(array([0.09910502]), array([-0.16922318]))","(array([0.10045985]), array([-0.16957863]))","(array([0.10104629]), array([-0.16815933]))","(array([0.10104472]), array([-0.16538236]))"
(0.39163495577639174+0j),[0.03147605],[1.],[0.83558193],[1.],"(array([0.25661477]), array([-0.10853797]))","(array([0.07512663]), array([-0.13012312]))","(array([0.08264784]), array([-0.14315025]))","(array([0.0887346]), array([-0.15369287]))","(array([0.09340116]), array([-0.16156479]))","(array([0.09680391]), array([-0.16667835]))","(array([0.09910528]), array([-0.16922364]))","(array([0.10046009]), array([-0.16957905]))","(array([0.10104652]), array([-0.16815974]))","(array([0.10104495]), array([-0.16538276]))","(array([0.10062898]), array([-0.16163994]))"
(0.39977523345273763+0j),[0.0386612],[1.],[0.81633882],[1.],"(array([0.26131237]), array([-0.12220256]))","(array([0.08264806]), array([-0.14315063]))","(array([0.08873484]), array([-0.15369327]))","(array([0.09340142]), array([-0.16156523]))","(array([0.0968042]), array([-0.16667887]))","(array([0.09910559]), array([-0.16922419]))","(array([0.10046039]), array([-0.16957956]))","(array([0.1010468]), array([-0.16816021]))","(array([0.10104522]), array([-0.16538323]))","(array([0.10062925]), array([-0.16164041]))","(array([0.09995287]), array([-0.15728371]))"
(0.4059951031006448+0j),[0.04581154],[1.],[0.79615619],[1.],"(array([0.26437672]), array([-0.13361116]))","(array([0.08873512]), array([-0.15369376]))","(array([0.09340171]), array([-0.16156572]))","(array([0.0968045]), array([-0.16667939]))","(array([0.09910592]), array([-0.16922478]))","(array([0.10046074]), array([-0.16958016]))","(array([0.10104714]), array([-0.16816076]))","(array([0.10104554]), array([-0.16538373]))","(array([0.10062957]), array([-0.16164093]))","(array([0.09995318]), array([-0.15728424]))","(array([0.09912648]), array([-0.15261504]))"
(0.4113583102374769+0j),[0.0525247],[1.],[0.77586415],[1.],"(array([0.2658925]), array([-0.14258757]))","(array([0.09340209]), array([-0.16156635]))","(array([0.09680487]), array([-0.16668]))","(array([0.09910629]), array([-0.1692254]))","(array([0.10046114]), array([-0.16958085]))","(array([0.10104754]), array([-0.16816145]))","(array([0.10104593]), array([-0.16538435]))","(array([0.10062993]), array([-0.1616415]))","(array([0.09995355]), array([-0.15728484]))","(array([0.09912685]), array([-0.15261566]))","(array([0.09819786]), array([-0.14787359]))"
