Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.36046873939015783+0j),[3.35328869e-14],[1.],[-0.92307816],[1.],"(array([0.10267146]), array([0.17783218]))","(array([4.2768128e-18]), array([-1.72838337e-18]))","(array([-1.1192698e-18]), array([-1.57057961e-18]))","(array([6.45046169e-19]), array([-2.40398537e-18]))","(array([-9.48522554e-19]), array([-1.36114138e-18]))","(array([0.0138875]), array([2.84060969e-16]))","(array([0.0420341]), array([-2.28983499e-16]))","(array([0.05763861]), array([3.83720833e-15]))","(array([0.07236676]), array([9.95384331e-15]))","(array([0.08688219]), array([7.9727891e-15]))","(array([0.09975051]), array([9.44730405e-15]))","(array([0.11066871]), array([6.27276009e-15]))","(array([0.11200416]), array([9.82547377e-15]))","(array([0.145031]), array([7.38298311e-15]))","(array([0.18868348]), array([7.36216643e-15]))","(array([0.20534291]), array([7.52176099e-15]))"
(0.49094186670271395+0j),[3.8038272e-14],[1.],[-0.93047803],[1.],"(array([0.105251]), array([0.18230008]))","(array([-2.09180775e-18]), array([-7.01208964e-19]))","(array([2.18091317e-18]), array([-2.83908599e-18]))","(array([-5.55055954e-19]), array([-2.48892686e-18]))","(array([0.0138875]), array([1.10154941e-16]))","(array([0.0420341]), array([-8.70831185e-16]))","(array([0.05763861]), array([3.41046635e-15]))","(array([0.07236676]), array([1.0758755e-14]))","(array([0.08688219]), array([9.68322644e-15]))","(array([0.09975051]), array([1.00197628e-14]))","(array([0.11066871]), array([6.97358837e-15]))","(array([0.11200416]), array([1.06720188e-14]))","(array([0.145031]), array([7.72992781e-15]))","(array([0.18868348]), array([7.68135555e-15]))","(array([0.20534292]), array([7.52869989e-15]))","(array([0.210502]), array([9.37444566e-15]))"
(0.47514409605918845+0j),[3.63829907e-14],[1.],[-0.88676781],[1.],"(array([0.10238748]), array([0.17734031]))","(array([4.82962662e-18]), array([-7.6407279e-18]))","(array([3.96450545e-18]), array([1.25617175e-17]))","(array([0.0138875]), array([1.0972126e-16]))","(array([0.0420341]), array([-9.85322934e-16]))","(array([0.05763861]), array([3.27862737e-15]))","(array([0.07236676]), array([1.03042574e-14]))","(array([0.08688219]), array([8.87831475e-15]))","(array([0.09975051]), array([9.63118474e-15]))","(array([0.11066871]), array([6.69256317e-15]))","(array([0.11200416]), array([1.05193632e-14]))","(array([0.145031]), array([8.09768919e-15]))","(array([0.18868349]), array([8.59035065e-15]))","(array([0.20534292]), array([7.23726634e-15]))","(array([0.210502]), array([9.40914013e-15]))","(array([0.20477495]), array([7.68829445e-15]))"
(0.4947296317621706+0j),[4.19532931e-14],[1.],[-0.84733596],[1.],"(array([0.09774158]), array([0.16929339]))","(array([-8.40468304e-18]), array([5.62969483e-18]))","(array([0.0138875]), array([1.23599048e-16]))","(array([0.04203411]), array([-9.66240976e-16]))","(array([0.05763862]), array([3.2734232e-15]))","(array([0.07236677]), array([1.00544573e-14]))","(array([0.0868822]), array([8.21565038e-15]))","(array([0.09975052]), array([9.10035935e-15]))","(array([0.11066872]), array([6.84521884e-15]))","(array([0.11200417]), array([1.09946774e-14]))","(array([0.14503101]), array([1.078998e-14]))","(array([0.1886835]), array([1.08524301e-14]))","(array([0.20534294]), array([1.09010023e-14]))","(array([0.21050202]), array([8.73606743e-15]))","(array([0.20477497]), array([8.9928065e-15]))","(array([0.19548317]), array([9.2148511e-15]))"
(0.5065075104085215+0j),[3.57321628e-14],[1.],[-0.80502976],[1.],"(array([0.09311005]), array([0.16127135]))","(array([0.0138875]), array([1.21864324e-16]))","(array([0.04203412]), array([-9.10729825e-16]))","(array([0.05763864]), array([3.53710117e-15]))","(array([0.07236679]), array([1.04603826e-14]))","(array([0.08688223]), array([8.33361158e-15]))","(array([0.09975055]), array([9.12464548e-15]))","(array([0.11066875]), array([6.65439925e-15]))","(array([0.1120042]), array([1.09877385e-14]))","(array([0.14503104]), array([9.36750677e-15]))","(array([0.18868353]), array([8.56259508e-15]))","(array([0.20534296]), array([9.40914013e-15]))","(array([0.21050204]), array([9.42995682e-15]))","(array([0.204775]), array([9.29117894e-15]))","(array([0.19548319]), array([8.00054467e-15]))","(array([0.18622011]), array([6.75154377e-15]))"
(0.5216699580548159+0j),[-5.35562212e-05],[1.],[-0.76020734],[1.],"(array([0.10209538]), array([0.15276697]))","(array([0.04203413]), array([-8.74300632e-16]))","(array([0.05763866]), array([3.64638875e-15]))","(array([0.07236682]), array([1.04395659e-14]))","(array([0.08688228]), array([8.36136715e-15]))","(array([0.0997506]), array([9.0517871e-15]))","(array([0.1106688]), array([6.01255157e-15]))","(array([0.11200425]), array([1.04603826e-14]))","(array([0.1450311]), array([8.0768725e-15]))","(array([0.1886836]), array([9.5617958e-15]))","(array([0.20534302]), array([9.96425165e-15]))","(array([0.2105021]), array([8.72218964e-15]))","(array([0.20477504]), array([8.18095591e-15]))","(array([0.19548323]), array([7.02216063e-15]))","(array([0.18622015]), array([6.0368377e-15]))","(array([0.17640407]), array([-6.7954709e-06]))"
(0.5678674972833215+0j),[-0.00067386],[1.],[-0.69747737],[1.],"(array([0.12436931]), array([0.1424618]))","(array([0.05763868]), array([3.28305438e-11]))","(array([0.07236684]), array([3.81427043e-11]))","(array([0.0868823]), array([3.45978836e-11]))","(array([0.09975064]), array([2.81653936e-11]))","(array([0.11066884]), array([3.47905905e-11]))","(array([0.11200429]), array([2.90265659e-11]))","(array([0.14503117]), array([5.81602128e-12]))","(array([0.18868369]), array([2.66840022e-12]))","(array([0.20534313]), array([-2.35120534e-11]))","(array([0.21050223]), array([-1.74470438e-11]))","(array([0.2047752]), array([-4.82713314e-11]))","(array([0.19548339]), array([-5.78545128e-11]))","(array([0.1862203]), array([-6.08512754e-11]))","(array([0.1764042]), array([-6.79563728e-06]))","(array([0.1645438]), array([-7.36304273e-05]))"
(0.6239924287909059+0j),[-0.00275299],[1.],[-0.59372582],[1.],"(array([0.1309243]), array([0.12619453]))","(array([0.0723669]), array([1.64716196e-10]))","(array([0.08688238]), array([1.521679e-10]))","(array([0.09975074]), array([7.71775213e-11]))","(array([0.11066897]), array([5.43316746e-11]))","(array([0.11200442]), array([-1.03341984e-10]))","(array([0.14503134]), array([8.427204e-10]))","(array([0.18868393]), array([4.99488506e-10]))","(array([0.20534342]), array([7.81166708e-10]))","(array([0.21050254]), array([3.58740336e-10]))","(array([0.20477551]), array([-1.87090815e-10]))","(array([0.19548369]), array([-3.03724303e-10]))","(array([0.1862206]), array([-3.94923969e-10]))","(array([0.17640449]), array([-6.79624911e-06]))","(array([0.16454406]), array([-7.36318788e-05]))","(array([0.14593214]), array([-0.00037006]))"
(0.6680968339407632+0j),[-0.00696545],[1.],[-0.44039542],[1.],"(array([0.13169046]), array([0.10058901]))","(array([0.08688263]), array([1.17916514e-09]))","(array([0.09975105]), array([7.80205098e-10]))","(array([0.11066933]), array([9.84110505e-10]))","(array([0.11200477]), array([4.92938575e-10]))","(array([0.14503176]), array([1.76617036e-09]))","(array([0.1886845]), array([5.22826649e-09]))","(array([0.20534406]), array([6.2598508e-09]))","(array([0.21050326]), array([3.65631749e-09]))","(array([0.20477627]), array([4.28824263e-09]))","(array([0.19548445]), array([4.09038661e-09]))","(array([0.18622135]), array([3.35817719e-09]))","(array([0.17640525]), array([-6.79259827e-06]))","(array([0.16454481]), array([-7.36295454e-05]))","(array([0.14593286]), array([-0.00037007]))","(array([0.11677806]), array([-0.00108182]))"
(0.6764796972229116+0j),[-0.01315323],[1.],[-0.26833164],[1.],"(array([0.12859478]), array([0.06769407]))","(array([0.09975148]), array([6.83252522e-09]))","(array([0.11066986]), array([6.12299251e-09]))","(array([0.11200532]), array([2.07446858e-09]))","(array([0.14503247]), array([2.47506592e-09]))","(array([0.18868546]), array([1.42670331e-08]))","(array([0.20534514]), array([7.64013717e-09]))","(array([0.21050439]), array([9.68223354e-09]))","(array([0.20477736]), array([7.61013357e-09]))","(array([0.19548545]), array([2.91083344e-09]))","(array([0.18622226]), array([6.89383932e-10]))","(array([0.17640608]), array([-6.79369658e-06]))","(array([0.16454556]), array([-7.36285211e-05]))","(array([0.14593348]), array([-0.00037007]))","(array([0.11677861]), array([-0.00108183]))","(array([0.07948632]), array([-0.00227685]))"
