,value
0,0.8361046415047181
1,0.9140331694971774
2,0.17553375397915877
3,0.9320964968277448
4,0.23006807615382313
5,0.9088711287686532
6,0.16908254709214637
7,0.3037192180153376
8,2.603011134180852
9,2.134965584072678
10,1.433790709101989
11,2.4585981842640128
12,0.4851609098343234
13,1.0508481452131024
14,1.003630764614081
15,1.150484240761645
16,1.8747119176062308
17,2.433620580422265
18,2.8707796348146553
19,2.972102725796772
20,0.0001558716762605743
21,0.012026906234108455
22,0.21098582668031457
23,0.344282872098093
24,0.35369494894119174
25,0.14720317149265066
26,0.5274901951278572
27,0.10913164614106313
28,0.3737620942299977
29,1.0477234071482964
30,1.367540034534492
31,0.642163276005037
32,2.120269168066511
33,1.986663088099206
34,3.6159582779725103
35,2.0802801119333973
36,2.4046257784543
37,3.1127364459045697
38,3.181298901471109
39,2.9360572409859187
40,0.5777263078985332
41,0.4565826679646558
42,1.6428470460206452
43,0.8610175995357403
44,2.231551781954536
45,0.7182662730569455
46,2.318181638196427
47,2.528197232373771
48,3.6159582779725103
49,3.6159582779725103
50,3.6159582779725103
51,3.6159582779725103
52,2.0403269234510657
53,1.779007441653892
54,2.1585656217083904
55,2.040798748732039
56,1.192037581505296
57,0.33367453762980753
58,0.7281213378162942
59,2.0482342307786348
60,1.5023886332151424
61,1.4108595184413053
62,1.2469730322766384
63,1.2314703409481373
64,1.9054396323706368
65,0.6423150828044755
66,0.356265145204863
67,1.4171403662907132
68,0.17064630141125975
69,0.9380752217964272
70,1.096828182239119
71,1.0731733514809367
72,2.2611594430361843
73,2.5015278337474345
74,2.144170815282172
75,2.857101560407838
76,1.0446441504828
77,1.5532534617790308
78,1.427861815569287
79,1.2968664256893836
80,3.6159582779725103
81,3.6159582779725103
82,1.3924448157618305
83,3.6159582779725103
84,2.4587845287682337
85,1.9890566480261507
86,2.9195099836567286
87,2.5888476601068873
88,1.7247969399476906
89,0.9092389537674292
90,0.7181212291700132
91,0.5771944998943591
92,1.6448196608929884
93,2.2241248711531365
94,2.406065622464847
95,2.2958051353670768
96,2.5627303548594322
97,1.1147684677249672
98,0.7805332838386788
99,2.6399874766917306
100,1.7249911041327535
101,2.9039445104464545
102,1.8235216206048495
103,1.6959224889806366
104,0.7245205780893507
105,1.1087093065947167
106,2.474988225913934
107,0.680891285984691
108,1.4496453921289336
109,0.8764138441289332
110,1.6590367470826781
111,1.0196989553713605
112,0.7336660144241915
113,0.6652272758408658
114,0.5845006898097413
115,0.6709976667680173
116,1.0720222596138091
117,1e-07
118,1.1479456316839085
119,0.882906848133145
120,3.6159582779725103
121,0.5406477887068604
122,0.860841885386837
123,0.24735765938699544
124,0.6157102283407113
125,1.3367799832468448
126,0.6538137609137311
127,0.9378074245059237
128,0.5697652209064721
129,0.22695417256471967
130,0.4099340535152713
131,0.7876848463833107
132,1.1865618658551773
133,1.463068627158428
134,0.7630374440313401
135,1.3814855008584088
136,1.704328775098629
137,2.634635245740989
138,2.821057495246761
139,2.933159446464457
140,0.7698996552554349
141,0.24941421277891934
142,0.5717074456464396
143,0.5125064140533846
144,0.10849620558732659
145,0.0003242445697235168
146,0.7557672435316473
147,0.5068654606433892
148,1.1602784151539893
149,1.8463183171429858
150,1.4884158718462746
151,1.3015395010463304
152,0.8778054538487737
153,1.1768509584180067
154,0.0002944690590238024
155,0.6618894588843457
156,1.4231884602002436
157,3.6159582779725103
158,0.7142390076056286
159,1.6234461627339725
160,1.2111150610278354
161,2.5188110385149094
162,1.1500202733314338
163,1.5106514599301417
164,3.6159582779725103
165,3.6159582779725103
166,3.6159582779725103
167,3.6159582779725103
168,0.8828021387512347
169,1.8762292916882977
170,0.8737676682525322
171,0.480247817544255
172,0.7992135663285557
173,1.7690573856981995
174,1.1832110318488476
175,1.562985485683043
176,0.6735708788470022
177,0.7144885940361019
178,0.8389969914943448
179,0.646338934520875
180,0.4657215440990296
181,1.4925848022463613
182,1.3227038729221319
183,1.8709748310521752
184,1.70277936689415
185,2.765024351582723
186,2.687778501522954
187,2.576507816334097
188,3.2415256855597456
189,2.3823661263593094
190,1.8145200750781112
191,3.1946860940027446
