,value
0,0.15758668338378595
1,0.06277137413925372
2,0.1133802856133044
3,0.21785929355777545
4,0.5643173394241665
5,0.4920411172951779
6,0.5970200157065336
7,0.5644478377267775
8,1.0001083527447159
9,1.0001083527447159
10,0.3851249163920046
11,1.0001083527447159
12,0.5270099647674483
13,0.17765265740878208
14,0.09853644040212295
15,0.3919552571050195
16,0.7199455716688111
17,0.590492673961171
18,0.39656043949431274
19,0.6800035727994221
20,0.33497239985700894
21,0.6966573545952857
22,0.3180746912893185
23,0.4178187270955722
24,0.12881009219994127
25,0.41282181773810295
26,0.36583583835809247
27,0.5174776267320546
28,0.29650185742976537
29,0.0
30,0.3175008830928406
31,0.24419596965519608
32,0.40094555683940825
33,0.24240012268479275
34,0.4588594022918999
35,0.28203018186259465
36,0.0978255707999385
37,0.04071369581824759
38,0.14589417912551012
39,0.030183803426847143
40,0.2029186658212787
41,0.18398975383179486
42,0.16166224643137428
43,0.18558573915043103
44,0.06363262331190042
45,0.2513772180708344
46,0.046765133698030786
47,0.08400319137145354
48,0.32818143204982175
49,0.4046581798325702
50,0.21104226975594403
51,0.3820937689517382
52,0.04719763973908864
53,0.2594545397471009
54,0.30336272505988326
55,0.2968202285320928
56,0.2312513294043459
57,0.2528049447744381
58,0.04854942034500821
59,0.25780093301670026
60,0.24416700894207247
61,0.5189309151034098
62,0.2416682385018003
63,0.1328277955836042
64,1.0001083527447159
65,1.0001083527447159
66,1.0001083527447159
67,1.0001083527447159
68,0.6253956031994888
69,0.6918771340840405
70,0.5930386737123968
71,0.7902223683336883
72,0.03000805211165331
73,8.965250031154628e-05
74,0.20903146435167674
75,0.14018975218918306
76,0.4771011794749183
77,0.8031782774717445
78,0.5043529306495536
79,0.46906132851827526
80,0.41553337930994416
81,0.3902180886734881
82,0.3448900633899748
83,0.34060230055518714
84,1.0001083527447159
85,1.0001083527447159
86,1.0001083527447159
87,1.0001083527447159
88,0.22104792809009158
89,0.48928911254794794
90,0.32725465222730993
91,0.4322933680377915
92,0.4770474771880755
93,0.2514789517844225
94,0.19861926057123136
95,0.15964148700842928
96,0.8965470987752818
97,0.6589191702413814
98,0.5018632666584865
99,0.8835921185322375
100,0.45492721448712486
101,0.6151525133025452
102,0.6654740203929611
103,0.6349779724032656
104,0.6650757856925792
105,0.8609263343794381
106,0.8798894642393171
107,0.8120600754520425
108,0.3936280500244601
109,1.0001083527447159
110,0.19754550860214093
111,0.44901569311875794
112,0.18629744287235275
113,0.19761453967538967
114,0.2320513008756168
115,0.17876558170538825
116,0.17029423790745724
117,0.36972903479926233
118,0.18083298291493535
119,0.2593804718807449
120,0.32091190699133476
121,0.5106580828389963
122,0.41166876731275875
123,0.35998215752114965
124,0.15978857544276764
125,0.12628244505723804
126,0.4543816250434756
127,0.23814180108352173
128,0.21294023273718732
129,0.06898341330442956
130,0.15812386746881818
131,0.14174993744164177
132,0.6800551123045788
133,0.5501369125009962
134,0.8074834046346776
135,0.7160282120014496
136,0.24278501665647956
137,0.32549557143898616
138,8.141713488636679e-05
139,0.18306657428882225
140,1.0001083527447159
141,0.14953333051850534
142,0.23809320174155918
143,0.0684146079909008
144,0.32969591553923233
145,0.09228828867652439
146,0.20138510898353462
147,0.5665043570047891
148,0.5185112369934809
149,0.6730952212632086
150,0.7940054752697845
151,0.8220296018303261
152,0.200389204246284
153,0.3066488282511249
154,0.6845367606155244
155,0.18832213452074997
156,0.10337577869264417
157,0.28978123619556273
158,0.37823670626820644
159,0.17761067040543488
160,0.6172066619298212
161,0.19865937707581904
162,0.6411669066451425
163,0.6992534053283701
164,0.5864279122355748
165,0.5494748973011758
166,1.0001083527447159
167,0.5753676656595128
168,0.4709578164026845
169,0.7647554848380801
170,0.7433906857841935
171,0.7126152353514674
172,0.2889295697326683
173,0.42960166699578134
174,0.3949206152339796
175,0.35868966975789
176,4.308361625928089e-05
177,0.0033263961527116638
178,0.0583548197123259
179,0.09522236130354546
180,0.7088046397576443
181,0.3083246821627947
182,0.21588130125697041
183,0.7301725563790752
184,0.13418666767096282
185,0.29064548198739437
186,0.27758601215738493
187,0.31820301625313646
188,0.4713863545690135
189,0.7286922265145697
190,0.7802532346047466
191,0.8112585981221591
