Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.24441247277972789+0j),[0.13553807],[1.],[0.78262346],[1.],[0.19140028],[0.13247949],[0.13940009],[0.14906543],[0.15718916],[0.16362185],[0.16853535],[0.172323],[0.17466744],[0.17580204],[0.17633279]
(0.25143521414174164+0j),[0.14276658],[1.],[0.78063385],[1.],[0.19341336],[0.13940022],[0.14906557],[0.15718932],[0.16362203],[0.16853554],[0.17232317],[0.17466761],[0.17580221],[0.17633296],[0.17622974]
(0.25719917791996166+0j),[0.14998913],[1.],[0.77682346],[1.],[0.19859327],[0.14906572],[0.15718948],[0.16362221],[0.16853575],[0.17232338],[0.1746678],[0.17580238],[0.17633314],[0.17622993],[0.17557063]
(0.26165492046079447+0j),[0.15766168],[1.],[0.77126033],[1.],[0.20627271],[0.15718965],[0.16362239],[0.16853594],[0.1723236],[0.17466802],[0.17580258],[0.17633331],[0.17623011],[0.17557082],[0.174509]
(0.26336163671541346+0j),[0.16560895],[1.],[0.76249104],[1.],[0.21206098],[0.16362258],[0.16853613],[0.17232381],[0.17466824],[0.17580279],[0.1763335],[0.17623028],[0.175571],[0.17450919],[0.1728863]
(0.26418770479138926+0j),[0.17364294],[1.],[0.75306485],[1.],[0.21590577],[0.16853632],[0.172324],[0.17466844],[0.17580301],[0.17633371],[0.17623047],[0.17557117],[0.17450937],[0.17288649],[0.17083234]
(0.26429156667425285+0j),[0.18156862],[1.],[0.74325075],[1.],[0.218175],[0.17232421],[0.17466864],[0.17580322],[0.17633394],[0.17623069],[0.17557137],[0.17450955],[0.17288667],[0.17083253],[0.16866118]
(0.2612565479565018+0j),[0.189361],[1.],[0.73011873],[1.],[0.21913525],[0.17466886],[0.17580344],[0.17633416],[0.17623092],[0.17557159],[0.17450974],[0.17288685],[0.17083271],[0.16866137],[0.16607036]
(0.25799543910978623+0j),[0.1969212],[1.],[0.71745852],[1.],[0.21852635],[0.17580365],[0.17633436],[0.17623113],[0.1755718],[0.17450995],[0.17288703],[0.17083288],[0.16866155],[0.16607054],[0.16316252]
(0.25462344292532935+0j),[0.20409604],[1.],[0.70537796],[1.],[0.21682744],[0.17633458],[0.17623133],[0.17557201],[0.17451016],[0.17288723],[0.17083306],[0.16866172],[0.16607072],[0.1631627],[0.16037349]
