Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.11562919117764696+0j),[0.20056421],[1.],[0.54181572],[1.],[0.18966616],[0.16808896],[0.16660515],[0.16106874],[0.15570465],[0.14995732],[0.14382091],[0.13783888],[0.13272754],[0.1284549],[0.12424977]
(0.1112291051536395+0j),[0.21833427],[1.],[0.52364665],[1.],[0.18724193],[0.16660517],[0.16106875],[0.15570467],[0.14995734],[0.14382092],[0.1378389],[0.13272756],[0.12845491],[0.12424979],[0.12011587]
(0.10736596067828012+0j),[0.23485665],[1.],[0.50616016],[1.],[0.18039997],[0.16106877],[0.15570468],[0.14995735],[0.14382094],[0.13783891],[0.13272757],[0.12845493],[0.1242498],[0.12011589],[0.11609677]
(0.10394183411666032+0j),[0.24920429],[1.],[0.48964027],[1.],[0.16993314],[0.1557047],[0.14995737],[0.14382095],[0.13783892],[0.13272758],[0.12845494],[0.12424981],[0.1201159],[0.11609678],[0.11226315]
(0.09995150768218455+0j),[0.26154009],[1.],[0.47104058],[1.],[0.15998562],[0.14995738],[0.14382096],[0.13783893],[0.13272759],[0.12845494],[0.12424982],[0.1201159],[0.11609678],[0.11226316],[0.10830426]
(0.09626723246854457+0j),[0.27188108],[1.],[0.45341924],[1.],[0.14998267],[0.14382097],[0.13783894],[0.1327276],[0.12845495],[0.12424982],[0.12011591],[0.11609679],[0.11226316],[0.10830426],[0.10422068]
(0.09278438749666101+0j),[0.28021775],[1.],[0.43674362],[1.],[0.14008954],[0.13783895],[0.13272761],[0.12845496],[0.12424983],[0.12011591],[0.11609679],[0.11226317],[0.10830426],[0.10422068],[0.10035388]
(0.0878131933965065+0j),[0.28671753],[1.],[0.41467196],[1.],[0.1304772],[0.13272762],[0.12845497],[0.12424984],[0.12011592],[0.1160968],[0.11226317],[0.10830427],[0.10422068],[0.10035389],[0.0959867]
(0.08312714660525537+0j),[0.29168834],[1.],[0.39365857],[1.],[0.12181702],[0.12845498],[0.12424984],[0.12011593],[0.1160968],[0.11226318],[0.10830427],[0.10422069],[0.10035389],[0.0959867],[0.09112915]
(0.07867597904387673+0j),[0.29535975],[1.],[0.37357411],[1.],[0.11438366],[0.12424985],[0.12011593],[0.11609681],[0.11226318],[0.10830428],[0.10422069],[0.1003539],[0.0959867],[0.09112916],[0.08649573]
(0.07355200548989578+0j),[0.29780711],[1.],[0.35022691],[1.],[0.10713414],[0.12011594],[0.11609682],[0.11226319],[0.10830428],[0.1042207],[0.1003539],[0.09598671],[0.09112916],[0.08649574],[0.0816004]
(0.06872683810730833+0j),[0.29910333],[1.],[0.32789826],[1.],[0.10005968],[0.11609682],[0.11226319],[0.10830429],[0.1042207],[0.1003539],[0.09598671],[0.09112916],[0.08649574],[0.08160041],[0.07645088]
(0.06417025482253064+0j),[0.2993188],[1.],[0.30655302],[1.],[0.09343084],[0.1122632],[0.10830429],[0.1042207],[0.10035391],[0.09598671],[0.09112916],[0.08649574],[0.08160041],[0.07645089],[0.07152709]
(0.059003219190628856+0j),[0.29859247],[1.],[0.28080435],[1.],[0.0869939],[0.10830429],[0.10422071],[0.10035391],[0.09598672],[0.09112917],[0.08649574],[0.08160041],[0.07645089],[0.07152709],[0.06621935]
(0.05426437513188946+0j),[0.29699598],[1.],[0.25628536],[1.],[0.08042784],[0.10422071],[0.10035391],[0.09598672],[0.09112917],[0.08649575],[0.08160041],[0.07645089],[0.0715271],[0.06621935],[0.06055205]
