Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.0032567717267572853+0j),[-5.51375424e-16],[1.],[0.11394817],[1.],[0.00643059],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.01286117]
(0.012347900250764219+0j),[4.47663409e-16],[1.],[0.22081702],[1.],[0.01889063],[3.25565686e-28],[-1.09859039e-34],[0.],[0.],[-2.14037343e-31],[1.43571264e-37],[-1.8299484e-52],[9.42310495e-67],[0.01286117],[0.03778126]
(0.02628908032560208+0j),[3.2097207e-15],[1.],[0.31973836],[1.],[0.03050084],[1.53125454e-21],[-8.21916046e-24],[9.61469387e-24],[2.43916126e-21],[-5.23945023e-22],[6.45758164e-22],[2.13813097e-23],[0.01286117],[0.03778126],[0.06100167]
(0.04518207547338249+0j),[-2.78751182e-15],[1.],[0.41464638],[1.],[0.04143813],[2.68649036e-22],[2.31488223e-22],[2.22444316e-21],[-3.77454068e-22],[4.1548483e-22],[-8.43654907e-23],[0.01286117],[0.03778126],[0.06100167],[0.08287626]
(0.06748131208437733+0j),[1.98465658e-15],[1.],[0.49991959],[1.],[0.05160077],[5.59998619e-21],[1.34379752e-20],[-1.37899719e-21],[-8.39885645e-21],[2.08147214e-21],[0.01286117],[0.03778126],[0.06100167],[0.08287626],[0.10320155]
(0.09228955841944149+0j),[-1.09211801e-15],[1.],[0.57533213],[1.],[0.06066203],[3.58280451e-20],[-9.30919315e-22],[-3.69210339e-20],[1.15327968e-20],[0.01286117],[0.03778126],[0.06100167],[0.08287626],[0.10320155],[0.12132405]
(0.1181460644364879+0j),[-9.3110426e-15],[1.],[0.63935933],[1.],[0.06852126],[-1.01734474e-19],[-1.28635086e-19],[-1.3254827e-19],[0.01286117],[0.03778126],[0.06100167],[0.08287626],[0.10320155],[0.12132405],[0.13704251]
(0.1448877331613559+0j),[-1.17228005e-14],[1.],[0.69403497],[1.],[0.07521183],[-3.30137185e-19],[2.48848306e-20],[0.01286118],[0.03778126],[0.06100168],[0.08287626],[0.10320155],[0.12132406],[0.13704251],[0.15042366]
(0.17190353652162868+0j),[-1.71224648e-14],[1.],[0.73968848],[1.],[0.0808652],[2.56054742e-19],[0.01286118],[0.03778126],[0.06100168],[0.08287626],[0.10320156],[0.12132406],[0.13704252],[0.15042367],[0.16173041]
(0.19574222064200641+0j),[-1.70803015e-14],[1.],[0.77233302],[1.],[0.08526691],[0.01286118],[0.03778127],[0.06100169],[0.08287627],[0.10320157],[0.12132408],[0.13704253],[0.15042368],[0.16173042],[0.17053382]
(0.2182618922544997+0j),[0.00147393],[1.],[0.79741805],[1.],[0.10123182],[0.03778127],[0.0610017],[0.0828763],[0.1032016],[0.12132411],[0.13704256],[0.15042371],[0.16173045],[0.17053385],[0.17703141]
(0.23859510001672132+0j),[0.00557096],[1.],[0.81499073],[1.],[0.12800339],[0.06100172],[0.08287632],[0.10320163],[0.12132415],[0.1370426],[0.15042376],[0.16173051],[0.1705339],[0.17703146],[0.18182626]
(0.2462820544607288+0j),[0.01194398],[1.],[0.81422418],[1.],[0.15112626],[0.08287635],[0.10320168],[0.12132421],[0.13704267],[0.15042386],[0.16173061],[0.170534],[0.17703155],[0.18182635],[0.18367142]
(0.2520810047576886+0j),[0.02044696],[1.],[0.81087536],[1.],[0.17131261],[0.10320173],[0.12132428],[0.13704277],[0.15042398],[0.16173076],[0.17053414],[0.17703169],[0.18182648],[0.18367154],[0.18320095]
(0.2561550753107155+0j),[0.03084057],[1.],[0.80539565],[1.],[0.18929176],[0.12132436],[0.13704287],[0.15042411],[0.16173092],[0.17053432],[0.17703186],[0.18182664],[0.18367169],[0.18320109],[0.18220001]
(0.251621952449055+0j),[0.04302302],[1.],[0.78994964],[1.],[0.2040291],[0.13704297],[0.15042423],[0.16173106],[0.17053448],[0.17703203],[0.1818268],[0.18367184],[0.18320123],[0.18220015],[0.17982895]
(0.24644090030479215+0j),[0.0569131],[1.],[0.77447044],[1.],[0.21545754],[0.15042432],[0.16173117],[0.17053461],[0.17703217],[0.18182695],[0.18367198],[0.18320136],[0.18220028],[0.17982907],[0.17634209]
(0.24087796594110444+0j),[0.0722337],[1.],[0.75913906],[1.],[0.22424879],[0.16173127],[0.17053472],[0.1770323],[0.18182709],[0.18367213],[0.1832015],[0.1822004],[0.1798292],[0.17634221],[0.17286876]
(0.22386984618429198+0j),[0.08906722],[1.],[0.72820152],[1.],[0.22982529],[0.17053483],[0.17703242],[0.18182724],[0.18367228],[0.18320165],[0.18220054],[0.17982932],[0.17634234],[0.17286888],[0.1676654]
(0.20823455894250276+0j),[0.10745528],[1.],[0.69856579],[1.],[0.2317739],[0.17703251],[0.18182733],[0.18367238],[0.18320175],[0.18220063],[0.17982941],[0.17634242],[0.17286897],[0.16766549],[0.16083845]
(0.19407760224145812+0j),[0.12699305],[1.],[0.67026807],[1.],[0.23130122],[0.18182741],[0.18367246],[0.18320184],[0.18220072],[0.17982949],[0.1763425],[0.17286904],[0.16766556],[0.16083853],[0.15430898]
(0.18719535183916358+0j),[0.14709873],[1.],[0.65418237],[1.],[0.22971102],[0.18367255],[0.18320192],[0.18220081],[0.17982958],[0.17634257],[0.17286911],[0.16766562],[0.16083859],[0.15430904],[0.14930021]
(0.1811428811354945+0j),[0.16685522],[1.],[0.63887938],[1.],[0.22589431],[0.18320198],[0.18220086],[0.17982963],[0.17634263],[0.17286915],[0.16766566],[0.16083862],[0.15430908],[0.14930025],[0.14576355]
(0.1758996776074941+0j),[0.18572178],[1.],[0.62438052],[1.],[0.21997275],[0.18220091],[0.17982968],[0.17634267],[0.1728692],[0.16766571],[0.16083866],[0.15430912],[0.14930028],[0.14576359],[0.14240547]
(0.17854813018997046+0j),[0.20330836],[1.],[0.62529352],[1.],[0.21463972],[0.17982973],[0.17634272],[0.17286925],[0.16766575],[0.16083871],[0.15430916],[0.14930033],[0.14576364],[0.14240552],[0.14088062]
(0.18127871478410212+0j),[0.21902766],[1.],[0.62542874],[1.],[0.20907629],[0.17634278],[0.1728693],[0.16766581],[0.16083877],[0.15430922],[0.14930038],[0.14576369],[0.14240557],[0.14088067],[0.14099899]
(0.183970741490669+0j),[0.23269295],[1.],[0.62485344],[1.],[0.20269617],[0.17286936],[0.16766587],[0.16083883],[0.15430928],[0.14930044],[0.14576374],[0.14240562],[0.14088072],[0.14099903],[0.14094888]
(0.18809978912288908+0j),[0.2443676],[1.],[0.62670431],[1.],[0.19682025],[0.16766594],[0.16083889],[0.15430934],[0.1493005],[0.1457638],[0.14240567],[0.14088076],[0.14099908],[0.14094892],[0.14109452]
(0.19186088902827447+0j),[0.25365882],[1.],[0.62764705],[1.],[0.18972801],[0.16083896],[0.1543094],[0.14930056],[0.14576386],[0.14240572],[0.14088081],[0.14099911],[0.14094896],[0.14109456],[0.14140753]
(0.1951243123023081+0j),[0.26033258],[1.],[0.62792576],[1.],[0.18141203],[0.15430948],[0.14930064],[0.14576393],[0.14240579],[0.14088087],[0.14099917],[0.14094901],[0.14109461],[0.14140758],[0.14154246]
(0.19610255565327014+0j),[0.26471983],[1.],[0.62449665],[1.],[0.17362644],[0.14930073],[0.14576402],[0.14240587],[0.14088096],[0.14099925],[0.14094908],[0.14109468],[0.14140765],[0.14154253],[0.14118184]
(0.19654303546821644+0j),[0.26739263],[1.],[0.62097942],[1.],[0.16753699],[0.14576413],[0.14240598],[0.14088106],[0.14099935],[0.14094918],[0.14109477],[0.14140773],[0.14154262],[0.14118193],[0.14039643]
(0.19644957977238622+0j),[0.26878457],[1.],[0.61738973],[1.],[0.16320285],[0.1424061],[0.14088116],[0.14099946],[0.14094928],[0.14109487],[0.14140783],[0.14154271],[0.14118203],[0.14039653],[0.13959332]
(0.19138260558204231+0j),[0.26917422],[1.],[0.60512055],[1.],[0.15878109],[0.14088128],[0.14099956],[0.14094939],[0.14109498],[0.14140793],[0.14154281],[0.14118212],[0.14039663],[0.13959343],[0.13780228]
(0.18621417156228814+0j),[0.26915834],[1.],[0.59363047],[1.],[0.15588023],[0.14099968],[0.14094949],[0.14109509],[0.14140804],[0.14154291],[0.14118222],[0.14039673],[0.13959353],[0.13780238],[0.13512373]
(0.181003284953856+0j),[0.26910524],[1.],[0.58277258],[1.],[0.15474524],[0.1409496],[0.14109518],[0.14140814],[0.14154302],[0.14118232],[0.14039682],[0.13959362],[0.13780248],[0.13512383],[0.13260469]
(0.17190646497862294+0j),[0.26913502],[1.],[0.56381513],[1.],[0.15302244],[0.14109528],[0.14140823],[0.14154311],[0.14118242],[0.14039691],[0.13959371],[0.13780256],[0.13512392],[0.13260478],[0.1292472]
(0.16329022053743725+0j),[0.26943401],[1.],[0.54598069],[1.],[0.1510615],[0.14140831],[0.14154318],[0.14118249],[0.14039698],[0.13959378],[0.13780263],[0.13512399],[0.13260485],[0.12924727],[0.1251004]
(0.1551907931152944+0j),[0.27004789],[1.],[0.52920468],[1.],[0.14933388],[0.14154324],[0.14118255],[0.14039705],[0.13959385],[0.1378027],[0.13512405],[0.13260491],[0.12924734],[0.12510047],[0.12119955]
(0.1512627339174237+0j),[0.27083164],[1.],[0.52305033],[1.],[0.14803404],[0.14118261],[0.14039711],[0.13959391],[0.13780276],[0.13512411],[0.13260497],[0.12924739],[0.12510052],[0.12119961],[0.11861305]
(0.1475895080853322+0j),[0.2715885],[1.],[0.5173898],[1.],[0.146857],[0.14039716],[0.13959396],[0.13780282],[0.13512417],[0.13260502],[0.12924744],[0.12510056],[0.12119965],[0.11861309],[0.11728187]
(0.1442073986513045+0j),[0.27226931],[1.],[0.5122707],[1.],[0.14532369],[0.13959401],[0.13780286],[0.13512422],[0.13260508],[0.12924749],[0.12510061],[0.1211997],[0.11861314],[0.11728192],[0.11606742]
(0.14447699838544165+0j),[0.27279227],[1.],[0.51682558],[1.],[0.14436859],[0.13780291],[0.13512427],[0.13260513],[0.12924755],[0.12510067],[0.12119975],[0.11861319],[0.11728196],[0.11606746],[0.11600644]
(0.14488167108576958+0j),[0.27285194],[1.],[0.52125509],[1.],[0.14302765],[0.13512432],[0.13260517],[0.1292476],[0.12510072],[0.1211998],[0.11861324],[0.11728201],[0.11606751],[0.11600649],[0.1170197]
(0.14540480545431228+0j),[0.27230283],[1.],[0.52567102],[1.],[0.1408962],[0.13260522],[0.12924764],[0.12510077],[0.12119985],[0.11861329],[0.11728206],[0.11606755],[0.11600653],[0.11701974],[0.11801712]
(0.14621943480117694+0j),[0.27123188],[1.],[0.53057072],[1.],[0.13906096],[0.12924769],[0.12510081],[0.1211999],[0.11861333],[0.1172821],[0.11606759],[0.11600656],[0.11701977],[0.11801715],[0.11906769]
(0.14709426099157952+0j),[0.26948886],[1.],[0.53549025],[1.],[0.13653249],[0.12510086],[0.12119994],[0.11861338],[0.11728214],[0.11606762],[0.11600659],[0.11701979],[0.11801717],[0.11906772],[0.12017469]
(0.14799781553414426+0j),[0.26695873],[1.],[0.54052102],[1.],[0.13336469],[0.1212],[0.11861343],[0.11728218],[0.11606767],[0.11600663],[0.11701983],[0.11801721],[0.11906776],[0.12017472],[0.12129628]
(0.1465262020676218+0j),[0.26382369],[1.],[0.53958317],[1.],[0.13024965],[0.11861349],[0.11728224],[0.11606772],[0.11600668],[0.11701988],[0.11801725],[0.1190678],[0.12017477],[0.12129633],[0.12175551]
