Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.00254479905768747+0j),[-5.16679132e-16],[1.],[0.10076211],[1.],[0.00568507],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.01137014]
(0.009655534844267052+0j),[-2.64517812e-15],[1.],[0.1955404],[1.],[0.01671649],[-6.04766297e-35],[1.46871584e-31],[0.],[0.],[0.],[1.10790739e-32],[-2.11138111e-31],[6.9069985e-31],[0.01137014],[0.03343297]
(0.020581653066403263+0j),[-8.06786371e-15],[1.],[0.28378641],[1.],[0.02704048],[-6.39325184e-23],[1.71098112e-22],[1.6293992e-22],[1.87178587e-22],[-3.27818169e-22],[1.00768885e-23],[1.2795221e-23],[0.01137014],[0.03343297],[0.05408097]
(0.03680430657201534+0j),[-1.03371414e-15],[1.],[0.37602904],[1.],[0.03722733],[-4.73320439e-21],[-8.81601053e-22],[1.41179953e-22],[-1.98201709e-22],[3.11249116e-22],[1.3486446e-22],[0.01137014],[0.03343297],[0.05408097],[0.07445467]
(0.05628836888846005+0j),[-6.3636153e-15],[1.],[0.45965772],[1.],[0.04714671],[-1.73456986e-21],[-7.97357507e-22],[-9.37353754e-22],[2.23707277e-21],[-7.22437235e-22],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342]
(0.0782380504363273+0j),[-1.42994936e-16],[1.],[0.53445531],[1.],[0.05608064],[1.16136418e-21],[-1.99848057e-20],[4.72055963e-21],[-1.00553855e-20],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128]
(0.1014394531278186+0j),[-1.49094124e-15],[1.],[0.59910359],[1.],[0.06394119],[-2.17966444e-20],[2.67352783e-20],[3.05592442e-19],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128],[0.12788238]
(0.12566411869962124+0j),[-6.56130025e-15],[1.],[0.65526721],[1.],[0.07075128],[2.33799007e-19],[-8.72904735e-21],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128],[0.12788238],[0.14150256]
(0.15036006123316012+0j),[-1.45611024e-14],[1.],[0.70320216],[1.],[0.07661795],[-5.63348812e-19],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128],[0.12788238],[0.14150256],[0.15323589]
(0.1732461946273279+0j),[-2.42747079e-14],[1.],[0.74018098],[1.],[0.08139695],[0.01137014],[0.03343298],[0.05408098],[0.07445468],[0.09429343],[0.11216129],[0.12788239],[0.14150257],[0.1532359],[0.1627939]
(0.19517028010067747+0j),[0.00139699],[1.],[0.76975269],[1.],[0.09637671],[0.03343298],[0.05408098],[0.07445469],[0.09429345],[0.11216131],[0.12788241],[0.14150259],[0.15323592],[0.16279392],[0.170288]
(0.21533424516995056+0j),[0.00528227],[1.],[0.79189892],[1.],[0.12083128],[0.05408099],[0.07445471],[0.09429348],[0.11216134],[0.12788244],[0.14150262],[0.15323596],[0.16279396],[0.17028803],[0.1761066]
(0.2311342268965779+0j),[0.01123858],[1.],[0.80448875],[1.],[0.14246458],[0.07445473],[0.09429351],[0.11216138],[0.12788249],[0.14150269],[0.15323604],[0.16279403],[0.1702881],[0.17610667],[0.18000055]
(0.24490102249079995+0j),[0.01906608],[1.],[0.81218448],[1.],[0.16262954],[0.09429355],[0.11216144],[0.12788257],[0.14150279],[0.15323616],[0.16279415],[0.17028822],[0.17610678],[0.18000065],[0.18227711]
(0.256613943722951+0j),[0.02854413],[1.],[0.8156571],[1.],[0.18140208],[0.11216151],[0.12788265],[0.1415029],[0.15323629],[0.1627943],[0.17028837],[0.17610691],[0.18000078],[0.18227724],[0.18352636]
(0.26329334952173994+0j),[0.03940361],[1.],[0.81226349],[1.],[0.19728115],[0.12788274],[0.14150301],[0.15323642],[0.16279446],[0.17028853],[0.17610707],[0.18000093],[0.18227738],[0.1835265],[0.183518]
(0.26840348098920364+0j),[0.051416],[1.],[0.80683915],[1.],[0.21026822],[0.14150312],[0.15323655],[0.1627946],[0.1702887],[0.17610726],[0.1800011],[0.18227754],[0.18352665],[0.18351816],[0.18251813]
(0.2721717714202617+0j),[0.06429473],[1.],[0.79987256],[1.],[0.22075639],[0.15323667],[0.16279475],[0.17028887],[0.17610745],[0.1800013],[0.18227773],[0.18352683],[0.18351833],[0.1825183],[0.18111659]
(0.2821211560372415+0j),[0.07752632],[1.],[0.79936608],[1.],[0.22951809],[0.1627949],[0.17028904],[0.17610764],[0.18000152],[0.18227795],[0.18352703],[0.18351851],[0.18251848],[0.18111677],[0.18028878]
(0.2906873628981304+0j),[0.090604],[1.],[0.79630468],[1.],[0.23630211],[0.17028923],[0.17610785],[0.18000175],[0.1822782],[0.18352728],[0.18351875],[0.18251869],[0.18111698],[0.180289],[0.17988013]
(0.29803670169298496+0j),[0.10324326],[1.],[0.79120399],[1.],[0.24082189],[0.17610808],[0.18000198],[0.18227846],[0.18352756],[0.18351902],[0.18251894],[0.18111721],[0.18028922],[0.17988037],[0.17895461]
(0.30994091251548567+0j),[0.11500029],[1.],[0.78956467],[1.],[0.24387765],[0.18000226],[0.18227874],[0.18352785],[0.18351933],[0.18251925],[0.18111748],[0.18028947],[0.17988063],[0.17895488],[0.17820797]
(0.320413852667608+0j),[0.12540414],[1.],[0.78503105],[1.],[0.24525645],[0.18227908],[0.18352819],[0.18351967],[0.1825196],[0.18111783],[0.18028978],[0.1798809],[0.17895517],[0.17820828],[0.17750424]
(0.32947956282487745+0j),[0.13430339],[1.],[0.77812241],[1.],[0.24500055],[0.1835286],[0.18352006],[0.18251998],[0.18111822],[0.18029017],[0.17988126],[0.17895549],[0.17820861],[0.1775046],[0.17620672]
(0.33690692255128973+0j),[0.14169079],[1.],[0.76911803],[1.],[0.24376031],[0.18352057],[0.18252046],[0.18111868],[0.18029064],[0.17988171],[0.17895591],[0.178209],[0.17750502],[0.17620716],[0.17440466]
(0.34299696491471554+0j),[0.14752028],[1.],[0.75872699],[1.],[0.24136669],[0.18252107],[0.18111923],[0.18029116],[0.17988225],[0.17895642],[0.17820948],[0.17750547],[0.17620764],[0.17440517],[0.1722112]
(0.3477910147433118+0j),[0.15179676],[1.],[0.74736872],[1.],[0.23815307],[0.18111995],[0.18029179],[0.17988283],[0.17895701],[0.17821005],[0.17750601],[0.17620818],[0.17440575],[0.17221179],[0.16975255]
(0.3488278284376496+0j),[0.15474775],[1.],[0.73361835],[1.],[0.2346308],[0.18029262],[0.17988355],[0.17895768],[0.17821073],[0.17750667],[0.1762088],[0.17440637],[0.17221246],[0.16975324],[0.16691014]
(0.3488722832714213+0j),[0.15676138],[1.],[0.72017797],[1.],[0.23178478],[0.17988447],[0.17895847],[0.17821146],[0.1775074],[0.17620951],[0.17440704],[0.17221314],[0.16975396],[0.16691088],[0.16384053]
(0.34801060111941673+0j),[0.15803728],[1.],[0.70723509],[1.],[0.22956705],[0.17895944],[0.17821227],[0.17750815],[0.17621026],[0.17440776],[0.17221382],[0.16975466],[0.16691162],[0.1638413],[0.16086279]
(0.343932106165871+0j),[0.15870757],[1.],[0.69306048],[1.],[0.22692497],[0.17821326],[0.17750897],[0.17621101],[0.17440851],[0.17221454],[0.16975535],[0.16691234],[0.16384205],[0.16086357],[0.15780015]
(0.33942914220079584+0j),[0.15902817],[1.],[0.6801995],[1.],[0.22455728],[0.17750994],[0.17621181],[0.17440924],[0.17221527],[0.16975606],[0.16691302],[0.16384276],[0.16086431],[0.1578009],[0.15475163]
(0.33464184684836124+0j),[0.15909726],[1.],[0.66867559],[1.],[0.22244076],[0.17621276],[0.17441002],[0.17221599],[0.16975677],[0.1669137],[0.16384341],[0.16086499],[0.15780161],[0.15475236],[0.15200279]
(0.3267510334945936+0j),[0.15903499],[1.],[0.65569942],[1.],[0.21976591],[0.17441094],[0.17221674],[0.16975745],[0.16691437],[0.16384406],[0.1608656],[0.15780226],[0.15475304],[0.15200348],[0.14924046]
(0.31913850470157384+0j),[0.15895293],[1.],[0.64456024],[1.],[0.21661886],[0.17221758],[0.16975813],[0.16691499],[0.16384466],[0.1608662],[0.15780283],[0.15475364],[0.15200411],[0.1492411],[0.14652415]
(0.3119186858845862+0j),[0.15882408],[1.],[0.63516017],[1.],[0.21328858],[0.16975891],[0.16691562],[0.16384525],[0.16086677],[0.15780339],[0.15475418],[0.15200467],[0.14924168],[0.14652475],[0.1442113]
(0.31182979261043314+0j),[0.15830807],[1.],[0.63479673],[1.],[0.21033517],[0.16691635],[0.16384584],[0.16086732],[0.15780393],[0.1547547],[0.15200516],[0.14924219],[0.14652527],[0.14421184],[0.14312003]
(0.3118366771242847+0j),[0.15706533],[1.],[0.6345646],[1.],[0.20763192],[0.16384657],[0.16086791],[0.15780447],[0.15475523],[0.15200568],[0.14924268],[0.14652577],[0.14421235],[0.14312055],[0.14305385]
(0.3119665580331419+0j),[0.1551488],[1.],[0.63446063],[1.],[0.20485302],[0.16086868],[0.15780509],[0.15475579],[0.15200622],[0.14924321],[0.14652627],[0.14421287],[0.14312109],[0.14305441],[0.14301686]
(0.3162377920863015+0j),[0.15247921],[1.],[0.63875935],[1.],[0.20255898],[0.15780592],[0.15475645],[0.15200681],[0.14924378],[0.14652683],[0.14421341],[0.14312165],[0.14305499],[0.14301747],[0.14349996]
(0.3204029498377382+0j),[0.14894237],[1.],[0.64205076],[1.],[0.20053167],[0.15475739],[0.15200754],[0.14924442],[0.14652745],[0.14421401],[0.14312223],[0.1430556],[0.14301811],[0.14350062],[0.14435466]
(0.3243974868256481+0j),[0.14465435],[1.],[0.6444284],[1.],[0.19856819],[0.15200861],[0.14924524],[0.14652815],[0.14421467],[0.14312288],[0.14305624],[0.1430188],[0.14350134],[0.14435541],[0.1449923]
(0.32795542526925664+0j),[0.13979409],[1.],[0.64579279],[1.],[0.19692482],[0.14924651],[0.14652911],[0.14421548],[0.14312363],[0.14305698],[0.14301954],[0.14350217],[0.14435628],[0.1449932],[0.14541185]
(0.33123946120768044+0j),[0.13444544],[1.],[0.64652148],[1.],[0.19527888],[0.14653062],[0.14421661],[0.14312455],[0.14305782],[0.14302037],[0.14350303],[0.14435726],[0.14499424],[0.14541293],[0.14564585]
(0.33420239341192937+0j),[0.12869073],[1.],[0.64674046],[1.],[0.19370173],[0.14421832],[0.1431258],[0.14305881],[0.1430213],[0.14350396],[0.14435828],[0.1449954],[0.14541415],[0.14564711],[0.14575035]
(0.333413481392433+0j),[0.12280969],[1.],[0.64344611],[1.],[0.19235428],[0.14312765],[0.14306016],[0.14302239],[0.14350499],[0.14435933],[0.14499659],[0.14541548],[0.14564848],[0.14575175],[0.1453941]
(0.33247093582462944+0j),[0.11718656],[1.],[0.64070987],[1.],[0.19204683],[0.14306207],[0.14302377],[0.14350613],[0.14436041],[0.1449977],[0.14541676],[0.14564989],[0.14575317],[0.14539554],[0.14471363]
(0.3314063993634785+0j),[0.11196628],[1.],[0.63849233],[1.],[0.19276044],[0.14302564],[0.14350747],[0.14436151],[0.14499875],[0.14541786],[0.14565117],[0.14575458],[0.14539696],[0.14471505],[0.14415509]
(0.3254346859100978+0j),[0.10731952],[1.],[0.63204457],[1.],[0.1932029],[0.14350923],[0.14436277],[0.1449998],[0.14541888],[0.14565226],[0.14575586],[0.14539835],[0.14471644],[0.14415648],[0.1431732]
(0.3197769603563203+0j),[0.1034943],[1.],[0.62708297],[1.],[0.19386995],[0.14436433],[0.14500093],[0.14541983],[0.1456532],[0.14575688],[0.14539955],[0.14471772],[0.14415775],[0.14317446],[0.14188915]
(0.3144953372447845+0j),[0.1004952],[1.],[0.62344875],[1.],[0.19490627],[0.14500228],[0.14542082],[0.14565406],[0.14575775],[0.14540049],[0.14471881],[0.14415891],[0.1431756],[0.14189027],[0.14092265]
(0.3023998436303082+0j),[0.09855221],[1.],[0.61259983],[1.],[0.19522133],[0.145422],[0.14565494],[0.14575852],[0.14540127],[0.14471964],[0.14415986],[0.14317661],[0.14189127],[0.14092364],[0.13929385]
(0.2913470687054073+0j),[0.09786717],[1.],[0.60387912],[1.],[0.19479363],[0.14565585],[0.14575919],[0.14540187],[0.14472027],[0.14416055],[0.1431774],[0.1418921],[0.14092447],[0.13929466],[0.13709153]
(0.28135955341656427+0j),[0.09831423],[1.],[0.59706358],[1.],[0.19417416],[0.1457599],[0.14540243],[0.1447208],[0.14416111],[0.143178],[0.14189276],[0.14092515],[0.13929533],[0.13709218],[0.1353439]
(0.27803715336914175+0j),[0.09951796],[1.],[0.59983764],[1.],[0.19388031],[0.14540302],[0.14472129],[0.14416158],[0.14317848],[0.14189326],[0.14092566],[0.13929585],[0.1370927],[0.13534441],[0.13489331]
(0.27546257666971435+0j),[0.10103685],[1.],[0.60307856],[1.],[0.19359718],[0.14472182],[0.14416202],[0.14317891],[0.14189371],[0.14092611],[0.13929629],[0.13709313],[0.13534484],[0.13489373],[0.13557466]
(0.2736033992431803+0j),[0.10275586],[1.],[0.60664489],[1.],[0.19298427],[0.14416251],[0.14317934],[0.14189412],[0.14092653],[0.13929671],[0.13709354],[0.13534525],[0.13489414],[0.13557507],[0.13634501]
(0.2760207388415673+0j),[0.1044972],[1.],[0.61540089],[1.],[0.19277996],[0.14317982],[0.14189454],[0.14092693],[0.13929712],[0.13709396],[0.13534565],[0.13489455],[0.13557548],[0.13634541],[0.13774334]
(0.27888067723455545+0j),[0.10594519],[1.],[0.62327443],[1.],[0.1924246],[0.14189502],[0.14092733],[0.1392975],[0.13709436],[0.13534606],[0.13489494],[0.13557587],[0.1363458],[0.13774371],[0.13961957]
(0.28205952240092647+0j),[0.10702161],[1.],[0.63022882],[1.],[0.19173039],[0.1409278],[0.1392979],[0.13709474],[0.13534645],[0.13489532],[0.13557624],[0.13634616],[0.13774407],[0.13961992],[0.14129184]
(0.2836886048281704+0j),[0.10788935],[1.],[0.63402393],[1.],[0.19118073],[0.13929843],[0.13709519],[0.13534684],[0.13489571],[0.13557661],[0.13634651],[0.13774442],[0.13962028],[0.14129221],[0.14249991]
(0.2854721730684887+0j),[0.10844053],[1.],[0.63736293],[1.],[0.18981623],[0.1370958],[0.13534734],[0.13489612],[0.13557699],[0.13634689],[0.13774479],[0.13962067],[0.14129262],[0.14250034],[0.14330413]
(0.2873023499638559+0j),[0.10853663],[1.],[0.64027706],[1.],[0.1879041],[0.13534802],[0.13489665],[0.13557742],[0.13634729],[0.1377452],[0.13962109],[0.14129308],[0.14250082],[0.14330463],[0.1440082]
(0.28411994461476797+0j),[0.10848613],[1.],[0.63660288],[1.],[0.18611316],[0.13489736],[0.13557797],[0.13634776],[0.13774565],[0.13962154],[0.14129355],[0.14250134],[0.14330516],[0.14400875],[0.14391422]
(0.281082035624657+0j),[0.10872839],[1.],[0.63362938],[1.],[0.18526883],[0.13557867],[0.13634829],[0.13774611],[0.13962199],[0.14129401],[0.14250182],[0.14330569],[0.14400929],[0.14391477],[0.14316499]
(0.2781565974541761+0j),[0.10941455],[1.],[0.63125028],[1.],[0.1855573],[0.13634894],[0.13774661],[0.13962243],[0.14129444],[0.14250226],[0.14330615],[0.1440098],[0.14391529],[0.14316552],[0.14256204]
(0.2696507612053962+0j),[0.11071801],[1.],[0.621619],[1.],[0.18546316],[0.13774719],[0.13962288],[0.14129484],[0.14250267],[0.14330657],[0.14401023],[0.14391577],[0.143166],[0.14256253],[0.14120741]
(0.2616587762323075+0j),[0.11291731],[1.],[0.61338597],[1.],[0.18551139],[0.13962334],[0.14129521],[0.142503],[0.14330691],[0.14401059],[0.14391614],[0.14316641],[0.14256294],[0.14120783],[0.13919526]
(0.2541838530476755+0j),[0.11602137],[1.],[0.60638073],[1.],[0.18600978],[0.14129559],[0.14250331],[0.14330721],[0.1440109],[0.14391646],[0.14316673],[0.14256329],[0.14120818],[0.13919562],[0.13747933]
(0.24045063883545847+0j),[0.12021118],[1.],[0.58931542],[1.],[0.18562581],[0.14250364],[0.14330749],[0.14401116],[0.14391673],[0.14316701],[0.14256356],[0.14120846],[0.13919591],[0.13747962],[0.1347752]
(0.22787551634530565+0j),[0.12557021],[1.],[0.57395749],[1.],[0.18407214],[0.14330772],[0.14401136],[0.14391692],[0.1431672],[0.14256376],[0.14120866],[0.13919611],[0.13747984],[0.13477542],[0.13112194]
(0.21642554071654746+0j),[0.13188772],[1.],[0.56016231],[1.],[0.18209131],[0.14401155],[0.14391709],[0.14316738],[0.14256394],[0.14120885],[0.1391963],[0.13748002],[0.1347756],[0.13112211],[0.12783721]
(0.21733405366958825+0j),[0.13852669],[1.],[0.57019268],[1.],[0.18129991],[0.14391727],[0.14316755],[0.14256411],[0.14120902],[0.13919647],[0.13748017],[0.13477574],[0.13112225],[0.12783734],[0.12741562]
(0.2186542748929977+0j),[0.1447357],[1.],[0.57947652],[1.],[0.1810406],[0.14316772],[0.14256428],[0.14120919],[0.13919663],[0.13748033],[0.13477588],[0.13112238],[0.12783747],[0.12741575],[0.12959438]
(0.22032786321150896+0j),[0.15037162],[1.],[0.58802361],[1.],[0.18014056],[0.14256443],[0.14120934],[0.13919679],[0.13748049],[0.13477603],[0.13112253],[0.1278376],[0.12741588],[0.12959451],[0.13160549]
(0.22757588929744266+0j),[0.15527135],[1.],[0.60513885],[1.],[0.17995489],[0.14120951],[0.13919695],[0.13748065],[0.13477621],[0.1311227],[0.12783777],[0.12741604],[0.12959468],[0.13160565],[0.13451224]
(0.23491285337844836+0j),[0.15905919],[1.],[0.61995883],[1.],[0.17955311],[0.13919713],[0.13748081],[0.13477638],[0.13112289],[0.12783796],[0.12741622],[0.12959483],[0.1316058],[0.13451238],[0.13811158]
(0.2421786107665804+0j),[0.16166367],[1.],[0.63263253],[1.],[0.17846749],[0.13748101],[0.13477656],[0.13112307],[0.12783813],[0.12741638],[0.12959499],[0.13160594],[0.13451252],[0.13811171],[0.14120924]
(0.24951078088639408+0j),[0.16324739],[1.],[0.64371354],[1.],[0.17768218],[0.13477683],[0.13112329],[0.12783834],[0.12741658],[0.12959517],[0.1316061],[0.13451267],[0.13811188],[0.14120942],[0.14388564]
(0.2564915016960837+0j),[0.16366126],[1.],[0.65291326],[1.],[0.17592719],[0.13112367],[0.12783864],[0.12741683],[0.1295954],[0.13160632],[0.13451288],[0.1381121],[0.14120967],[0.14388592],[0.14616888]
(0.26301144698228923+0j),[0.16282659],[1.],[0.66049885],[1.],[0.17326237],[0.12783911],[0.1274172],[0.1295957],[0.1316066],[0.13451317],[0.1381124],[0.14121001],[0.1438863],[0.1461693],[0.14805739]
(0.2656464908096674+0j),[0.16107208],[1.],[0.66225684],[1.],[0.1707579],[0.12741775],[0.12959613],[0.13160698],[0.13451354],[0.13811278],[0.14121042],[0.14388676],[0.14616979],[0.1480579],[0.14909888]
(0.26779842510353813+0j),[0.15914206],[1.],[0.66352238],[1.],[0.1708661],[0.12959673],[0.13160746],[0.13451397],[0.13811321],[0.14121086],[0.14388723],[0.14617031],[0.14805845],[0.14909944],[0.14943716]
(0.26944759080525443+0j),[0.15750384],[1.],[0.66423989],[1.],[0.17350411],[0.13160807],[0.13451445],[0.13811366],[0.14121131],[0.14388769],[0.1461708],[0.14805899],[0.14910001],[0.14943774],[0.14965873]
(0.26556775611070044+0j),[0.15626802],[1.],[0.65782882],[1.],[0.17547704],[0.13451505],[0.13811413],[0.14121174],[0.14388814],[0.14617127],[0.14805949],[0.14910056],[0.14943831],[0.14965932],[0.14900943]
(0.26158852594612864+0j),[0.15574491],[1.],[0.65206106],[1.],[0.17786823],[0.13811467],[0.14121217],[0.14388854],[0.14617168],[0.14805993],[0.14910104],[0.14943883],[0.14965985],[0.14900997],[0.14763674]
(0.2575668511911431+0j),[0.15602941],[1.],[0.64684489],[1.],[0.18087093],[0.14121265],[0.14388893],[0.14617206],[0.14806033],[0.14910145],[0.14943927],[0.14966033],[0.14901046],[0.14763723],[0.1463991]
(0.24591674774964642+0j),[0.15729537],[1.],[0.63070359],[1.],[0.18262374],[0.14388935],[0.14617241],[0.14806067],[0.1491018],[0.14943964],[0.14966071],[0.14901087],[0.14763765],[0.14639952],[0.14399526]
(0.23503278286127216+0j),[0.1597145],[1.],[0.61608768],[1.],[0.18320573],[0.14617272],[0.14806093],[0.14910206],[0.14943991],[0.149661],[0.14901117],[0.14763798],[0.14639985],[0.14399559],[0.14052991]
(0.2249551885117998+0j),[0.16316638],[1.],[0.60288278],[1.],[0.18334659],[0.14806118],[0.14910228],[0.14944013],[0.14966124],[0.14901143],[0.14763824],[0.14640013],[0.14399587],[0.14053018],[0.1373956]
(0.21592077238249047+0j),[0.16753171],[1.],[0.59134579],[1.],[0.18307577],[0.1491025],[0.14944035],[0.14966146],[0.14901166],[0.14763847],[0.14640034],[0.14399608],[0.14053038],[0.1373958],[0.13460816]
(0.2077489580384902+0j),[0.17257235],[1.],[0.58102217],[1.],[0.18196581],[0.14944053],[0.14966163],[0.14901184],[0.14763865],[0.14640052],[0.14399624],[0.14053054],[0.13739595],[0.1346083],[0.13214573]
(0.20044248862484831+0j),[0.17808583],[1.],[0.57185081],[1.],[0.18017402],[0.14966179],[0.149012],[0.14763882],[0.14640069],[0.14399641],[0.14053069],[0.13739609],[0.13460844],[0.13214586],[0.12994981]
(0.19759644578442584+0j),[0.18384628],[1.],[0.57124823],[1.],[0.17873804],[0.14901216],[0.14763898],[0.14640085],[0.14399657],[0.14053085],[0.13739624],[0.13460858],[0.13214599],[0.12994993],[0.12884926]
(0.1952928043766604+0j),[0.18943867],[1.],[0.57097524],[1.],[0.17693061],[0.14763917],[0.14640102],[0.14399674],[0.14053103],[0.13739641],[0.13460873],[0.13214614],[0.12995006],[0.12884938],[0.12875022]
(0.193469874788007+0j),[0.19467057],[1.],[0.57100302],[1.],[0.17448651],[0.14640123],[0.14399694],[0.14053122],[0.13739658],[0.13460889],[0.13214627],[0.12995017],[0.12884947],[0.12875029],[0.12871927]
(0.19200503027349108+0j),[0.19957878],[1.],[0.57114223],[1.],[0.17226658],[0.1439972],[0.14053144],[0.13739677],[0.13460904],[0.13214638],[0.12995024],[0.1288495],[0.1287503],[0.12871926],[0.12873093]
(0.19086822264175515+0j),[0.20385078],[1.],[0.57151538],[1.],[0.16899318],[0.14053176],[0.13739701],[0.1346092],[0.13214646],[0.12995025],[0.12884945],[0.1287502],[0.12871913],[0.12873077],[0.12877697]
(0.18996462228657218+0j),[0.20723391],[1.],[0.57215352],[1.],[0.16483455],[0.13739736],[0.13460941],[0.13214655],[0.12995022],[0.12884933],[0.12875],[0.12871887],[0.12873047],[0.12877663],[0.12887399]
(0.18737301961064007+0j),[0.20990775],[1.],[0.56910212],[1.],[0.16097044],[0.13460973],[0.13214666],[0.12995016],[0.12884911],[0.12874967],[0.12871844],[0.12872996],[0.12877607],[0.1288734],[0.12857868]
(0.1849620782443596+0j),[0.21202948],[1.],[0.56658443],[1.],[0.15739571],[0.13214684],[0.12995006],[0.1288488],[0.12874919],[0.12871781],[0.12872921],[0.12877523],[0.12887251],[0.12857775],[0.12792535]
(0.18267754472013048+0j),[0.21366617],[1.],[0.56453641],[1.],[0.15430283],[0.12994997],[0.12884839],[0.12874854],[0.12871696],[0.1287282],[0.12877408],[0.12887127],[0.12857645],[0.12792401],[0.12738209]
(0.1780682292899645+0j),[0.21495633],[1.],[0.55752997],[1.],[0.15130607],[0.12884796],[0.12874776],[0.1287159],[0.1287269],[0.12877259],[0.12886963],[0.1285747],[0.12792219],[0.12738024],[0.12632885]
(0.1736805792095737+0j),[0.21620755],[1.],[0.55126858],[1.],[0.14920131],[0.12874691],[0.12871465],[0.12872532],[0.12877075],[0.12886759],[0.12857249],[0.12791984],[0.12737783],[0.12632639],[0.12480045]
(0.16949883099972624+0j),[0.21760128],[1.],[0.54560947],[1.],[0.14816323],[0.12871331],[0.12872353],[0.12876859],[0.12886515],[0.12856981],[0.12791695],[0.12737481],[0.12632329],[0.12479727],[0.12342297]
