Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.00254479905768747+0j),[-5.16679132e-16],[1.],[0.10076211],[1.],[0.00568507],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.01137014]
(0.00965553484426702+0j),[-1.72936112e-15],[1.],[0.1955404],[1.],[0.01671649],[-2.76887596e-29],[9.85313616e-37],[-3.6402581e-33],[0.],[0.],[-9.42128814e-31],[3.33072267e-31],[5.3124801e-30],[0.01137014],[0.03343297]
(0.0205816530664032+0j),[-7.27592376e-16],[1.],[0.28378641],[1.],[0.02704048],[-1.42488139e-22],[2.55140345e-25],[1.45532541e-28],[-5.96270867e-22],[-9.76212419e-23],[-5.74829327e-23],[-9.6332379e-24],[0.01137014],[0.03343297],[0.05408097]
(0.03680430657201542+0j),[-5.2742808e-15],[1.],[0.37602904],[1.],[0.03722733],[-7.79142144e-22],[1.49973007e-22],[-5.7504963e-22],[-1.90427143e-23],[-1.0805966e-22],[-6.34355695e-23],[0.01137014],[0.03343297],[0.05408097],[0.07445467]
(0.056288368888460456+0j),[-3.74446924e-15],[1.],[0.45965772],[1.],[0.04714671],[-6.85590064e-22],[-8.41684203e-22],[6.03606689e-22],[-1.07275338e-20],[5.8696474e-22],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342]
(0.07823805043632728+0j),[-7.21573234e-16],[1.],[0.53445531],[1.],[0.05608064],[-3.31761256e-20],[-3.54589955e-21],[-2.4597946e-20],[6.26685732e-21],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128]
(0.10143945312781859+0j),[3.7712642e-15],[1.],[0.59910359],[1.],[0.06394119],[1.39813134e-20],[8.81931426e-21],[2.76571697e-20],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128],[0.12788238]
(0.12566411869962155+0j),[1.30250846e-16],[1.],[0.65526721],[1.],[0.07075128],[-2.36031259e-20],[3.10145751e-20],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128],[0.12788238],[0.14150256]
(0.15036006123316115+0j),[5.61121947e-15],[1.],[0.70320216],[1.],[0.07661795],[-1.67120842e-19],[0.01137014],[0.03343297],[0.05408097],[0.07445467],[0.09429342],[0.11216128],[0.12788238],[0.14150256],[0.15323589]
(0.1732461946273312+0j),[8.46464985e-16],[1.],[0.74018098],[1.],[0.08139695],[0.01137014],[0.03343298],[0.05408098],[0.07445468],[0.09429343],[0.11216129],[0.12788239],[0.14150257],[0.1532359],[0.1627939]
(0.19517028010068097+0j),[0.00139699],[1.],[0.76975269],[1.],[0.09637671],[0.03343298],[0.05408098],[0.07445469],[0.09429345],[0.11216131],[0.12788241],[0.14150259],[0.15323592],[0.16279392],[0.170288]
(0.21533424516995456+0j),[0.00528227],[1.],[0.79189892],[1.],[0.12083128],[0.05408099],[0.07445471],[0.09429348],[0.11216134],[0.12788244],[0.14150262],[0.15323596],[0.16279396],[0.17028803],[0.1761066]
(0.23113422689658095+0j),[0.01123858],[1.],[0.80448875],[1.],[0.14246458],[0.07445473],[0.09429351],[0.11216138],[0.12788249],[0.14150269],[0.15323604],[0.16279403],[0.1702881],[0.17610667],[0.18000055]
(0.2449010224908039+0j),[0.01906608],[1.],[0.81218448],[1.],[0.16262954],[0.09429355],[0.11216144],[0.12788257],[0.14150279],[0.15323616],[0.16279415],[0.17028822],[0.17610678],[0.18000065],[0.18227711]
(0.2566139437229594+0j),[0.02854413],[1.],[0.8156571],[1.],[0.18140208],[0.11216151],[0.12788265],[0.1415029],[0.15323629],[0.1627943],[0.17028837],[0.17610691],[0.18000078],[0.18227724],[0.18352636]
(0.2632933495217452+0j),[0.03940361],[1.],[0.81226349],[1.],[0.19728115],[0.12788274],[0.14150301],[0.15323642],[0.16279446],[0.17028853],[0.17610707],[0.18000093],[0.18227738],[0.1835265],[0.183518]
(0.26840348098920785+0j),[0.051416],[1.],[0.80683915],[1.],[0.21026822],[0.14150312],[0.15323655],[0.1627946],[0.1702887],[0.17610726],[0.1800011],[0.18227754],[0.18352665],[0.18351816],[0.18251813]
(0.2721717714202679+0j),[0.06429473],[1.],[0.79987256],[1.],[0.22075639],[0.15323667],[0.16279475],[0.17028887],[0.17610745],[0.1800013],[0.18227773],[0.18352683],[0.18351833],[0.1825183],[0.18111659]
(0.2821211560372463+0j),[0.07752632],[1.],[0.79936608],[1.],[0.22951809],[0.1627949],[0.17028904],[0.17610764],[0.18000152],[0.18227795],[0.18352703],[0.18351851],[0.18251848],[0.18111677],[0.18028878]
