Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(2.382330381635651e-05+0j),[-1.42463569e-14],[1.],[0.00976169],[1.],"(array([0.00104751]), array([0.00181434]))","(array([1.58709647e-26]), array([1.09439127e-26]))","(array([5.50381787e-27]), array([6.9556468e-27]))","(array([7.05068852e-27]), array([6.42304288e-27]))","(array([-2.91148007e-27]), array([-2.48086517e-27]))","(array([0.00015226]), array([1.03724267e-16]))","(array([0.00041454]), array([4.81033399e-16]))","(array([0.00063757]), array([-4.62257728e-15]))","(array([0.00084685]), array([-4.19995527e-15]))","(array([0.00104442]), array([-9.55561585e-16]))","(array([0.00122214]), array([-2.37738431e-15]))","(array([0.00136102]), array([-1.64554785e-15]))","(array([0.00149077]), array([-9.76324056e-16]))","(array([0.00165246]), array([-2.21226032e-15]))","(array([0.00186787]), array([-2.69337504e-15]))","(array([0.00209502]), array([-2.8776352e-15]))"
(2.6588556087794448e-05+0j),[-1.95775662e-14],[1.],[0.01031265],[1.],"(array([0.00113164]), array([0.00196005]))","(array([5.90385808e-27]), array([2.8699751e-27]))","(array([6.56482399e-27]), array([6.48291722e-27]))","(array([-2.89684245e-27]), array([-2.31816101e-27]))","(array([0.00015226]), array([1.15440426e-16]))","(array([0.00041454]), array([5.32153531e-16]))","(array([0.00063757]), array([-4.47992338e-15]))","(array([0.00084685]), array([-4.08649351e-15]))","(array([0.00104442]), array([-9.93047875e-16]))","(array([0.00122214]), array([-2.54787511e-15]))","(array([0.00136102]), array([-1.74805916e-15]))","(array([0.00149077]), array([-8.52887639e-16]))","(array([0.00165246]), array([-1.89074017e-15]))","(array([0.00186787]), array([-2.80445155e-15]))","(array([0.00209502]), array([-4.20930651e-15]))","(array([0.00226327]), array([-4.42647221e-15]))"
(3.052075463638779e-05+0j),[-2.06392508e-14],[1.],[0.01104891],[1.],"(array([0.0012042]), array([0.00208573]))","(array([6.8119711e-27]), array([3.34985347e-26]))","(array([-4.46033133e-27]), array([-2.22240683e-26]))","(array([0.00015226]), array([1.23273787e-16]))","(array([0.00041454]), array([5.69124825e-16]))","(array([0.00063757]), array([-4.44281656e-15]))","(array([0.00084685]), array([-3.99260161e-15]))","(array([0.00104442]), array([-9.63015475e-16]))","(array([0.00122214]), array([-2.57584752e-15]))","(array([0.00136102]), array([-1.83880688e-15]))","(array([0.00149077]), array([-8.45135593e-16]))","(array([0.00165246]), array([-1.77749525e-15]))","(array([0.00186787]), array([-2.64930222e-15]))","(array([0.00209502]), array([-4.28205648e-15]))","(array([0.00226327]), array([-4.68982492e-15]))","(array([0.0024084]), array([-4.8828129e-15]))"
(3.4872973622857725e-05+0j),[-1.92190088e-14],[1.],[0.01181041],[1.],"(array([0.00128863]), array([0.00223198]))","(array([1.22988761e-26]), array([-7.58431657e-27]))","(array([0.00015226]), array([1.28010395e-16]))","(array([0.00041454]), array([5.87732445e-16]))","(array([0.00063757]), array([-4.39887926e-15]))","(array([0.00084685]), array([-3.92963656e-15]))","(array([0.00104442]), array([-9.0099911e-16]))","(array([0.00122214]), array([-2.50185072e-15]))","(array([0.00136102]), array([-1.81506286e-15]))","(array([0.00149077]), array([-8.00086993e-16]))","(array([0.00165246]), array([-1.727893e-15]))","(array([0.00186787]), array([-2.59211055e-15]))","(array([0.00209502]), array([-4.26140243e-15]))","(array([0.00226327]), array([-4.72126678e-15]))","(array([0.0024084]), array([-5.05368317e-15]))","(array([0.00257726]), array([-4.46105826e-15]))"
(4.002249907223468e-05+0j),[-2.18091671e-14],[1.],[0.01265235],[1.],"(array([0.00137902]), array([0.00238853]))","(array([0.00015226]), array([1.40038263e-16]))","(array([0.00041454]), array([6.41251375e-16]))","(array([0.00063757]), array([-4.28509225e-15]))","(array([0.00084685]), array([-3.7480327e-15]))","(array([0.00104442]), array([-7.79514257e-16]))","(array([0.00122214]), array([-2.48867767e-15]))","(array([0.00136102]), array([-1.86450248e-15]))","(array([0.00149077]), array([-9.03953561e-16]))","(array([0.00165246]), array([-1.80503399e-15]))","(array([0.00186787]), array([-2.48076299e-15]))","(array([0.00209502]), array([-3.85363399e-15]))","(array([0.00226327]), array([-4.24757885e-15]))","(array([0.0024084]), array([-5.00380987e-15]))","(array([0.00257726]), array([-5.38588271e-15]))","(array([0.00275804]), array([-5.25198374e-15]))"
(4.3430050649669676e-05+0j),[2.89929795e-05],[1.],[0.0131799],[1.],"(array([0.00160565]), array([0.00252388]))","(array([0.00041454]), array([6.36792593e-16]))","(array([0.00063757]), array([-4.63138642e-15]))","(array([0.00084685]), array([-4.58552467e-15]))","(array([0.00104442]), array([-1.58626909e-15]))","(array([0.00122214]), array([-3.47405481e-15]))","(array([0.00136102]), array([-3.38075921e-15]))","(array([0.00149077]), array([-3.32730805e-15]))","(array([0.00165246]), array([-4.48404334e-15]))","(array([0.00186787]), array([-4.79542621e-15]))","(array([0.00209502]), array([-4.56806901e-15]))","(array([0.00226327]), array([-3.60074384e-15]))","(array([0.0024084]), array([-3.25564228e-15]))","(array([0.00257726]), array([-3.77562565e-15]))","(array([0.00275804]), array([-4.82827753e-15]))","(array([0.00291244]), array([3.26880091e-06]))"
(4.7371533195476416e-05+0j),[0.00010649],[1.],[0.01376456],[1.],"(array([0.00192023]), array([0.00263848]))","(array([0.00063757]), array([-4.63274167e-15]))","(array([0.00084685]), array([-4.59062042e-15]))","(array([0.00104442]), array([-1.55881167e-15]))","(array([0.00122214]), array([-3.48093949e-15]))","(array([0.00136102]), array([-3.43052409e-15]))","(array([0.00149077]), array([-3.43041567e-15]))","(array([0.00165246]), array([-4.68689757e-15]))","(array([0.00186787]), array([-5.03861276e-15]))","(array([0.00209502]), array([-4.84107112e-15]))","(array([0.00226327]), array([-3.70536934e-15]))","(array([0.0024084]), array([-3.1452705e-15]))","(array([0.00257726]), array([-3.36059305e-15]))","(array([0.00275804]), array([-4.330954e-15]))","(array([0.00291244]), array([3.26880091e-06]))","(array([0.00303784]), array([1.52753547e-05]))"
(4.345663252424097e-05+0j),[0.00022262],[1.],[0.01318204],[1.],"(array([0.00212447]), array([0.00264961]))","(array([0.00084685]), array([-5.4190593e-15]))","(array([0.00104442]), array([-2.67955146e-15]))","(array([0.00122214]), array([-4.82583808e-15]))","(array([0.00136102]), array([-4.87836768e-15]))","(array([0.00149077]), array([-4.99139575e-15]))","(array([0.00165246]), array([-6.29953988e-15]))","(array([0.00186787]), array([-6.5613205e-15]))","(array([0.00209502]), array([-5.15971814e-15]))","(array([0.00226327]), array([-3.9732757e-15]))","(array([0.0024084]), array([-3.66200126e-15]))","(array([0.00257726]), array([-3.75470054e-15]))","(array([0.00275804]), array([-3.79297288e-15]))","(array([0.00291244]), array([3.26880091e-06]))","(array([0.00303784]), array([1.52753547e-05]))","(array([0.00303808]), array([3.71057266e-05]))"
(3.8849173942663475e-05+0j),[0.00037284],[1.],[0.01245986],[1.],"(array([0.0022342]), array([0.00253723]))","(array([0.00104442]), array([-4.46848504e-15]))","(array([0.00122214]), array([-7.09539849e-15]))","(array([0.00136102]), array([-7.4949812e-15]))","(array([0.00149077]), array([-7.84187168e-15]))","(array([0.00165246]), array([-9.20189489e-15]))","(array([0.00186787]), array([-8.80762477e-15]))","(array([0.00209502]), array([-6.34529321e-15]))","(array([0.00226327]), array([-4.86210464e-15]))","(array([0.0024084]), array([-4.76669485e-15]))","(array([0.00257726]), array([-4.84985316e-15]))","(array([0.00275804]), array([-4.22871373e-15]))","(array([0.00291244]), array([3.26880091e-06]))","(array([0.00303784]), array([1.52753547e-05]))","(array([0.00303808]), array([3.71057266e-05]))","(array([0.00289098]), array([6.71351264e-05]))"
(3.446052877467306e-05+0j),[0.00055324],[1.],[0.01172721],[1.],"(array([0.00231747]), array([0.00241382]))","(array([0.00122214]), array([-8.75558306e-15]))","(array([0.00136102]), array([-9.40545385e-15]))","(array([0.00149077]), array([-9.88673119e-15]))","(array([0.00165246]), array([-1.11792086e-14]))","(array([0.00186787]), array([-1.03909936e-14]))","(array([0.00209502]), array([-7.54816131e-15]))","(array([0.00226327]), array([-5.78736278e-15]))","(array([0.0024084]), array([-5.83300769e-15]))","(array([0.00257726]), array([-6.01298525e-15]))","(array([0.00275804]), array([-5.22986602e-15]))","(array([0.00291244]), array([3.26880091e-06]))","(array([0.00303784]), array([1.52753547e-05]))","(array([0.00303808]), array([3.71057266e-05]))","(array([0.00289098]), array([6.71351264e-05]))","(array([0.00272696]), array([0.00010441]))"
