Es,Sx,Sxx,Sy,Syy,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00044214360332594057+0j),[0.01175172],[1.],[0.04036174],[1.],"(array([0.01224946]), array([0.01052805]))","(array([0.01012562]), array([0.00145336]))","(array([0.01014105]), array([0.00170955]))","(array([0.00987765]), array([0.00197435]))","(array([0.00961744]), array([0.00224322]))","(array([0.00930838]), array([0.00251407]))"
(0.00043213223202108377+0j),[0.01293713],[1.],[0.03949397],[1.],"(array([0.01221666]), array([0.0106422]))","(array([0.01014105]), array([0.00170955]))","(array([0.00987765]), array([0.00197435]))","(array([0.00961744]), array([0.00224322]))","(array([0.00930838]), array([0.00251407]))","(array([0.00900329]), array([0.00278353]))"
(0.000411726087423603+0j),[0.01403857],[1.],[0.03805908],[1.],"(array([0.01187899]), array([0.01080248]))","(array([0.00987765]), array([0.00197435]))","(array([0.00961744]), array([0.00224322]))","(array([0.00930838]), array([0.00251407]))","(array([0.00900329]), array([0.00278353]))","(array([0.00874368]), array([0.00304136]))"
(0.000357783213007815+0j),[0.01500618],[1.],[0.03471006],[1.],"(array([0.0111439]), array([0.01071682]))","(array([0.00961744]), array([0.00224322]))","(array([0.00930838]), array([0.00251407]))","(array([0.00900329]), array([0.00278353]))","(array([0.00874368]), array([0.00304136]))","(array([0.00820432]), array([0.00327464]))"
(0.0003213940059244316+0j),[0.01584677],[1.],[0.03214677],[1.],"(array([0.01037384]), array([0.01051035]))","(array([0.00930838]), array([0.00251407]))","(array([0.00900329]), array([0.00278353]))","(array([0.00874368]), array([0.00304136]))","(array([0.00820432]), array([0.00327464]))","(array([0.00753774]), array([0.0034785]))"
(0.00028664158606242756+0j),[0.01655711],[1.],[0.02952119],[1.],"(array([0.00962084]), array([0.01036199]))","(array([0.00900329]), array([0.00278353]))","(array([0.00874368]), array([0.00304136]))","(array([0.00820432]), array([0.00327464]))","(array([0.00753774]), array([0.0034785]))","(array([0.00695272]), array([0.00365336]))"
(0.0002705353422066058+0j),[0.01714453],[1.],[0.02805971],[1.],"(array([0.00895864]), array([0.01030555]))","(array([0.00874368]), array([0.00304136]))","(array([0.00820432]), array([0.00327464]))","(array([0.00753774]), array([0.0034785]))","(array([0.00695272]), array([0.00365336]))","(array([0.00649193]), array([0.00379967]))"
(0.00027092113484967687+0j),[0.01762503],[1.],[0.02778872],[1.],"(array([0.00849709]), array([0.01045442]))","(array([0.00820432]), array([0.00327464]))","(array([0.00753774]), array([0.0034785]))","(array([0.00695272]), array([0.00365336]))","(array([0.00649193]), array([0.00379967]))","(array([0.0062966]), array([0.00392008]))"
(0.0002723577141551117+0j),[0.01795329],[1.],[0.02768216],[1.],"(array([0.00785749]), array([0.01069642]))","(array([0.00753774]), array([0.0034785]))","(array([0.00695272]), array([0.00365336]))","(array([0.00649193]), array([0.00379967]))","(array([0.0062966]), array([0.00392008]))","(array([0.00625404]), array([0.00401126]))"
(0.00028640219751152005+0j),[0.01811585],[1.],[0.02857628],[1.],"(array([0.00718738]), array([0.01100485]))","(array([0.00695272]), array([0.00365336]))","(array([0.00649193]), array([0.00379967]))","(array([0.0062966]), array([0.00392008]))","(array([0.00625404]), array([0.00401126]))","(array([0.00634283]), array([0.0040666]))"
(0.0002990524907053089+0j),[0.01813965],[1.],[0.02943338],[1.],"(array([0.00668288]), array([0.0113612]))","(array([0.00649193]), array([0.00379967]))","(array([0.0062966]), array([0.00392008]))","(array([0.00625404]), array([0.00401126]))","(array([0.00634283]), array([0.0040666]))","(array([0.00654027]), array([0.00408761]))"
(0.0003186117736518017+0j),[0.01805838],[1.],[0.03078083],[1.],"(array([0.00635197]), array([0.01171953]))","(array([0.0062966]), array([0.00392008]))","(array([0.00625404]), array([0.00401126]))","(array([0.00634283]), array([0.0040666]))","(array([0.00654027]), array([0.00408761]))","(array([0.00678882]), array([0.00408113]))"
(0.0003444271976342536+0j),[0.01793066],[1.],[0.03248456],[1.],"(array([0.00634906]), array([0.01212607]))","(array([0.00625404]), array([0.00401126]))","(array([0.00634283]), array([0.0040666]))","(array([0.00654027]), array([0.00408761]))","(array([0.00678882]), array([0.00408113]))","(array([0.00713282]), array([0.00405757]))"
(0.00037169416298822805+0j),[0.0177911],[1.],[0.03419373],[1.],"(array([0.00652498]), array([0.01253542]))","(array([0.00634283]), array([0.0040666]))","(array([0.00654027]), array([0.00408761]))","(array([0.00678882]), array([0.00408113]))","(array([0.00713282]), array([0.00405757]))","(array([0.00751761]), array([0.00402743]))"
