Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00030302227962641335+0j),[1.2732641e-14],[1.],[0.03480879],[1.],"(array([0.0037618]), array([0.00651563]))","(array([1.82651782e-24]), array([4.10503148e-24]))","(array([3.41922612e-25]), array([-5.93375795e-26]))","(array([6.58074936e-26]), array([4.89001531e-25]))","(array([-2.39424973e-25]), array([-3.34594109e-25]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))"
(0.00035693244150042315+0j),[7.7379292e-15],[1.],[0.03777717],[1.],"(array([0.00409184]), array([0.00708727]))","(array([2.89432268e-25]), array([-5.31134444e-26]))","(array([5.90428204e-26]), array([4.83929587e-25]))","(array([-2.29394541e-25]), array([-3.17018473e-25]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))"
(0.0004108262496140293+0j),[9.08881246e-15],[1.],[0.04052749],[1.],"(array([0.00441421]), array([0.00764564]))","(array([2.62035105e-25]), array([5.25586921e-25]))","(array([1.59252089e-24]), array([3.10353232e-24]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))"
(0.00048730196160342193+0j),[1.33425115e-14],[1.],[0.04413663],[1.],"(array([0.00477271]), array([0.00826658]))","(array([1.49720795e-24]), array([2.94903277e-24]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))","(array([0.00477271]), array([0.00826658]))"
(0.0005653061870056791+0j),[8.90625597e-15],[1.],[0.04753572],[1.],"(array([0.00516778]), array([0.00895086]))","(array([0.00018324]), array([0.00031739]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))","(array([0.00477271]), array([0.00826658]))","(array([0.00516778]), array([0.00895086]))"
(0.0006396847590706261+0j),[1.30525453e-14],[1.],[0.05056371],[1.],"(array([0.00571333]), array([0.00989578]))","(array([0.00052299]), array([0.00090585]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))","(array([0.00477271]), array([0.00826658]))","(array([0.00516778]), array([0.00895086]))","(array([0.00553009]), array([0.0095784]))"
(0.0007186364582633665+0j),[1.04264894e-14],[1.],[0.05359037],[1.],"(array([0.0063944]), array([0.01107543]))","(array([0.00085779]), array([0.00148573]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))","(array([0.00477271]), array([0.00826658]))","(array([0.00516778]), array([0.00895086]))","(array([0.00553009]), array([0.0095784]))","(array([0.00587141]), array([0.01016957]))"
(0.0007943348884737639+0j),[8.21355215e-15],[1.],[0.05633911],[1.],"(array([0.00705476]), array([0.01221921]))","(array([0.00121092]), array([0.00209738]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))","(array([0.00477271]), array([0.00826658]))","(array([0.00516778]), array([0.00895086]))","(array([0.00553009]), array([0.0095784]))","(array([0.00587141]), array([0.01016957]))","(array([0.00619698]), array([0.01073348]))"
(0.0008551004830418152+0j),[4.91637882e-15],[1.],[0.05845137],[1.],"(array([0.00768192]), array([0.01330547]))","(array([0.00155199]), array([0.00268812]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))","(array([0.00477271]), array([0.00826658]))","(array([0.00516778]), array([0.00895086]))","(array([0.00553009]), array([0.0095784]))","(array([0.00587141]), array([0.01016957]))","(array([0.00619698]), array([0.01073348]))","(array([0.006471]), array([0.0112081]))"
(0.0009082552405984825+0j),[2.30769445e-15],[1.],[0.06023781],[1.],"(array([0.00824277]), array([0.01427689]))","(array([0.0019056]), array([0.00330059]))","(array([0.00230348]), array([0.00398974]))","(array([0.00270712]), array([0.00468887]))","(array([0.00306732]), array([0.00531275]))","(array([0.00341674]), array([0.00591796]))","(array([0.0037618]), array([0.00651563]))","(array([0.00409184]), array([0.00708727]))","(array([0.00441421]), array([0.00764564]))","(array([0.00477271]), array([0.00826658]))","(array([0.00516778]), array([0.00895086]))","(array([0.00553009]), array([0.0095784]))","(array([0.00587141]), array([0.01016957]))","(array([0.00619698]), array([0.01073348]))","(array([0.006471]), array([0.0112081]))","(array([0.00669078]), array([0.01158876]))"
