Es,Sx,Sxx,Sy,Syy,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.004055711243332485+0j),[0.06686839],[1.],[0.10735403],[1.],"(array([0.02160979]), array([0.04365171]))","(array([0.0217676]), array([0.01548034]))","(array([0.02068527]), array([0.01550444]))","(array([0.01957781]), array([0.0155363]))","(array([0.0186573]), array([0.01557699]))","(array([0.01800711]), array([0.01562394]))","(array([0.01768878]), array([0.01567055]))","(array([0.0175172]), array([0.0157133]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))"
(0.004225340663131876+0j),[0.06596096],[1.],[0.11098285],[1.],"(array([0.0211063]), array([0.04428653]))","(array([0.02068527]), array([0.01550444]))","(array([0.01957781]), array([0.0155363]))","(array([0.0186573]), array([0.01557699]))","(array([0.01800711]), array([0.01562394]))","(array([0.01768878]), array([0.01567055]))","(array([0.0175172]), array([0.0157133]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))"
(0.004388806350880706+0j),[0.06488975],[1.],[0.11447494],[1.],"(array([0.02061858]), array([0.04489436]))","(array([0.01957781]), array([0.0155363]))","(array([0.0186573]), array([0.01557699]))","(array([0.01800711]), array([0.01562394]))","(array([0.01768878]), array([0.01567055]))","(array([0.0175172]), array([0.0157133]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))"
(0.0045533614932912895+0j),[0.0636576],[1.],[0.11795867],[1.],"(array([0.02012927]), array([0.04547748]))","(array([0.0186573]), array([0.01557699]))","(array([0.01800711]), array([0.01562394]))","(array([0.01768878]), array([0.01567055]))","(array([0.0175172]), array([0.0157133]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))"
(0.004717549173602456+0j),[0.0623073],[1.],[0.121384],[1.],"(array([0.01985039]), array([0.0460472]))","(array([0.01800711]), array([0.01562394]))","(array([0.01768878]), array([0.01567055]))","(array([0.0175172]), array([0.0157133]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))"
(0.004884342094578151+0j),[0.06089556],[1.],[0.12477123],[1.],"(array([0.01985392]), array([0.04660361]))","(array([0.01768878]), array([0.01567055]))","(array([0.0175172]), array([0.0157133]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))"
(0.005081263737458273+0j),[0.05948845],[1.],[0.12851476],[1.],"(array([0.0202128]), array([0.04718757]))","(array([0.0175172]), array([0.0157133]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))"
(0.005265638798180969+0j),[0.05811397],[1.],[0.1319329],[1.],"(array([0.02071653]), array([0.04777277]))","(array([0.01741229]), array([0.01575038]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))"
(0.005459937820370169+0j),[0.05678377],[1.],[0.13537532],[1.],"(array([0.02126245]), array([0.04832724]))","(array([0.01752378]), array([0.01577785]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))"
(0.005686247948537488+0j),[0.05553749],[1.],[0.13913912],[1.],"(array([0.02203175]), array([0.04891309]))","(array([0.01769639]), array([0.01579557]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))"
(0.005928246517433304+0j),[0.05438337],[1.],[0.14297148],[1.],"(array([0.02286694]), array([0.04953719]))","(array([0.01797881]), array([0.01580408]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))"
(0.006156256506230429+0j),[0.05333845],[1.],[0.14646288],[1.],"(array([0.02377692]), array([0.05013681]))","(array([0.01836892]), array([0.01579882]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))"
(0.006398899859018092+0j),[0.05241901],[1.],[0.15001112],[1.],"(array([0.02475567]), array([0.05070817]))","(array([0.01880462]), array([0.01577403]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192358]))"
(0.0066151057163444825+0j),[0.05162941],[1.],[0.15308428],[1.],"(array([0.02573149]), array([0.05123353]))","(array([0.0194245]), array([0.01573077]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475271]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192358]))","(array([0.03417226]), array([0.0117309]))"
(0.006770593743109667+0j),[0.05100002],[1.],[0.15526862],[1.],"(array([0.02678629]), array([0.05162359]))","(array([0.02014753]), array([0.01567521]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192358]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))"
(0.006968755438447933+0j),[0.05054355],[1.],[0.15789671],[1.],"(array([0.02788663]), array([0.05197672]))","(array([0.02081126]), array([0.01560678]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192358]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))"
(0.007188998994517225+0j),[0.05024126],[1.],[0.16070056],[1.],"(array([0.02893066]), array([0.05239589]))","(array([0.02148314]), array([0.01552346]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192358]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))"
(0.007391099422634779+0j),[0.05008848],[1.],[0.16318806],[1.],"(array([0.02994525]), array([0.05280355]))","(array([0.02223426]), array([0.01542655]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698451]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))"
(0.007598264205627924+0j),[0.05009406],[1.],[0.16564771],[1.],"(array([0.03098961]), array([0.05318138]))","(array([0.02300629]), array([0.01530951]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698452]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))"
(0.007735654857484002+0j),[0.0502563],[1.],[0.16720274],[1.],"(array([0.03197157]), array([0.05346577]))","(array([0.02379794]), array([0.01516123]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698452]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752692]), array([0.01131397]))"
(0.007864475334145494+0j),[0.0505746],[1.],[0.16859554],[1.],"(array([0.03288248]), array([0.05363239]))","(array([0.02461624]), array([0.0149758]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698452]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752692]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))"
(0.007850062076122691+0j),[0.05105065],[1.],[0.16826209],[1.],"(array([0.03368293]), array([0.05359514]))","(array([0.02541908]), array([0.01475272]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698452]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))"
(0.007874405937757897+0j),[0.0516781],[1.],[0.16833544],[1.],"(array([0.03436336]), array([0.05340888]))","(array([0.02620556]), array([0.01449302]))","(array([0.02698452]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))"
(0.0077656156810535755+0j),[0.05245065],[1.],[0.1667994],[1.],"(array([0.0349307]), array([0.05308526]))","(array([0.02698452]), array([0.01420186]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))","(array([0.03778443]), array([0.01173993]))"
(0.007615208781617711+0j),[0.0533638],[1.],[0.16470641],[1.],"(array([0.03534049]), array([0.05253479]))","(array([0.02775259]), array([0.01389045]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))","(array([0.03778443]), array([0.01173993]))","(array([0.03737528]), array([0.01192998]))"
(0.007411303919393167+0j),[0.05441121],[1.],[0.16189004],[1.],"(array([0.0356404]), array([0.05185456]))","(array([0.02855655]), array([0.01357264]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))","(array([0.03778443]), array([0.01173993]))","(array([0.03737528]), array([0.01192998]))","(array([0.03682179]), array([0.01215101]))"
(0.007379949516776632+0j),[0.05559332],[1.],[0.16109594],[1.],"(array([0.03602312]), array([0.05130994]))","(array([0.02936398]), array([0.01325903]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))","(array([0.03778443]), array([0.01173993]))","(array([0.03737528]), array([0.01192998]))","(array([0.03682179]), array([0.01215101]))","(array([0.03641474]), array([0.01240241]))"
(0.007542535738592677+0j),[0.05690206],[1.],[0.16260952],[1.],"(array([0.03662789]), array([0.05120704]))","(array([0.03013747]), array([0.01295409]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))","(array([0.03778443]), array([0.01173993]))","(array([0.03737528]), array([0.01192998]))","(array([0.03682179]), array([0.01215101]))","(array([0.03641474]), array([0.01240241]))","(array([0.0364959]), array([0.01268327]))"
(0.007739305131132085+0j),[0.05832267],[1.],[0.16446418],[1.],"(array([0.03732476]), array([0.05138485]))","(array([0.03094994]), array([0.01266361]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417226]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))","(array([0.03778443]), array([0.01173993]))","(array([0.03737528]), array([0.01192998]))","(array([0.03682179]), array([0.01215102]))","(array([0.03641474]), array([0.01240241]))","(array([0.0364959]), array([0.01268327]))","(array([0.03687566]), array([0.012991]))"
(0.007963274593747578+0j),[0.05985503],[1.],[0.16656223],[1.],"(array([0.03807173]), array([0.05164678]))","(array([0.03180637]), array([0.01239298]))","(array([0.03263207]), array([0.01214505]))","(array([0.03342575]), array([0.01192359]))","(array([0.03417227]), array([0.0117309]))","(array([0.03476499]), array([0.01157091]))","(array([0.03530758]), array([0.01144849]))","(array([0.03592]), array([0.01136295]))","(array([0.03651656]), array([0.01131165]))","(array([0.03707432]), array([0.01129505]))","(array([0.03752693]), array([0.01131397]))","(array([0.03785927]), array([0.01136815]))","(array([0.03797867]), array([0.01145769]))","(array([0.03794936]), array([0.01158211]))","(array([0.03778443]), array([0.01173993]))","(array([0.03737528]), array([0.01192998]))","(array([0.03682179]), array([0.01215102]))","(array([0.03641474]), array([0.01240241]))","(array([0.0364959]), array([0.01268327]))","(array([0.03687566]), array([0.012991]))","(array([0.03732131]), array([0.01332394]))"
