Es,Sx,Sxx,Sy,Syy,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00039270483089362963+0j),[9.46321814e-15],[1.],[0.0396242],[1.],"(array([0.00428628]), array([0.00742406]))","(array([8.00174814e-25]), array([1.28722041e-24]))","(array([-5.36842223e-26]), array([3.34142625e-26]))","(array([2.66980591e-26]), array([4.45124992e-26]))","(array([4.35287008e-28]), array([1.39507083e-25]))","(array([-1.51996775e-25]), array([8.40680457e-26]))","(array([5.2909468e-25]), array([-3.70449649e-25]))","(array([-1.3580684e-25]), array([1.38936295e-26]))","(array([7.2733293e-26]), array([-1.14128268e-25]))","(array([4.94347534e-26]), array([-7.23784736e-26]))","(array([0.0004905]), array([-4.16265872e-16]))","(array([0.00144384]), array([-1.91817048e-15]))","(array([0.00232152]), array([-4.33680869e-16]))","(array([0.00319108]), array([3.22593514e-15]))","(array([0.00407583]), array([1.42269009e-15]))","(array([0.004918]), array([-4.81168924e-16]))","(array([0.00574489]), array([-3.10472134e-15]))","(array([0.00642766]), array([-8.71048025e-16]))","(array([0.0070575]), array([2.72329902e-15]))","(array([0.0078148]), array([2.74845251e-15]))","(array([0.00857256]), array([2.01119503e-15]))"
(0.000448215018763927+0j),[8.12480772e-15],[1.],[0.04233054],[1.],"(array([0.00461998]), array([0.00800203]))","(array([3.57262488e-24]), array([-2.05623384e-24]))","(array([6.23704571e-26]), array([2.77881229e-26]))","(array([5.89708266e-26]), array([1.22931709e-25]))","(array([-3.98632233e-25]), array([1.99915067e-25]))","(array([4.57110526e-25]), array([-3.78701627e-25]))","(array([-2.85914368e-25]), array([-3.44746715e-26]))","(array([-2.3478676e-24]), array([4.72980358e-24]))","(array([6.68143782e-26]), array([3.16016624e-26]))","(array([0.0004905]), array([-4.09638686e-16]))","(array([0.00144384]), array([-1.87230873e-15]))","(array([0.00232152]), array([-3.42391046e-16]))","(array([0.00319108]), array([3.28079577e-15]))","(array([0.00407583]), array([1.40458391e-15]))","(array([0.004918]), array([-5.79397641e-16]))","(array([0.00574489]), array([-3.13551268e-15]))","(array([0.00642766]), array([-7.68048819e-16]))","(array([0.0070575]), array([2.97114763e-15]))","(array([0.0078148]), array([2.84364546e-15]))","(array([0.00857256]), array([1.38864614e-15]))","(array([0.00923995]), array([1.73212139e-15]))"
(0.0005099131712257303+0j),[-1.27920561e-14],[1.],[0.0451482],[1.],"(array([0.00493138]), array([0.0085414]))","(array([1.28521585e-25]), array([3.23901436e-26]))","(array([5.25589297e-26]), array([7.39703932e-26]))","(array([-3.38095677e-25]), array([1.63839192e-25]))","(array([3.99263897e-25]), array([-4.42739322e-25]))","(array([-2.24196538e-25]), array([-8.67479917e-26]))","(array([-2.15717318e-24]), array([4.54837978e-24]))","(array([1.16985031e-25]), array([3.483767e-26]))","(array([0.0004905]), array([-3.75540527e-16]))","(array([0.00144384]), array([-1.65568514e-15]))","(array([0.00232152]), array([1.48318857e-16]))","(array([0.00319108]), array([3.84891771e-15]))","(array([0.00407583]), array([1.61947279e-15]))","(array([0.004918]), array([-9.47375858e-16]))","(array([0.00574489]), array([-3.67913165e-15]))","(array([0.00642766]), array([-9.00755165e-16]))","(array([0.0070575]), array([3.57548192e-15]))","(array([0.0078148]), array([3.90334466e-15]))","(array([0.00857256]), array([8.30715705e-16]))","(array([0.00923995]), array([-2.34057565e-15]))","(array([0.00986275]), array([-2.85795693e-15]))"
(0.0005734578292141083+0j),[-2.05418647e-14],[1.],[0.04787665],[1.],"(array([0.00524402]), array([0.00908292]))","(array([-1.89040424e-24]), array([1.07288046e-24]))","(array([6.53295006e-26]), array([-1.33418111e-25]))","(array([6.04909555e-25]), array([-6.34674844e-25]))","(array([1.3396289e-23]), array([-4.67677814e-25]))","(array([-2.14649966e-24]), array([4.42173519e-24]))","(array([3.90306659e-26]), array([1.50017542e-26]))","(array([0.0004905]), array([-3.67137961e-16]))","(array([0.00144384]), array([-1.59686717e-15]))","(array([0.00232152]), array([3.07696577e-16]))","(array([0.00319108]), array([4.10218734e-15]))","(array([0.00407583]), array([1.84227633e-15]))","(array([0.004918]), array([-8.81673207e-16]))","(array([0.00574489]), array([-3.84219566e-15]))","(array([0.00642766]), array([-1.06381917e-15]))","(array([0.0070575]), array([3.57721665e-15]))","(array([0.0078148]), array([4.10457258e-15]))","(array([0.00857256]), array([1.02977522e-15]))","(array([0.00923995]), array([-2.76211345e-15]))","(array([0.00986275]), array([-4.48729595e-15]))","(array([0.01048805]), array([-4.83510801e-15]))"
(0.0006174750922209471+0j),[-1.78404433e-14],[1.],[0.04967825],[1.],"(array([0.00549939]), array([0.00952522]))","(array([1.83887725e-23]), array([-1.6326845e-23]))","(array([1.48312672e-23]), array([8.0579506e-24]))","(array([2.20327254e-23]), array([2.8759768e-23]))","(array([-3.07816646e-23]), array([-3.70946726e-23]))","(array([2.13254424e-23]), array([4.92000005e-23]))","(array([0.0004905]), array([-3.64806926e-16]))","(array([0.00144384]), array([-1.58716356e-15]))","(array([0.00232152]), array([3.25911173e-16]))","(array([0.00319108]), array([4.11888405e-15]))","(array([0.00407583]), array([1.89377593e-15]))","(array([0.004918]), array([-8.30065183e-16]))","(array([0.00574489]), array([-3.83764201e-15]))","(array([0.00642766]), array([-1.01719848e-15]))","(array([0.0070575]), array([3.64747295e-15]))","(array([0.0078148]), array([4.12777451e-15]))","(array([0.00857256]), array([1.0404004e-15]))","(array([0.00923995]), array([-2.75343984e-15]))","(array([0.00986275]), array([-4.52762827e-15]))","(array([0.01048805]), array([-4.87197088e-15]))","(array([0.01099878]), array([-4.16116794e-15]))"
(0.0006142998272629384+0j),[-1.02381482e-14],[1.],[0.04954937],[1.],"(array([0.00559368]), array([0.00968854]))","(array([4.64214971e-23]), array([4.5708388e-23]))","(array([1.12850417e-23]), array([2.10449005e-23]))","(array([-2.98112759e-23]), array([-3.58391314e-23]))","(array([2.03363596e-23]), array([4.84814387e-23]))","(array([0.0004905]), array([-3.70878458e-16]))","(array([0.00144384]), array([-1.63855474e-15]))","(array([0.00232152]), array([1.85398571e-16]))","(array([0.00319108]), array([3.89109318e-15]))","(array([0.00407583]), array([1.70458266e-15]))","(array([0.004918]), array([-9.49761103e-16]))","(array([0.00574489]), array([-3.75827841e-15]))","(array([0.00642766]), array([-9.16367676e-16]))","(array([0.0070575]), array([3.81552429e-15]))","(array([0.0078148]), array([4.15574693e-15]))","(array([0.00857256]), array([7.29884903e-16]))","(array([0.00923995]), array([-3.23959609e-15]))","(array([0.00986275]), array([-4.86373095e-15]))","(array([0.01048805]), array([-4.52676091e-15]))","(array([0.01099878]), array([-2.44075593e-15]))","(array([0.01118737]), array([-2.24473218e-15]))"
(0.0006009142473121865+0j),[-5.89523897e-15],[1.],[0.04900585],[1.],"(array([0.00555578]), array([0.00962289]))","(array([-4.41145994e-23]), array([-6.63268533e-23]))","(array([-4.01866361e-23]), array([-2.84497448e-23]))","(array([1.94033163e-23]), array([4.71262476e-23]))","(array([0.0004905]), array([-3.70824248e-16]))","(array([0.00144384]), array([-1.63291689e-15]))","(array([0.00232152]), array([2.0946786e-16]))","(array([0.00319108]), array([3.92600449e-15]))","(array([0.00407583]), array([1.78568098e-15]))","(array([0.004918]), array([-8.93816271e-16]))","(array([0.00574489]), array([-3.69105788e-15]))","(array([0.00642766]), array([-8.35269354e-16]))","(array([0.0070575]), array([3.93131708e-15]))","(array([0.0078148]), array([4.39752401e-15]))","(array([0.00857256]), array([9.95514435e-16]))","(array([0.00923995]), array([-3.03663344e-15]))","(array([0.00986275]), array([-4.70023326e-15]))","(array([0.01048805]), array([-4.48122442e-15]))","(array([0.01099878]), array([-2.5231553e-15]))","(array([0.01118737]), array([-2.05564732e-15]))","(array([0.01111156]), array([-1.72691722e-15]))"
(0.0006012065218078082+0j),[-4.26595038e-15],[1.],[0.04901697],[1.],"(array([0.00552577]), array([0.00957091]))","(array([-7.93916046e-24]), array([-3.74373897e-23]))","(array([1.83835757e-23]), array([4.67720529e-23]))","(array([0.0004905]), array([-3.7539145e-16]))","(array([0.00144384]), array([-1.66549717e-15]))","(array([0.00232152]), array([1.35958952e-16]))","(array([0.00319108]), array([3.82647473e-15]))","(array([0.00407583]), array([1.69872796e-15]))","(array([0.004918]), array([-1.00223649e-15]))","(array([0.00574489]), array([-3.84870087e-15]))","(array([0.00642766]), array([-9.74264072e-16]))","(array([0.0070575]), array([3.83026943e-15]))","(array([0.0078148]), array([4.3433139e-15]))","(array([0.00857256]), array([9.31112826e-16]))","(array([0.00923995]), array([-3.25954541e-15]))","(array([0.00986275]), array([-5.01074876e-15]))","(array([0.01048805]), array([-4.69502909e-15]))","(array([0.01099878]), array([-2.57866645e-15]))","(array([0.01118737]), array([-1.85788884e-15]))","(array([0.01111156]), array([-1.28282801e-15]))","(array([0.01105153]), array([-1.22558214e-15]))"
(0.00058001505356403+0j),[-4.37542286e-16],[1.],[0.0481449],[1.],"(array([0.00547723]), array([0.00948684]))","(array([-6.24497885e-24]), array([9.73032758e-23]))","(array([0.0004905]), array([-3.77681827e-16]))","(array([0.00144384]), array([-1.70252267e-15]))","(array([0.00232152]), array([2.71050543e-17]))","(array([0.00319108]), array([3.65213502e-15]))","(array([0.00407583]), array([1.47147919e-15]))","(array([0.004918]), array([-1.27393755e-15]))","(array([0.00574489]), array([-4.08657483e-15]))","(array([0.00642766]), array([-1.13646072e-15]))","(array([0.0070575]), array([3.85455556e-15]))","(array([0.0078148]), array([4.46864767e-15]))","(array([0.00857256]), array([1.01503007e-15]))","(array([0.00923995]), array([-3.28946939e-15]))","(array([0.00986275]), array([-5.0801377e-15]))","(array([0.01048805]), array([-4.72972356e-15]))","(array([0.01099878]), array([-2.43598544e-15]))","(array([0.01118737]), array([-1.34788014e-15]))","(array([0.01111156]), array([-5.7375979e-16]))","(array([0.01105153]), array([-4.1416523e-16]))","(array([0.01095446]), array([3.27429056e-16]))"
(0.000583297041119652+0j),[2.5363529e-15],[1.],[0.04828032],[1.],"(array([0.00543571]), array([0.00941492]))","(array([0.0004905]), array([-3.77519196e-16]))","(array([0.00144384]), array([-1.70349845e-15]))","(array([0.00232152]), array([8.67361738e-19]))","(array([0.00319108]), array([3.58014399e-15]))","(array([0.00407583]), array([1.34050757e-15]))","(array([0.004918]), array([-1.37541888e-15]))","(array([0.00574489]), array([-4.22600323e-15]))","(array([0.00642766]), array([-1.31014991e-15]))","(array([0.0070575]), array([3.73746173e-15]))","(array([0.0078148]), array([4.39188616e-15]))","(array([0.00857256]), array([1.01524691e-15]))","(array([0.00923995]), array([-3.32026073e-15]))","(array([0.00986275]), array([-5.06062206e-15]))","(array([0.01048805]), array([-4.52849563e-15]))","(array([0.01099878]), array([-2.26207941e-15]))","(array([0.01118737]), array([-1.1470859e-15]))","(array([0.01111156]), array([-3.89879101e-16]))","(array([0.01105153]), array([-2.61075883e-16]))","(array([0.01095446]), array([5.35595873e-16]))","(array([0.01087141]), array([5.62917768e-16]))"
