Es,Sx,Sxx,Sy,Syy,PQ-25,PQ-24,PQ-23,PQ-22,PQ-21,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00039270483089365603+0j),[4.22701319e-14],[1.],[0.0396242],[1.],"(array([0.00428628]), array([0.00742406]))","(array([6.02464251e-24]), array([-3.23437895e-25]))","(array([-1.74699154e-24]), array([9.83529676e-25]))","(array([-1.43041846e-24]), array([-3.90464427e-24]))","(array([1.91151319e-24]), array([3.59241827e-24]))","(array([-2.39668676e-26]), array([1.81255659e-25]))","(array([-3.21162453e-26]), array([-1.74167939e-26]))","(array([1.51178282e-24]), array([-1.28017768e-24]))","(array([-3.03597975e-24]), array([-2.33959584e-24]))","(array([-5.477944e-25]), array([-8.33586347e-25]))","(array([-1.85280117e-27]), array([4.13075816e-26]))","(array([1.34472555e-25]), array([1.27062932e-25]))","(array([1.59690245e-25]), array([-9.11043379e-26]))","(array([3.15818225e-26]), array([-6.43605267e-27]))","(array([1.32556459e-25]), array([2.44182307e-25]))","(array([0.0004905]), array([-2.0855984e-16]))","(array([0.00144384]), array([-3.58513132e-15]))","(array([0.00232152]), array([1.11488509e-15]))","(array([0.00319108]), array([3.62318682e-15]))","(array([0.00407583]), array([6.5082488e-15]))","(array([0.004918]), array([1.13260096e-14]))","(array([0.00574489]), array([1.12060968e-14]))","(array([0.00642766]), array([1.05449503e-14]))","(array([0.0070575]), array([8.12739633e-15]))","(array([0.0078148]), array([1.03135816e-14]))","(array([0.00857256]), array([9.88163544e-15]))"
(0.0004482150187639552+0j),[3.91086804e-14],[1.],[0.04233054],[1.],"(array([0.00461998]), array([0.00800203]))","(array([-9.26362837e-25]), array([2.40749759e-24]))","(array([-1.33490689e-24]), array([-3.71118382e-24]))","(array([1.68182793e-24]), array([3.45120109e-24]))","(array([-4.29698883e-26]), array([2.2022861e-25]))","(array([-3.36165652e-26]), array([-1.43548046e-26]))","(array([1.35366302e-24]), array([-1.25318771e-24]))","(array([-2.93365725e-24]), array([-2.319066e-24]))","(array([-2.07336521e-24]), array([-4.36580728e-25]))","(array([-1.04451968e-24]), array([-6.71836867e-26]))","(array([2.63105736e-23]), array([4.19521533e-23]))","(array([1.5158229e-23]), array([2.08822885e-23]))","(array([6.82291698e-24]), array([4.81872315e-24]))","(array([-4.8152927e-24]), array([6.82380053e-24]))","(array([0.0004905]), array([-2.03016857e-16]))","(array([0.00144384]), array([-3.55363525e-15]))","(array([0.00232152]), array([1.19554974e-15]))","(array([0.00319108]), array([3.66460334e-15]))","(array([0.00407583]), array([6.47387959e-15]))","(array([0.004918]), array([1.12366713e-14]))","(array([0.00574489]), array([1.11488509e-14]))","(array([0.00642766]), array([1.05031001e-14]))","(array([0.0070575]), array([8.12501108e-15]))","(array([0.0078148]), array([1.02611062e-14]))","(array([0.00857256]), array([9.52905289e-15]))","(array([0.00923995]), array([8.98109712e-15]))"
(0.0005099131712257605+0j),[5.9636967e-14],[1.],[0.0451482],[1.],"(array([0.00493138]), array([0.0085414]))","(array([-3.76403307e-24]), array([-6.88917698e-25]))","(array([-1.16561586e-24]), array([-1.10270089e-24]))","(array([1.91480215e-25]), array([3.14438619e-25]))","(array([-4.94134095e-27]), array([5.96080501e-26]))","(array([9.34954644e-25]), array([-1.4641723e-24]))","(array([-2.88543872e-24]), array([-2.13152157e-24]))","(array([-1.83437343e-24]), array([-5.33650104e-25]))","(array([-9.99880407e-25]), array([-3.04860251e-26]))","(array([2.54657625e-23]), array([4.01325186e-23]))","(array([1.4508572e-23]), array([2.00654979e-23]))","(array([6.4243986e-24]), array([4.66970947e-24]))","(array([-4.50932281e-24]), array([6.45329315e-24]))","(array([0.0004905]), array([-2.37358961e-16]))","(array([0.00144384]), array([-3.79064185e-15]))","(array([0.00232152]), array([6.71663246e-16]))","(array([0.00319108]), array([3.04996913e-15]))","(array([0.00407583]), array([6.24413715e-15]))","(array([0.004918]), array([1.16425966e-14]))","(array([0.00574489]), array([1.18175868e-14]))","(array([0.00642766]), array([1.07847759e-14]))","(array([0.0070575]), array([7.60893085e-15]))","(array([0.0078148]), array([9.3612184e-15]))","(array([0.00857256]), array([1.02615399e-14]))","(array([0.00923995]), array([1.31479029e-14]))","(array([0.00986275]), array([1.3944141e-14]))"
(0.0005734578292141292+0j),[7.04611541e-14],[1.],[0.04787665],[1.],"(array([0.00524402]), array([0.00908292]))","(array([-1.31054007e-24]), array([-8.49866818e-25]))","(array([4.06550945e-25]), array([2.83569971e-25]))","(array([-2.5597005e-25]), array([2.29123776e-25]))","(array([9.53816096e-25]), array([-1.61841611e-24]))","(array([1.94853312e-24]), array([-3.49317407e-24]))","(array([-1.76573007e-24]), array([1.71710537e-25]))","(array([-1.01274228e-24]), array([1.57934332e-25]))","(array([2.46323898e-23]), array([3.85813709e-23]))","(array([1.37399028e-23]), array([1.9432941e-23]))","(array([6.0044754e-24]), array([4.53039023e-24]))","(array([-4.21778145e-24]), array([6.14419464e-24]))","(array([0.0004905]), array([-2.58284063e-16]))","(array([0.00144384]), array([-3.93316022e-15]))","(array([0.00232152]), array([3.14852311e-16]))","(array([0.00319108]), array([2.6545606e-15]))","(array([0.00407583]), array([6.11500867e-15]))","(array([0.004918]), array([1.18535824e-14]))","(array([0.00574489]), array([1.23204398e-14]))","(array([0.00642766]), array([1.11885327e-14]))","(array([0.0070575]), array([7.64362532e-15]))","(array([0.0078148]), array([8.91409342e-15]))","(array([0.00857256]), array([9.79273086e-15]))","(array([0.00923995]), array([1.38565374e-14]))","(array([0.00986275]), array([1.63029312e-14]))","(array([0.01048805]), array([1.65466599e-14]))"
(0.0006174750922209913+0j),[5.99552274e-14],[1.],[0.04967825],[1.],"(array([0.00549939]), array([0.00952522]))","(array([2.41566595e-24]), array([4.36466711e-24]))","(array([-4.53774987e-25]), array([3.93919452e-25]))","(array([9.85937963e-25]), array([-1.84484349e-24]))","(array([2.03837045e-24]), array([-3.39552895e-24]))","(array([-2.01483449e-24]), array([2.4766954e-25]))","(array([-1.34152036e-24]), array([2.04914195e-25]))","(array([2.37027242e-23]), array([3.75382992e-23]))","(array([1.22176415e-23]), array([1.92900205e-23]))","(array([6.04481465e-24]), array([4.35899563e-24]))","(array([-3.90374485e-24]), array([5.94658473e-24]))","(array([0.0004905]), array([-2.43877726e-16]))","(array([0.00144384]), array([-3.83905147e-15]))","(array([0.00232152]), array([5.21826506e-16]))","(array([0.00319108]), array([2.97342446e-15]))","(array([0.00407583]), array([6.38421607e-15]))","(array([0.004918]), array([1.18774348e-14]))","(array([0.00574489]), array([1.19810845e-14]))","(array([0.00642766]), array([1.07182058e-14]))","(array([0.0070575]), array([7.3469876e-15]))","(array([0.0078148]), array([9.03378934e-15]))","(array([0.00857256]), array([1.03330972e-14]))","(array([0.00923995]), array([1.42854478e-14]))","(array([0.00986275]), array([1.55522296e-14]))","(array([0.01048805]), array([1.44745327e-14]))","(array([0.01099878]), array([1.38391902e-14]))"
(0.0006142998272629824+0j),[5.40240801e-14],[1.],[0.04954937],[1.],"(array([0.00559368]), array([0.00968854]))","(array([-6.60958574e-24]), array([4.3873745e-24]))","(array([1.23644178e-24]), array([-1.85681997e-24]))","(array([2.14789039e-24]), array([-3.68003151e-24]))","(array([-1.57280109e-24]), array([5.75716692e-26]))","(array([-1.42957422e-24]), array([9.37059593e-25]))","(array([2.23123515e-23]), array([3.6617601e-23]))","(array([1.12310104e-23]), array([1.90318087e-23]))","(array([6.16693909e-24]), array([3.3260128e-24]))","(array([-3.63220547e-24]), array([5.82825505e-24]))","(array([0.0004905]), array([-2.3193795e-16]))","(array([0.00144384]), array([-3.76505467e-15]))","(array([0.00232152]), array([6.8391473e-16]))","(array([0.00319108]), array([3.22138149e-15]))","(array([0.00407583]), array([6.58988922e-15]))","(array([0.004918]), array([1.19264407e-14]))","(array([0.00574489]), array([1.17800734e-14]))","(array([0.00642766]), array([1.03749474e-14]))","(array([0.0070575]), array([7.09371797e-15]))","(array([0.0078148]), array([8.91192502e-15]))","(array([0.00857256]), array([1.05874511e-14]))","(array([0.00923995]), array([1.47950228e-14]))","(array([0.00986275]), array([1.58189434e-14]))","(array([0.01048805]), array([1.38526343e-14]))","(array([0.01099878]), array([1.27055484e-14]))","(array([0.01118737]), array([1.23048273e-14]))"
(0.0006009142473122407+0j),[5.29072105e-14],[1.],[0.04900585],[1.],"(array([0.00555578]), array([0.00962289]))","(array([1.60435037e-23]), array([-1.40767112e-23]))","(array([1.59469973e-24]), array([-3.36919859e-24]))","(array([-1.5020409e-24]), array([-1.39489458e-25]))","(array([-1.47170322e-24]), array([1.39694293e-24]))","(array([1.89647187e-23]), array([3.71615761e-23]))","(array([1.07465466e-23]), array([1.8572044e-23]))","(array([6.22551029e-24]), array([2.79554407e-24]))","(array([-1.99864148e-23]), array([-2.31455761e-23]))","(array([0.0004905]), array([-2.27655351e-16]))","(array([0.00144384]), array([-3.74814112e-15]))","(array([0.00232152]), array([7.52653148e-16]))","(array([0.00319108]), array([3.33847533e-15]))","(array([0.00407583]), array([6.69711682e-15]))","(array([0.004918]), array([1.18991188e-14]))","(array([0.00574489]), array([1.15398142e-14]))","(array([0.00642766]), array([9.9323761e-15]))","(array([0.0070575]), array([6.68584112e-15]))","(array([0.0078148]), array([8.56389612e-15]))","(array([0.00857256]), array([1.05050517e-14]))","(array([0.00923995]), array([1.49628573e-14]))","(array([0.00986275]), array([1.60171355e-14]))","(array([0.01048805]), array([1.38144704e-14]))","(array([0.01099878]), array([1.24579166e-14]))","(array([0.01118737]), array([1.24197527e-14]))","(array([0.01111156]), array([1.17809408e-14]))"
(0.0006012065218078628+0j),[4.48131954e-14],[1.],[0.04901697],[1.],"(array([0.00552577]), array([0.00957091]))","(array([-2.41099369e-23]), array([-4.22205784e-23]))","(array([-3.91108265e-24]), array([1.30223118e-24]))","(array([2.38766704e-25]), array([8.98277713e-25]))","(array([1.77523546e-23]), array([3.64031901e-23]))","(array([9.80768901e-24]), array([1.81504165e-23]))","(array([1.06246246e-23]), array([1.18202747e-24]))","(array([-3.6226289e-23]), array([-3.39459806e-23]))","(array([0.0004905]), array([-2.18927524e-16]))","(array([0.00144384]), array([-3.67761377e-15]))","(array([0.00232152]), array([9.43797991e-16]))","(array([0.00319108]), array([3.65668867e-15]))","(array([0.00407583]), array([7.08124965e-15]))","(array([0.004918]), array([1.21794935e-14]))","(array([0.00574489]), array([1.15864349e-14]))","(array([0.00642766]), array([9.75912059e-15]))","(array([0.0070575]), array([6.47008488e-15]))","(array([0.0078148]), array([8.29284558e-15]))","(array([0.00857256]), array([1.02188223e-14]))","(array([0.00923995]), array([1.49051778e-14]))","(array([0.00986275]), array([1.61047391e-14]))","(array([0.01048805]), array([1.37667655e-14]))","(array([0.01099878]), array([1.19973476e-14]))","(array([0.01118737]), array([1.14704253e-14]))","(array([0.01111156]), array([1.04759951e-14]))","(array([0.01105153]), array([1.10315403e-14]))"
(0.000580015053564094+0j),[4.5579842e-14],[1.],[0.0481449],[1.],"(array([0.00547723]), array([0.00948684]))","(array([-9.8394403e-24]), array([5.52395886e-24]))","(array([-4.14508048e-23]), array([4.21382592e-23]))","(array([1.33686744e-23]), array([3.63814471e-23]))","(array([7.90464358e-24]), array([1.86937797e-23]))","(array([1.01978004e-23]), array([1.55986431e-24]))","(array([-6.1731939e-23]), array([-1.96610946e-23]))","(array([0.0004905]), array([-2.16637147e-16]))","(array([0.00144384]), array([-3.66617544e-15]))","(array([0.00232152]), array([9.64939934e-16]))","(array([0.00319108]), array([3.65592973e-15]))","(array([0.00407583]), array([6.97152839e-15]))","(array([0.004918]), array([1.20316083e-14]))","(array([0.00574489]), array([1.15432837e-14]))","(array([0.00642766]), array([9.73656919e-15]))","(array([0.0070575]), array([6.50738144e-15]))","(array([0.0078148]), array([8.45113909e-15]))","(array([0.00857256]), array([1.04165808e-14]))","(array([0.00923995]), array([1.49390049e-14]))","(array([0.00986275]), array([1.58354233e-14]))","(array([0.01048805]), array([1.32476495e-14]))","(array([0.01099878]), array([1.14981809e-14]))","(array([0.01118737]), array([1.13633061e-14]))","(array([0.01111156]), array([1.07392394e-14]))","(array([0.01105153]), array([1.1839054e-14]))","(array([0.01095446]), array([1.03432887e-14]))"
(0.0005832970411197163+0j),[4.51366375e-14],[1.],[0.04828032],[1.],"(array([0.00543571]), array([0.00941492]))","(array([-1.14601425e-22]), array([-1.26565607e-22]))","(array([7.40446884e-25]), array([1.39755335e-23]))","(array([8.61381299e-24]), array([1.7721842e-23]))","(array([1.0520703e-23]), array([1.10202448e-24]))","(array([-5.87875414e-23]), array([-1.77652916e-23]))","(array([0.0004905]), array([-2.11717579e-16]))","(array([0.00144384]), array([-3.62535522e-15]))","(array([0.00232152]), array([1.04798982e-15]))","(array([0.00319108]), array([3.85889237e-15]))","(array([0.00407583]), array([7.20495712e-15]))","(array([0.004918]), array([1.2310682e-14]))","(array([0.00574489]), array([1.17651115e-14]))","(array([0.00642766]), array([9.85496407e-15]))","(array([0.0070575]), array([6.52017502e-15]))","(array([0.0078148]), array([8.61680519e-15]))","(array([0.00857256]), array([1.06104361e-14]))","(array([0.00923995]), array([1.51645189e-14]))","(array([0.00986275]), array([1.59533844e-14]))","(array([0.01048805]), array([1.31292546e-14]))","(array([0.01099878]), array([1.11078681e-14]))","(array([0.01118737]), array([1.0921819e-14]))","(array([0.01111156]), array([1.03164005e-14]))","(array([0.01105153]), array([1.18212731e-14]))","(array([0.01095446]), array([1.0465153e-14]))","(array([0.01087141]), array([1.06416612e-14]))"
