Es,Sx,Sxx,Sy,Syy,PQ-25,PQ-24,PQ-23,PQ-22,PQ-21,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.006741303092936631+0j),[0.11269322],[1.],[0.11535732],[1.],"(array([0.03447875]), array([0.04760025]))","(array([0.04272905]), array([0.01237358]))","(array([0.04277477]), array([0.01300053]))","(array([0.0428068]), array([0.01363682]))","(array([0.0424756]), array([0.01427527]))","(array([0.04205351]), array([0.01490371]))","(array([0.04183492]), array([0.01551546]))","(array([0.04185697]), array([0.01611341]))","(array([0.04198912]), array([0.01670298]))","(array([0.04206146]), array([0.01728986]))","(array([0.04220747]), array([0.01787623]))","(array([0.04236538]), array([0.01846068]))","(array([0.04231342]), array([0.01904153]))","(array([0.04197466]), array([0.01961718]))","(array([0.04148761]), array([0.02018643]))","(array([0.04088503]), array([0.02074658]))","(array([0.03989857]), array([0.0212964]))","(array([0.03857414]), array([0.02183575]))","(array([0.03719119]), array([0.02235678]))","(array([0.03594664]), array([0.02285353]))","(array([0.03456224]), array([0.02332979]))","(array([0.03313233]), array([0.02378482]))","(array([0.03169844]), array([0.02421102]))","(array([0.0300984]), array([0.02460378]))","(array([0.02844634]), array([0.0249582]))","(array([0.02679407]), array([0.02526794]))"
(0.006522738311962459+0j),[0.11379203],[1.],[0.1104797],[1.],"(array([0.0333461]), array([0.04719159]))","(array([0.04277477]), array([0.01300053]))","(array([0.0428068]), array([0.01363682]))","(array([0.04247561]), array([0.01427527]))","(array([0.04205351]), array([0.01490371]))","(array([0.04183492]), array([0.01551545]))","(array([0.04185697]), array([0.0161134]))","(array([0.04198912]), array([0.01670298]))","(array([0.04206147]), array([0.01728986]))","(array([0.04220747]), array([0.01787622]))","(array([0.04236538]), array([0.01846067]))","(array([0.04231343]), array([0.01904153]))","(array([0.04197466]), array([0.01961717]))","(array([0.04148761]), array([0.02018643]))","(array([0.04088503]), array([0.02074658]))","(array([0.03989857]), array([0.0212964]))","(array([0.03857414]), array([0.02183575]))","(array([0.03719119]), array([0.02235678]))","(array([0.03594664]), array([0.02285353]))","(array([0.03456224]), array([0.02332979]))","(array([0.03313233]), array([0.02378482]))","(array([0.03169845]), array([0.02421102]))","(array([0.03009841]), array([0.02460378]))","(array([0.02844634]), array([0.0249582]))","(array([0.02679407]), array([0.02526794]))","(array([0.02546181]), array([0.02553488]))"
(0.0062412857541888946+0j),[0.11478096],[1.],[0.1043003],[1.],"(array([0.0325647]), array([0.04685664]))","(array([0.0428068]), array([0.01363682]))","(array([0.04247561]), array([0.01427527]))","(array([0.04205351]), array([0.0149037]))","(array([0.04183492]), array([0.01551545]))","(array([0.04185697]), array([0.0161134]))","(array([0.04198912]), array([0.01670298]))","(array([0.04206147]), array([0.01728986]))","(array([0.04220747]), array([0.01787622]))","(array([0.04236538]), array([0.01846067]))","(array([0.04231343]), array([0.01904153]))","(array([0.04197466]), array([0.01961717]))","(array([0.04148761]), array([0.02018643]))","(array([0.04088503]), array([0.02074657]))","(array([0.03989857]), array([0.0212964]))","(array([0.03857414]), array([0.02183575]))","(array([0.0371912]), array([0.02235677]))","(array([0.03594665]), array([0.02285353]))","(array([0.03456224]), array([0.02332978]))","(array([0.03313233]), array([0.02378481]))","(array([0.03169845]), array([0.02421102]))","(array([0.03009841]), array([0.02460378]))","(array([0.02844634]), array([0.0249582]))","(array([0.02679408]), array([0.02526794]))","(array([0.02546181]), array([0.02553488]))","(array([0.02421522]), array([0.02577024]))"
(0.006045960288977927+0j),[0.11566146],[1.],[0.09957057],[1.],"(array([0.03179919]), array([0.04653315]))","(array([0.04247561]), array([0.01427526]))","(array([0.04205351]), array([0.0149037]))","(array([0.04183492]), array([0.01551545]))","(array([0.04185697]), array([0.0161134]))","(array([0.04198912]), array([0.01670298]))","(array([0.04206147]), array([0.01728986]))","(array([0.04220747]), array([0.01787622]))","(array([0.04236538]), array([0.01846067]))","(array([0.04231343]), array([0.01904152]))","(array([0.04197466]), array([0.01961717]))","(array([0.04148761]), array([0.02018643]))","(array([0.04088503]), array([0.02074657]))","(array([0.03989857]), array([0.0212964]))","(array([0.03857414]), array([0.02183575]))","(array([0.0371912]), array([0.02235677]))","(array([0.03594665]), array([0.02285353]))","(array([0.03456224]), array([0.02332978]))","(array([0.03313234]), array([0.02378481]))","(array([0.03169845]), array([0.02421102]))","(array([0.03009841]), array([0.02460378]))","(array([0.02844634]), array([0.0249582]))","(array([0.02679408]), array([0.02526794]))","(array([0.02546181]), array([0.02553488]))","(array([0.02421522]), array([0.02577024]))","(array([0.02298526]), array([0.02598104]))"
(0.005812281229819853+0j),[0.11636892],[1.],[0.09400508],[1.],"(array([0.0307326]), array([0.0462559]))","(array([0.04205351]), array([0.0149037]))","(array([0.04183492]), array([0.01551545]))","(array([0.04185697]), array([0.0161134]))","(array([0.04198913]), array([0.01670297]))","(array([0.04206147]), array([0.01728986]))","(array([0.04220747]), array([0.01787622]))","(array([0.04236539]), array([0.01846067]))","(array([0.04231343]), array([0.01904152]))","(array([0.04197467]), array([0.01961717]))","(array([0.04148761]), array([0.02018643]))","(array([0.04088503]), array([0.02074657]))","(array([0.03989857]), array([0.02129639]))","(array([0.03857414]), array([0.02183575]))","(array([0.0371912]), array([0.02235677]))","(array([0.03594665]), array([0.02285353]))","(array([0.03456225]), array([0.02332978]))","(array([0.03313234]), array([0.02378481]))","(array([0.03169845]), array([0.02421102]))","(array([0.03009841]), array([0.02460378]))","(array([0.02844635]), array([0.0249582]))","(array([0.02679408]), array([0.02526794]))","(array([0.02546182]), array([0.02553488]))","(array([0.02421522]), array([0.02577024]))","(array([0.02298526]), array([0.02598104]))","(array([0.02182455]), array([0.02616006]))"
(0.005615370160924168+0j),[0.11689557],[1.],[0.08914049],[1.],"(array([0.02960203]), array([0.04593552]))","(array([0.04183492]), array([0.01551545]))","(array([0.04185697]), array([0.0161134]))","(array([0.04198913]), array([0.01670297]))","(array([0.04206147]), array([0.01728985]))","(array([0.04220747]), array([0.01787622]))","(array([0.04236539]), array([0.01846067]))","(array([0.04231343]), array([0.01904152]))","(array([0.04197467]), array([0.01961717]))","(array([0.04148761]), array([0.02018642]))","(array([0.04088503]), array([0.02074657]))","(array([0.03989857]), array([0.02129639]))","(array([0.03857415]), array([0.02183574]))","(array([0.0371912]), array([0.02235677]))","(array([0.03594665]), array([0.02285353]))","(array([0.03456225]), array([0.02332978]))","(array([0.03313234]), array([0.02378481]))","(array([0.03169845]), array([0.02421102]))","(array([0.03009841]), array([0.02460378]))","(array([0.02844635]), array([0.0249582]))","(array([0.02679408]), array([0.02526794]))","(array([0.02546182]), array([0.02553488]))","(array([0.02421523]), array([0.02577024]))","(array([0.02298526]), array([0.02598104]))","(array([0.02182455]), array([0.02616006]))","(array([0.02064861]), array([0.02629921]))"
(0.005526114028674323+0j),[0.1172895],[1.],[0.0866646],[1.],"(array([0.02887971]), array([0.04588244]))","(array([0.04185697]), array([0.01611339]))","(array([0.04198913]), array([0.01670297]))","(array([0.04206147]), array([0.01728985]))","(array([0.04220747]), array([0.01787621]))","(array([0.04236539]), array([0.01846067]))","(array([0.04231343]), array([0.01904152]))","(array([0.04197467]), array([0.01961717]))","(array([0.04148762]), array([0.02018642]))","(array([0.04088504]), array([0.02074657]))","(array([0.03989858]), array([0.02129639]))","(array([0.03857415]), array([0.02183574]))","(array([0.0371912]), array([0.02235677]))","(array([0.03594665]), array([0.02285352]))","(array([0.03456225]), array([0.02332978]))","(array([0.03313234]), array([0.02378481]))","(array([0.03169846]), array([0.02421102]))","(array([0.03009842]), array([0.02460378]))","(array([0.02844635]), array([0.0249582]))","(array([0.02679408]), array([0.02526794]))","(array([0.02546182]), array([0.02553488]))","(array([0.02421523]), array([0.02577024]))","(array([0.02298527]), array([0.02598104]))","(array([0.02182455]), array([0.02616006]))","(array([0.02064861]), array([0.02629921]))","(array([0.01982099]), array([0.02640305]))"
(0.005434168052662304+0j),[0.11760364],[1.],[0.08415584],[1.],"(array([0.02855163]), array([0.04603361]))","(array([0.04198913]), array([0.01670297]))","(array([0.04206147]), array([0.01728985]))","(array([0.04220747]), array([0.01787621]))","(array([0.04236539]), array([0.01846066]))","(array([0.04231343]), array([0.01904152]))","(array([0.04197467]), array([0.01961716]))","(array([0.04148762]), array([0.02018642]))","(array([0.04088504]), array([0.02074657]))","(array([0.03989858]), array([0.02129639]))","(array([0.03857415]), array([0.02183574]))","(array([0.03719121]), array([0.02235677]))","(array([0.03594666]), array([0.02285352]))","(array([0.03456225]), array([0.02332978]))","(array([0.03313234]), array([0.02378481]))","(array([0.03169846]), array([0.02421101]))","(array([0.03009842]), array([0.02460378]))","(array([0.02844635]), array([0.0249582]))","(array([0.02679409]), array([0.02526794]))","(array([0.02546182]), array([0.02553488]))","(array([0.02421523]), array([0.02577024]))","(array([0.02298527]), array([0.02598104]))","(array([0.02182455]), array([0.02616006]))","(array([0.02064861]), array([0.02629921]))","(array([0.01982099]), array([0.02640305]))","(array([0.019259]), array([0.02648288]))"
(0.005271612490470745+0j),[0.11786457],[1.],[0.07991022],[1.],"(array([0.0282469]), array([0.04599611]))","(array([0.04206147]), array([0.01728985]))","(array([0.04220747]), array([0.01787621]))","(array([0.04236539]), array([0.01846066]))","(array([0.04231344]), array([0.01904151]))","(array([0.04197467]), array([0.01961716]))","(array([0.04148762]), array([0.02018642]))","(array([0.04088504]), array([0.02074656]))","(array([0.03989858]), array([0.02129639]))","(array([0.03857415]), array([0.02183574]))","(array([0.03719121]), array([0.02235677]))","(array([0.03594666]), array([0.02285352]))","(array([0.03456225]), array([0.02332978]))","(array([0.03313235]), array([0.02378481]))","(array([0.03169846]), array([0.02421101]))","(array([0.03009842]), array([0.02460378]))","(array([0.02844635]), array([0.02495819]))","(array([0.02679409]), array([0.02526793]))","(array([0.02546182]), array([0.02553488]))","(array([0.02421523]), array([0.02577024]))","(array([0.02298527]), array([0.02598104]))","(array([0.02182455]), array([0.02616006]))","(array([0.02064861]), array([0.02629921]))","(array([0.01982099]), array([0.02640304]))","(array([0.019259]), array([0.02648288]))","(array([0.0184975]), array([0.02654769]))"
(0.005135741813482106+0j),[0.11806425],[1.],[0.07621112],[1.],"(array([0.0278264]), array([0.04583324]))","(array([0.04220748]), array([0.01787621]))","(array([0.04236539]), array([0.01846066]))","(array([0.04231344]), array([0.01904151]))","(array([0.04197467]), array([0.01961716]))","(array([0.04148762]), array([0.02018642]))","(array([0.04088504]), array([0.02074656]))","(array([0.03989858]), array([0.02129639]))","(array([0.03857415]), array([0.02183574]))","(array([0.03719121]), array([0.02235676]))","(array([0.03594666]), array([0.02285352]))","(array([0.03456226]), array([0.02332978]))","(array([0.03313235]), array([0.02378481]))","(array([0.03169846]), array([0.02421101]))","(array([0.03009842]), array([0.02460377]))","(array([0.02844636]), array([0.02495819]))","(array([0.02679409]), array([0.02526793]))","(array([0.02546183]), array([0.02553487]))","(array([0.02421523]), array([0.02577024]))","(array([0.02298527]), array([0.02598104]))","(array([0.02182456]), array([0.02616006]))","(array([0.02064861]), array([0.02629921]))","(array([0.01982099]), array([0.02640304]))","(array([0.019259]), array([0.02648288]))","(array([0.0184975]), array([0.02654769]))","(array([0.01760177]), array([0.02659963]))"
(0.005011650294441335+0j),[0.11821947],[1.],[0.0727091],[1.],"(array([0.02753181]), array([0.0457365]))","(array([0.04236539]), array([0.01846066]))","(array([0.04231344]), array([0.01904151]))","(array([0.04197467]), array([0.01961716]))","(array([0.04148762]), array([0.02018641]))","(array([0.04088504]), array([0.02074656]))","(array([0.03989858]), array([0.02129638]))","(array([0.03857415]), array([0.02183574]))","(array([0.03719121]), array([0.02235676]))","(array([0.03594666]), array([0.02285352]))","(array([0.03456226]), array([0.02332977]))","(array([0.03313235]), array([0.02378481]))","(array([0.03169846]), array([0.02421101]))","(array([0.03009842]), array([0.02460377]))","(array([0.02844636]), array([0.02495819]))","(array([0.02679409]), array([0.02526793]))","(array([0.02546183]), array([0.02553487]))","(array([0.02421524]), array([0.02577023]))","(array([0.02298527]), array([0.02598104]))","(array([0.02182456]), array([0.02616006]))","(array([0.02064862]), array([0.02629921]))","(array([0.01982099]), array([0.02640304]))","(array([0.019259]), array([0.02648288]))","(array([0.0184975]), array([0.02654769]))","(array([0.01760177]), array([0.02659963]))","(array([0.01678989]), array([0.02663965]))"
(0.0048348423555525455+0j),[0.11833545],[1.],[0.06756133],[1.],"(array([0.02717567]), array([0.04549169]))","(array([0.04231344]), array([0.01904151]))","(array([0.04197467]), array([0.01961716]))","(array([0.04148762]), array([0.02018641]))","(array([0.04088504]), array([0.02074656]))","(array([0.03989858]), array([0.02129638]))","(array([0.03857415]), array([0.02183573]))","(array([0.03719121]), array([0.02235676]))","(array([0.03594666]), array([0.02285352]))","(array([0.03456226]), array([0.02332977]))","(array([0.03313235]), array([0.0237848]))","(array([0.03169846]), array([0.02421101]))","(array([0.03009843]), array([0.02460377]))","(array([0.02844636]), array([0.02495819]))","(array([0.02679409]), array([0.02526793]))","(array([0.02546183]), array([0.02553487]))","(array([0.02421524]), array([0.02577023]))","(array([0.02298528]), array([0.02598104]))","(array([0.02182456]), array([0.02616006]))","(array([0.02064862]), array([0.02629921]))","(array([0.019821]), array([0.02640304]))","(array([0.019259]), array([0.02648288]))","(array([0.0184975]), array([0.02654769]))","(array([0.01760178]), array([0.02659963]))","(array([0.01678989]), array([0.02663965]))","(array([0.0158147]), array([0.02667021]))"
(0.004632058925070884+0j),[0.11837548],[1.],[0.06129225],[1.],"(array([0.02646491]), array([0.04496661]))","(array([0.04197467]), array([0.01961715]))","(array([0.04148762]), array([0.02018641]))","(array([0.04088504]), array([0.02074656]))","(array([0.03989858]), array([0.02129638]))","(array([0.03857416]), array([0.02183573]))","(array([0.03719121]), array([0.02235676]))","(array([0.03594666]), array([0.02285351]))","(array([0.03456226]), array([0.02332977]))","(array([0.03313235]), array([0.0237848]))","(array([0.03169847]), array([0.02421101]))","(array([0.03009843]), array([0.02460377]))","(array([0.02844636]), array([0.02495819]))","(array([0.0267941]), array([0.02526793]))","(array([0.02546183]), array([0.02553487]))","(array([0.02421524]), array([0.02577023]))","(array([0.02298528]), array([0.02598103]))","(array([0.02182456]), array([0.02616006]))","(array([0.02064862]), array([0.02629921]))","(array([0.019821]), array([0.02640304]))","(array([0.01925901]), array([0.02648288]))","(array([0.0184975]), array([0.02654769]))","(array([0.01760178]), array([0.02659963]))","(array([0.01678989]), array([0.02663965]))","(array([0.0158147]), array([0.02667021]))","(array([0.01452754]), array([0.02668778]))"
(0.004446728934045286+0j),[0.1182894],[1.],[0.05520317],[1.],"(array([0.02543398]), array([0.04433302]))","(array([0.04148762]), array([0.02018641]))","(array([0.04088504]), array([0.02074655]))","(array([0.03989858]), array([0.02129638]))","(array([0.03857416]), array([0.02183573]))","(array([0.03719121]), array([0.02235676]))","(array([0.03594667]), array([0.02285351]))","(array([0.03456226]), array([0.02332977]))","(array([0.03313235]), array([0.0237848]))","(array([0.03169847]), array([0.02421101]))","(array([0.03009843]), array([0.02460377]))","(array([0.02844636]), array([0.02495819]))","(array([0.0267941]), array([0.02526793]))","(array([0.02546183]), array([0.02553487]))","(array([0.02421524]), array([0.02577023]))","(array([0.02298528]), array([0.02598103]))","(array([0.02182457]), array([0.02616005]))","(array([0.02064862]), array([0.02629921]))","(array([0.019821]), array([0.02640304]))","(array([0.01925901]), array([0.02648288]))","(array([0.01849751]), array([0.02654769]))","(array([0.01760178]), array([0.02659963]))","(array([0.0167899]), array([0.02663965]))","(array([0.0158147]), array([0.02667021]))","(array([0.01452754]), array([0.02668778]))","(array([0.01313422]), array([0.0266826]))"
(0.0042771588440463785+0j),[0.11805568],[1.],[0.04934463],[1.],"(array([0.02430464]), array([0.04371769]))","(array([0.04088505]), array([0.02074655]))","(array([0.03989859]), array([0.02129638]))","(array([0.03857416]), array([0.02183573]))","(array([0.03719122]), array([0.02235676]))","(array([0.03594667]), array([0.02285351]))","(array([0.03456226]), array([0.02332977]))","(array([0.03313236]), array([0.0237848]))","(array([0.03169847]), array([0.024211]))","(array([0.03009843]), array([0.02460377]))","(array([0.02844636]), array([0.02495819]))","(array([0.0267941]), array([0.02526793]))","(array([0.02546184]), array([0.02553487]))","(array([0.02421524]), array([0.02577023]))","(array([0.02298528]), array([0.02598103]))","(array([0.02182457]), array([0.02616005]))","(array([0.02064862]), array([0.02629921]))","(array([0.019821]), array([0.02640304]))","(array([0.01925901]), array([0.02648287]))","(array([0.01849751]), array([0.02654769]))","(array([0.01760178]), array([0.02659963]))","(array([0.0167899]), array([0.02663965]))","(array([0.01581471]), array([0.02667021]))","(array([0.01452754]), array([0.02668778]))","(array([0.01313423]), array([0.0266826]))","(array([0.0117872]), array([0.02664655]))"
(0.0040971840288325225+0j),[0.11766075],[1.],[0.04264541],[1.],"(array([0.02305555]), array([0.04301627]))","(array([0.03989859]), array([0.02129637]))","(array([0.03857416]), array([0.02183573]))","(array([0.03719122]), array([0.02235675]))","(array([0.03594667]), array([0.02285351]))","(array([0.03456226]), array([0.02332977]))","(array([0.03313236]), array([0.0237848]))","(array([0.03169847]), array([0.024211]))","(array([0.03009843]), array([0.02460377]))","(array([0.02844637]), array([0.02495819]))","(array([0.0267941]), array([0.02526793]))","(array([0.02546184]), array([0.02553487]))","(array([0.02421525]), array([0.02577023]))","(array([0.02298528]), array([0.02598103]))","(array([0.02182457]), array([0.02616005]))","(array([0.02064863]), array([0.02629921]))","(array([0.019821]), array([0.02640304]))","(array([0.01925901]), array([0.02648287]))","(array([0.01849751]), array([0.02654768]))","(array([0.01760178]), array([0.02659963]))","(array([0.0167899]), array([0.02663965]))","(array([0.01581471]), array([0.02667021]))","(array([0.01452754]), array([0.02668778]))","(array([0.01313423]), array([0.0266826]))","(array([0.0117872]), array([0.02664655]))","(array([0.01037139]), array([0.02657566]))"
(0.0039647183564211555+0j),[0.11704004],[1.],[0.03799156],[1.],"(array([0.02152822]), array([0.04240032]))","(array([0.03857416]), array([0.02183572]))","(array([0.03719122]), array([0.02235675]))","(array([0.03594667]), array([0.02285351]))","(array([0.03456226]), array([0.02332976]))","(array([0.03313236]), array([0.0237848]))","(array([0.03169847]), array([0.024211]))","(array([0.03009843]), array([0.02460376]))","(array([0.02844637]), array([0.02495818]))","(array([0.0267941]), array([0.02526792]))","(array([0.02546184]), array([0.02553487]))","(array([0.02421525]), array([0.02577023]))","(array([0.02298529]), array([0.02598103]))","(array([0.02182457]), array([0.02616005]))","(array([0.02064863]), array([0.02629921]))","(array([0.01982101]), array([0.02640304]))","(array([0.01925901]), array([0.02648287]))","(array([0.01849751]), array([0.02654768]))","(array([0.01760179]), array([0.02659963]))","(array([0.0167899]), array([0.02663965]))","(array([0.01581471]), array([0.02667021]))","(array([0.01452754]), array([0.02668778]))","(array([0.01313423]), array([0.0266826]))","(array([0.0117872]), array([0.02664655]))","(array([0.0103714]), array([0.02657566]))","(array([0.00909137]), array([0.02646118]))"
(0.00385714733966334+0j),[0.11614037],[1.],[0.03508673],[1.],"(array([0.01992612]), array([0.04211593]))","(array([0.03719122]), array([0.02235675]))","(array([0.03594667]), array([0.0228535]))","(array([0.03456227]), array([0.02332976]))","(array([0.03313236]), array([0.02378479]))","(array([0.03169847]), array([0.024211]))","(array([0.03009843]), array([0.02460376]))","(array([0.02844637]), array([0.02495818]))","(array([0.0267941]), array([0.02526792]))","(array([0.02546184]), array([0.02553486]))","(array([0.02421525]), array([0.02577023]))","(array([0.02298529]), array([0.02598103]))","(array([0.02182457]), array([0.02616005]))","(array([0.02064863]), array([0.0262992]))","(array([0.01982101]), array([0.02640304]))","(array([0.01925902]), array([0.02648287]))","(array([0.01849751]), array([0.02654768]))","(array([0.01760179]), array([0.02659963]))","(array([0.0167899]), array([0.02663965]))","(array([0.01581471]), array([0.02667021]))","(array([0.01452755]), array([0.02668778]))","(array([0.01313423]), array([0.0266826]))","(array([0.0117872]), array([0.02664655]))","(array([0.0103714]), array([0.02657566]))","(array([0.00909137]), array([0.02646118]))","(array([0.00823915]), array([0.02628978]))"
(0.0037664537457035257+0j),[0.11496562],[1.],[0.03387599],[1.],"(array([0.0185137]), array([0.04211816]))","(array([0.03594667]), array([0.0228535]))","(array([0.03456227]), array([0.02332976]))","(array([0.03313236]), array([0.02378479]))","(array([0.03169847]), array([0.024211]))","(array([0.03009844]), array([0.02460376]))","(array([0.02844637]), array([0.02495818]))","(array([0.02679411]), array([0.02526792]))","(array([0.02546184]), array([0.02553486]))","(array([0.02421525]), array([0.02577022]))","(array([0.02298529]), array([0.02598103]))","(array([0.02182457]), array([0.02616005]))","(array([0.02064863]), array([0.0262992]))","(array([0.01982101]), array([0.02640304]))","(array([0.01925902]), array([0.02648287]))","(array([0.01849752]), array([0.02654768]))","(array([0.01760179]), array([0.02659963]))","(array([0.01678991]), array([0.02663965]))","(array([0.01581471]), array([0.0266702]))","(array([0.01452755]), array([0.02668778]))","(array([0.01313423]), array([0.0266826]))","(array([0.0117872]), array([0.02664655]))","(array([0.0103714]), array([0.02657566]))","(array([0.00909138]), array([0.02646118]))","(array([0.00823915]), array([0.02628978]))","(array([0.00777512]), array([0.02605591]))"
(0.0036584986040677793+0j),[0.11355837],[1.],[0.03233751],[1.],"(array([0.01736628]), array([0.04220092]))","(array([0.03456227]), array([0.02332976]))","(array([0.03313236]), array([0.02378479]))","(array([0.03169848]), array([0.02421099]))","(array([0.03009844]), array([0.02460376]))","(array([0.02844637]), array([0.02495818]))","(array([0.02679411]), array([0.02526792]))","(array([0.02546184]), array([0.02553486]))","(array([0.02421525]), array([0.02577022]))","(array([0.02298529]), array([0.02598102]))","(array([0.02182458]), array([0.02616005]))","(array([0.02064863]), array([0.0262992]))","(array([0.01982101]), array([0.02640304]))","(array([0.01925902]), array([0.02648287]))","(array([0.01849752]), array([0.02654768]))","(array([0.01760179]), array([0.02659963]))","(array([0.01678991]), array([0.02663965]))","(array([0.01581472]), array([0.0266702]))","(array([0.01452755]), array([0.02668778]))","(array([0.01313424]), array([0.0266826]))","(array([0.01178721]), array([0.02664655]))","(array([0.0103714]), array([0.02657566]))","(array([0.00909138]), array([0.02646118]))","(array([0.00823916]), array([0.02628978]))","(array([0.00777513]), array([0.02605591]))","(array([0.00746516]), array([0.0257648]))"
(0.0035409460356157067+0j),[0.1119059],[1.],[0.03093545],[1.],"(array([0.01611486]), array([0.04221757]))","(array([0.03313236]), array([0.02378479]))","(array([0.03169848]), array([0.02421099]))","(array([0.03009844]), array([0.02460376]))","(array([0.02844637]), array([0.02495818]))","(array([0.02679411]), array([0.02526792]))","(array([0.02546185]), array([0.02553486]))","(array([0.02421525]), array([0.02577022]))","(array([0.02298529]), array([0.02598102]))","(array([0.02182458]), array([0.02616005]))","(array([0.02064864]), array([0.0262992]))","(array([0.01982101]), array([0.02640303]))","(array([0.01925902]), array([0.02648287]))","(array([0.01849752]), array([0.02654768]))","(array([0.01760179]), array([0.02659962]))","(array([0.01678991]), array([0.02663965]))","(array([0.01581472]), array([0.0266702]))","(array([0.01452755]), array([0.02668778]))","(array([0.01313424]), array([0.02668259]))","(array([0.01178721]), array([0.02664655]))","(array([0.01037141]), array([0.02657566]))","(array([0.00909138]), array([0.02646118]))","(array([0.00823916]), array([0.02628978]))","(array([0.00777513]), array([0.02605591]))","(array([0.00746516]), array([0.0257648]))","(array([0.00713363]), array([0.02541983]))"
(0.003434799106761457+0j),[0.11001379],[1.],[0.0310041],[1.],"(array([0.01495586]), array([0.04234258]))","(array([0.03169848]), array([0.02421099]))","(array([0.03009844]), array([0.02460375]))","(array([0.02844637]), array([0.02495817]))","(array([0.02679411]), array([0.02526791]))","(array([0.02546185]), array([0.02553486]))","(array([0.02421526]), array([0.02577022]))","(array([0.02298529]), array([0.02598102]))","(array([0.02182458]), array([0.02616004]))","(array([0.02064864]), array([0.0262992]))","(array([0.01982102]), array([0.02640303]))","(array([0.01925902]), array([0.02648287]))","(array([0.01849752]), array([0.02654768]))","(array([0.0176018]), array([0.02659962]))","(array([0.01678991]), array([0.02663964]))","(array([0.01581472]), array([0.0266702]))","(array([0.01452755]), array([0.02668778]))","(array([0.01313424]), array([0.02668259]))","(array([0.01178721]), array([0.02664654]))","(array([0.01037141]), array([0.02657566]))","(array([0.00909138]), array([0.02646118]))","(array([0.00823916]), array([0.02628978]))","(array([0.00777513]), array([0.02605591]))","(array([0.00746517]), array([0.0257648]))","(array([0.00713363]), array([0.02541983]))","(array([0.00698327]), array([0.02502021]))"
(0.0033013968933773654+0j),[0.10789636],[1.],[0.02998563],[1.],"(array([0.01385994]), array([0.04245001]))","(array([0.03009844]), array([0.02460375]))","(array([0.02844637]), array([0.02495817]))","(array([0.02679411]), array([0.02526791]))","(array([0.02546185]), array([0.02553485]))","(array([0.02421526]), array([0.02577022]))","(array([0.02298529]), array([0.02598102]))","(array([0.02182458]), array([0.02616004]))","(array([0.02064864]), array([0.0262992]))","(array([0.01982102]), array([0.02640303]))","(array([0.01925903]), array([0.02648286]))","(array([0.01849752]), array([0.02654768]))","(array([0.0176018]), array([0.02659962]))","(array([0.01678991]), array([0.02663964]))","(array([0.01581472]), array([0.0266702]))","(array([0.01452756]), array([0.02668778]))","(array([0.01313424]), array([0.02668259]))","(array([0.01178721]), array([0.02664654]))","(array([0.01037141]), array([0.02657566]))","(array([0.00909139]), array([0.02646117]))","(array([0.00823916]), array([0.02628978]))","(array([0.00777513]), array([0.02605591]))","(array([0.00746517]), array([0.0257648]))","(array([0.00713363]), array([0.02541983]))","(array([0.00698327]), array([0.02502021]))","(array([0.00687619]), array([0.02456814]))"
(0.003166045374019385+0j),[0.10553705],[1.],[0.02952994],[1.],"(array([0.01261391]), array([0.04244646]))","(array([0.02844638]), array([0.02495817]))","(array([0.02679411]), array([0.02526791]))","(array([0.02546185]), array([0.02553485]))","(array([0.02421526]), array([0.02577021]))","(array([0.0229853]), array([0.02598102]))","(array([0.02182458]), array([0.02616004]))","(array([0.02064864]), array([0.02629919]))","(array([0.01982102]), array([0.02640303]))","(array([0.01925903]), array([0.02648286]))","(array([0.01849753]), array([0.02654767]))","(array([0.0176018]), array([0.02659962]))","(array([0.01678992]), array([0.02663964]))","(array([0.01581472]), array([0.0266702]))","(array([0.01452756]), array([0.02668778]))","(array([0.01313424]), array([0.02668259]))","(array([0.01178722]), array([0.02664654]))","(array([0.01037141]), array([0.02657566]))","(array([0.00909139]), array([0.02646117]))","(array([0.00823916]), array([0.02628978]))","(array([0.00777513]), array([0.02605591]))","(array([0.00746517]), array([0.0257648]))","(array([0.00713363]), array([0.02541983]))","(array([0.00698328]), array([0.02502021]))","(array([0.00687619]), array([0.02456814]))","(array([0.00670998]), array([0.02406341]))"
