Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.028828195983237458+0j),[-9.99494314e-15],[1.],[0.3335811],[1.],"(array([0.03627273]), array([0.0628262]))","(array([-3.12135893e-20]), array([-2.32852167e-20]))","(array([3.47704055e-20]), array([3.30692241e-20]))","(array([7.73719251e-21]), array([2.24571207e-20]))","(array([3.92560371e-21]), array([5.1256236e-23]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813656]))","(array([0.03627273]), array([0.0628262]))"
(0.03307979167977953+0j),[-3.04763505e-15],[1.],[0.3562693],[1.],"(array([0.03889059]), array([0.06736048]))","(array([3.75700473e-20]), array([1.96716415e-20]))","(array([7.23033267e-21]), array([2.18254605e-20]))","(array([-4.82358516e-22]), array([3.51952669e-21]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813656]))","(array([0.03627273]), array([0.0628262]))","(array([0.03889059]), array([0.06736048]))"
(0.03730356566595988+0j),[-2.39179412e-15],[1.],[0.37716355],[1.],"(array([0.04134723]), array([0.0716155]))","(array([-2.69466864e-20]), array([2.17295899e-20]))","(array([-2.48904871e-20]), array([1.18170252e-19]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813656]))","(array([0.03627273]), array([0.0628262]))","(array([0.03889059]), array([0.06736048]))","(array([0.04134723]), array([0.0716155]))"
(0.041534358681209305+0j),[-4.19734155e-15],[1.],[0.39670472],[1.],"(array([0.0436265]), array([0.07556332]))","(array([-4.51992119e-20]), array([1.47864924e-19]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461776]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813657]))","(array([0.03627273]), array([0.0628262]))","(array([0.03889059]), array([0.06736048]))","(array([0.04134723]), array([0.0716155]))","(array([0.0436265]), array([0.07556332]))"
(0.045767974240374786+0j),[-2.88038187e-15],[1.],[0.41505783],[1.],"(array([0.04576253]), array([0.07926302]))","(array([0.00220214]), array([0.00381422]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461777]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813657]))","(array([0.03627273]), array([0.06282621]))","(array([0.03889059]), array([0.06736049]))","(array([0.04134723]), array([0.0716155]))","(array([0.0436265]), array([0.07556332]))","(array([0.04576253]), array([0.07926302]))"
(0.04949443792011628+0j),[-3.85882651e-15],[1.],[0.43024908],[1.],"(array([0.04985502]), array([0.08635143]))","(array([0.0064444]), array([0.01116202]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.0308869]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461777]), array([0.04263922]))","(array([0.02775987]), array([0.0480815]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813657]))","(array([0.03627273]), array([0.06282621]))","(array([0.0388906]), array([0.06736049]))","(array([0.04134723]), array([0.0716155]))","(array([0.0436265]), array([0.07556332]))","(array([0.04576253]), array([0.07926302]))","(array([0.04765288]), array([0.0825372]))"
(0.05228810272210584+0j),[-3.86048054e-15],[1.],[0.44095837],[1.],"(array([0.05555647]), array([0.09622663]))","(array([0.01044236]), array([0.0180867]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.03088691]))","(array([0.02131123]), array([0.03691214]))","(array([0.02461777]), array([0.04263922]))","(array([0.02775987]), array([0.04808151]))","(array([0.03075215]), array([0.05326428]))","(array([0.03356516]), array([0.05813657]))","(array([0.03627273]), array([0.06282621]))","(array([0.0388906]), array([0.06736049]))","(array([0.04134723]), array([0.0716155]))","(array([0.0436265]), array([0.07556332]))","(array([0.04576253]), array([0.07926303]))","(array([0.04765288]), array([0.0825372]))","(array([0.04911208]), array([0.08506461]))"
(0.05487066302227917+0j),[-7.32320176e-16],[1.],[0.45046564],[1.],"(array([0.06069381]), array([0.10512475]))","(array([0.01423325]), array([0.02465272]))","(array([0.01783256]), array([0.03088691]))","(array([0.02131124]), array([0.03691214]))","(array([0.02461777]), array([0.04263923]))","(array([0.02775987]), array([0.04808151]))","(array([0.03075215]), array([0.05326429]))","(array([0.03356517]), array([0.05813657]))","(array([0.03627273]), array([0.06282621]))","(array([0.0388906]), array([0.06736049]))","(array([0.04134723]), array([0.07161551]))","(array([0.04362651]), array([0.07556333]))","(array([0.04576253]), array([0.07926303]))","(array([0.04765288]), array([0.08253721]))","(array([0.04911208]), array([0.08506461]))","(array([0.05025145]), array([0.08703806]))"
(0.05694447951427559+0j),[-2.01597349e-15],[1.],[0.45772725],[1.],"(array([0.06542953]), array([0.11332727]))","(array([0.01783256]), array([0.03088691]))","(array([0.02131124]), array([0.03691214]))","(array([0.02461777]), array([0.04263923]))","(array([0.02775987]), array([0.04808151]))","(array([0.03075215]), array([0.05326429]))","(array([0.03356517]), array([0.05813658]))","(array([0.03627273]), array([0.06282622]))","(array([0.0388906]), array([0.0673605]))","(array([0.04134723]), array([0.07161551]))","(array([0.04362651]), array([0.07556333]))","(array([0.04576253]), array([0.07926303]))","(array([0.04765288]), array([0.08253721]))","(array([0.04911208]), array([0.08506462]))","(array([0.05025145]), array([0.08703806]))","(array([0.05119628]), array([0.08867455]))"
(0.05864335258342336+0j),[-4.12551808e-15],[1.],[0.46341148],[1.],"(array([0.06975826]), array([0.12082485]))","(array([0.02131124]), array([0.03691214]))","(array([0.02461777]), array([0.04263923]))","(array([0.02775987]), array([0.04808151]))","(array([0.03075215]), array([0.05326429]))","(array([0.03356517]), array([0.05813658]))","(array([0.03627274]), array([0.06282622]))","(array([0.03889061]), array([0.0673605]))","(array([0.04134724]), array([0.07161552]))","(array([0.04362651]), array([0.07556334]))","(array([0.04576254]), array([0.07926304]))","(array([0.04765289]), array([0.08253722]))","(array([0.04911208]), array([0.08506462]))","(array([0.05025145]), array([0.08703807]))","(array([0.05119628]), array([0.08867456]))","(array([0.0519257]), array([0.08993795]))"
