Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00039163925286258075+0j),[9.33444116e-05],[1.],[0.03957031],[1.],"(array([0.00476462]), array([0.00742406]))","(array([0.00144384]), array([-3.25970804e-15]))","(array([0.00232152]), array([-5.01129086e-15]))","(array([0.00319108]), array([-6.2459803e-15]))","(array([0.00407583]), array([-4.26048086e-15]))","(array([0.004918]), array([-3.23742769e-16]))","(array([0.00574489]), array([2.01336343e-15]))","(array([0.00642766]), array([2.06367042e-15]))","(array([0.0070575]), array([-8.96635197e-16]))","(array([0.0078148]), array([-1.68094705e-15]))","(array([0.00856649]), array([1.05242286e-05]))"
(0.0004438140764069555+0j),[0.00036347],[1.],[0.04212072],[1.],"(array([0.00600434]), array([0.00800204]))","(array([0.00232152]), array([-5.79300063e-15]))","(array([0.00319108]), array([-8.54915097e-15]))","(array([0.00407583]), array([-9.10838245e-15]))","(array([0.004918]), array([-7.95153873e-15]))","(array([0.00574489]), array([-9.69276742e-16]))","(array([0.00642766]), array([-1.86352669e-15]))","(array([0.0070575]), array([5.87637577e-16]))","(array([0.0078148]), array([4.42224382e-15]))","(array([0.00856649]), array([1.05242286e-05]))","(array([0.00921022]), array([5.15035567e-05]))"
(0.0004998515318350672+0j),[0.00078719],[1.],[0.04469381],[1.],"(array([0.0071031]), array([0.00854141]))","(array([0.00319108]), array([-5.2796309e-15]))","(array([0.00407583]), array([-5.83203191e-15]))","(array([0.004918]), array([-7.74272139e-15]))","(array([0.00574489]), array([-1.05096053e-14]))","(array([0.00642766]), array([-1.58460484e-14]))","(array([0.0070575]), array([-1.68805941e-14]))","(array([0.0078148]), array([4.0735644e-15]))","(array([0.00856649]), array([1.05242286e-05]))","(array([0.00921022]), array([5.15035567e-05]))","(array([0.00978787]), array([0.00012973]))"
(0.0005553216198355435+0j),[0.00135533],[1.],[0.04709437],[1.],"(array([0.00815619]), array([0.00908295]))","(array([0.00407583]), array([3.13713899e-15]))","(array([0.004918]), array([-4.92899992e-15]))","(array([0.00574489]), array([-2.3273267e-14]))","(array([0.00642766]), array([-4.30315505e-14]))","(array([0.0070575]), array([-5.0942757e-14]))","(array([0.0078148]), array([-4.19987396e-14]))","(array([0.00856649]), array([1.05242287e-05]))","(array([0.00921022]), array([5.15035568e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))"
(0.0005892726723095419+0j),[0.00206361],[1.],[0.04848721],[1.],"(array([0.00913016]), array([0.00952528]))","(array([0.004918]), array([8.56693189e-15]))","(array([0.00574489]), array([-2.85993017e-14]))","(array([0.00642766]), array([-7.4374968e-14]))","(array([0.0070575]), array([-1.00140816e-13]))","(array([0.0078148]), array([-1.10355735e-13]))","(array([0.00856649]), array([1.05242286e-05]))","(array([0.00921022]), array([5.15035568e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))"
(0.0005756192015703877+0j),[0.00289704],[1.],[0.04787726],[1.],"(array([0.00986592]), array([0.00968863]))","(array([0.00574489]), array([-1.50461241e-14]))","(array([0.00642766]), array([-9.22064074e-14]))","(array([0.0070575]), array([-1.50918774e-13]))","(array([0.0078148]), array([-1.98482073e-13]))","(array([0.00856649]), array([1.05242284e-05]))","(array([0.00921022]), array([5.15035566e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))"
(0.0005513778040630066+0j),[0.00384655],[1.],[0.04678564],[1.],"(array([0.0104228]), array([0.009623]))","(array([0.00642766]), array([-8.14584945e-14]))","(array([0.0070575]), array([-1.77967016e-13]))","(array([0.0078148]), array([-2.784422e-13]))","(array([0.00856649]), array([1.05242283e-05]))","(array([0.00921022]), array([5.15035565e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))"
(0.0005400390938139063+0j),[0.00487898],[1.],[0.04620087],[1.],"(array([0.01081756]), array([0.00957104]))","(array([0.0070575]), array([-1.71823493e-13]))","(array([0.0078148]), array([-3.20809351e-13]))","(array([0.00856649]), array([1.05242282e-05]))","(array([0.00921022]), array([5.15035563e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))"
(0.0005087466124541544+0j),[0.00598017],[1.],[0.04469315],[1.],"(array([0.01112111]), array([0.00948701]))","(array([0.0078148]), array([-3.21687555e-13]))","(array([0.00856649]), array([1.05242282e-05]))","(array([0.00921022]), array([5.15035562e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))"
(0.000500406712162328+0j),[0.00717098],[1.],[0.04414133],[1.],"(array([0.01153852]), array([0.00941512]))","(array([0.00856649]), array([1.05242281e-05]))","(array([0.00921022]), array([5.15035561e-05]))","(array([0.00978787]), array([0.00012973]))","(array([0.01034862]), array([0.00024156]))","(array([0.0107763]), array([0.00038547]))","(array([0.01086456]), array([0.00055929]))","(array([0.01067272]), array([0.0007603]))","(array([0.01048372]), array([0.00098376]))","(array([0.0102478]), array([0.00122431]))","(array([0.0100156]), array([0.00148272]))"
