Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.31103397301363966+0j),[3.61998298e-15],[1.],[0.87046847],[1.],"(array([0.09433226]), array([0.16338827]))","(array([2.11992048e-20]), array([-1.17648484e-20]))","(array([-6.74012688e-18]), array([-1.16371895e-17]))","(array([-8.83386559e-19]), array([-9.77457368e-19]))","(array([7.01320661e-18]), array([-4.56688233e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.01831989]), array([0.03173098]))","(array([0.04306179]), array([0.07458522]))","(array([0.05616346]), array([0.09727797]))","(array([0.06388406]), array([0.11065043]))","(array([0.07311381]), array([0.12663683]))","(array([0.08249307]), array([0.14288218]))","(array([0.09282767]), array([0.16078224]))","(array([0.09574757]), array([0.16583966]))","(array([0.09199622]), array([0.15934213]))","(array([0.09433226]), array([0.16338827]))"
(0.33524049508891346+0j),[9.6732335e-15],[1.],[0.87242002],[1.],"(array([0.09827035]), array([0.17020924]))","(array([-9.82509193e-18]), array([-1.19469376e-17]))","(array([-3.4006418e-19]), array([-1.81224303e-18]))","(array([1.42286915e-17]), array([-7.2376083e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.0183199]), array([0.03173099]))","(array([0.04306183]), array([0.07458528]))","(array([0.05616351]), array([0.09727806]))","(array([0.06388412]), array([0.11065054]))","(array([0.07311387]), array([0.12663694]))","(array([0.08249313]), array([0.14288228]))","(array([0.09282772]), array([0.16078233]))","(array([0.09574763]), array([0.16583975]))","(array([0.09199627]), array([0.15934222]))","(array([0.0943323]), array([0.16338834]))","(array([0.09827035]), array([0.17020924]))"
(0.399667194867+0j),[9.34103401e-15],[1.],[0.88860362],[1.],"(array([0.09947192]), array([0.17229042]))","(array([-1.35962134e-18]), array([-5.06534622e-18]))","(array([2.34341463e-17]), array([-1.26487638e-17]))","(array([0.00223434]), array([0.00387]))","(array([0.0183199]), array([0.031731]))","(array([0.04306186]), array([0.07458532]))","(array([0.05616355]), array([0.09727813]))","(array([0.06388417]), array([0.11065063]))","(array([0.07311393]), array([0.12663704]))","(array([0.08249319]), array([0.1428824]))","(array([0.0928278]), array([0.16078246]))","(array([0.0957477]), array([0.16583988]))","(array([0.09199635]), array([0.15934235]))","(array([0.09433237]), array([0.16338847]))","(array([0.09827041]), array([0.17020935]))","(array([0.09947192]), array([0.17229042]))"
(0.361278268310816+0j),[8.48455536e-15],[1.],[0.84469242],[1.],"(array([0.09770918]), array([0.16923727]))","(array([2.37157439e-17]), array([-9.17670452e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.01831993]), array([0.03173106]))","(array([0.04306201]), array([0.07458559]))","(array([0.05616381]), array([0.09727856]))","(array([0.06388447]), array([0.11065116]))","(array([0.07311428]), array([0.12663765]))","(array([0.08249353]), array([0.14288299]))","(array([0.09282808]), array([0.16078295]))","(array([0.09574794]), array([0.16584029]))","(array([0.09199657]), array([0.15934273]))","(array([0.0943326]), array([0.16338885]))","(array([0.09827064]), array([0.17020974]))","(array([0.09947208]), array([0.17229069]))","(array([0.09770918]), array([0.16923726]))"
(0.3802246899659135+0j),[5.09249851e-15],[1.],[0.83672244],[1.],"(array([0.09478631]), array([0.16417471]))","(array([0.00223434]), array([0.00387]))","(array([0.01831994]), array([0.03173107]))","(array([0.04306205]), array([0.07458566]))","(array([0.05616388]), array([0.09727869]))","(array([0.06388457]), array([0.11065133]))","(array([0.07311439]), array([0.12663784]))","(array([0.08249364]), array([0.14288318]))","(array([0.09282818]), array([0.16078313]))","(array([0.09574803]), array([0.16584046]))","(array([0.09199666]), array([0.1593429]))","(array([0.0943327]), array([0.16338904]))","(array([0.09827076]), array([0.17020996]))","(array([0.0994722]), array([0.17229091]))","(array([0.0977093]), array([0.16923747]))","(array([0.09478631]), array([0.16417471]))"
(0.43000614222896083+0j),[5.46175067e-15],[1.],[0.83525922],[1.],"(array([0.09660808]), array([0.16733011]))","(array([0.01831995]), array([0.03173109]))","(array([0.04306212]), array([0.07458578]))","(array([0.05616399]), array([0.09727889]))","(array([0.06388471]), array([0.11065157]))","(array([0.07311456]), array([0.12663813]))","(array([0.08249383]), array([0.1428835]))","(array([0.09282841]), array([0.16078352]))","(array([0.09574826]), array([0.16584085]))","(array([0.09199688]), array([0.15934327]))","(array([0.09433293]), array([0.16338943]))","(array([0.09827102]), array([0.1702104]))","(array([0.09947248]), array([0.17229139]))","(array([0.09770958]), array([0.16923796]))","(array([0.09478657]), array([0.16417516]))","(array([0.09437375]), array([0.16346012]))"
(0.4119030581424669+0j),[4.18992995e-15],[1.],[0.80310887],[1.],"(array([0.1106335]), array([0.19162284]))","(array([0.04306237]), array([0.07458622]))","(array([0.05616442]), array([0.09727963]))","(array([0.06388523]), array([0.11065247]))","(array([0.0731152]), array([0.12663924]))","(array([0.08249459]), array([0.14288482]))","(array([0.09282928]), array([0.16078502]))","(array([0.09574906]), array([0.16584223]))","(array([0.09199762]), array([0.15934455]))","(array([0.09433361]), array([0.16339061]))","(array([0.09827168]), array([0.17021153]))","(array([0.09947312]), array([0.17229251]))","(array([0.09771021]), array([0.16923905]))","(array([0.09478713]), array([0.16417613]))","(array([0.09437418]), array([0.16346087]))","(array([0.0923136]), array([0.15989185]))"
(0.47227025052143407+0j),[1.62614005e-15],[1.],[0.79255262],[1.],"(array([0.13319916]), array([0.23070772]))","(array([0.05616463]), array([0.09727999]))","(array([0.0638855]), array([0.11065294]))","(array([0.07311554]), array([0.12663983]))","(array([0.08249502]), array([0.14288557]))","(array([0.0928298]), array([0.16078592]))","(array([0.09574959]), array([0.16584315]))","(array([0.09199811]), array([0.15934539]))","(array([0.09433412]), array([0.16339149]))","(array([0.09827222]), array([0.17021248]))","(array([0.0994737]), array([0.1722935]))","(array([0.09771078]), array([0.16924004]))","(array([0.0947877]), array([0.16417711]))","(array([0.09437477]), array([0.1634619]))","(array([0.09231419]), array([0.15989287]))","(array([0.09013809]), array([0.15612375]))"
(0.5155812511807301+0j),[-5.75336434e-15],[1.],[0.75546655],[1.],"(array([0.14350811]), array([0.24856333]))","(array([0.06388614]), array([0.11065404]))","(array([0.07311639]), array([0.1266413]))","(array([0.08249614]), array([0.14288751]))","(array([0.09283122]), array([0.16078839]))","(array([0.09575109]), array([0.16584575]))","(array([0.09199949]), array([0.1593478]))","(array([0.09433561]), array([0.16339406]))","(array([0.09827397]), array([0.17021551]))","(array([0.09947558]), array([0.17229676]))","(array([0.09771259]), array([0.16924318]))","(array([0.0947894]), array([0.16418006]))","(array([0.09437641]), array([0.16346473]))","(array([0.09231577]), array([0.15989561]))","(array([0.09013954]), array([0.15612626]))","(array([0.08734479]), array([0.15128561]))"
(0.4558786861037433+0j),[-3.72003343e-15],[1.],[0.7174306],[1.],"(array([0.14694568]), array([0.25451738]))","(array([0.07311841]), array([0.12664481]))","(array([0.08249876]), array([0.14289204]))","(array([0.09283435]), array([0.16079382]))","(array([0.09575421]), array([0.16585116]))","(array([0.09200226]), array([0.15935259]))","(array([0.09433828]), array([0.16339869]))","(array([0.09827701]), array([0.17022077]))","(array([0.09947865]), array([0.17230208]))","(array([0.09771541]), array([0.16924805]))","(array([0.09479196]), array([0.16418449]))","(array([0.09437872]), array([0.16346874]))","(array([0.09231795]), array([0.15989938]))","(array([0.09014173]), array([0.15613006]))","(array([0.08734697]), array([0.1512894]))","(array([0.08305852]), array([0.14386158]))"
(0.39931709039615415+0j),[-4.02144786e-15],[1.],[0.67843505],[1.],"(array([0.15183978]), array([0.26299422]))","(array([0.08250084]), array([0.14289565]))","(array([0.0928368]), array([0.16079805]))","(array([0.09575654]), array([0.16585519]))","(array([0.09200411]), array([0.1593558]))","(array([0.09433982]), array([0.16340135]))","(array([0.09827853]), array([0.17022341]))","(array([0.09948013]), array([0.17230465]))","(array([0.09771682]), array([0.1692505]))","(array([0.09479331]), array([0.16418683]))","(array([0.09438019]), array([0.16347129]))","(array([0.09231958]), array([0.1599022]))","(array([0.09014374]), array([0.15613353]))","(array([0.08734956]), array([0.15129388]))","(array([0.08306125]), array([0.1438663]))","(array([0.07872163]), array([0.13634987]))"
(0.39578289618551493+0j),[2.88910152e-15],[1.],[0.67057079],[1.],"(array([0.15847801]), array([0.27449197]))","(array([0.09283878]), array([0.16080148]))","(array([0.09575839]), array([0.1658584]))","(array([0.09200555]), array([0.15935828]))","(array([0.09434091]), array([0.16340326]))","(array([0.09827945]), array([0.170225]))","(array([0.09948097]), array([0.17230609]))","(array([0.09771765]), array([0.16925194]))","(array([0.09479414]), array([0.16418826]))","(array([0.09438117]), array([0.16347299]))","(array([0.09232073]), array([0.15990419]))","(array([0.09014513]), array([0.15613594]))","(array([0.08735138]), array([0.15129702]))","(array([0.08306321]), array([0.14386971]))","(array([0.0787235]), array([0.1363531]))","(array([0.07598047]), array([0.13160204]))"
(0.42792106073130076+0j),[-1.46187864e-15],[1.],[0.68045163],[1.],"(array([0.16902489]), array([0.2927597]))","(array([0.09576088]), array([0.16586271]))","(array([0.0920075]), array([0.15936167]))","(array([0.09434245]), array([0.16340591]))","(array([0.09828073]), array([0.17022722]))","(array([0.09948212]), array([0.17230809]))","(array([0.09771877]), array([0.16925387]))","(array([0.09479524]), array([0.16419017]))","(array([0.0943824]), array([0.1634751]))","(array([0.09232206]), array([0.1599065]))","(array([0.09014667]), array([0.1561386]))","(array([0.08735336]), array([0.15130045]))","(array([0.08306533]), array([0.14387337]))","(array([0.07872552]), array([0.1363566]))","(array([0.07598246]), array([0.13160548]))","(array([0.07619345]), array([0.13197092]))"
(0.4012986385726802+0j),[-3.14836421e-15],[1.],[0.66180217],[1.],"(array([0.17135587]), array([0.29679708]))","(array([0.09201298]), array([0.15937116]))","(array([0.09434739]), array([0.16341447]))","(array([0.09828517]), array([0.17023491]))","(array([0.09948615]), array([0.17231507]))","(array([0.09772274]), array([0.16926074]))","(array([0.09479911]), array([0.16419687]))","(array([0.09438618]), array([0.16348167]))","(array([0.09232552]), array([0.15991249]))","(array([0.0901498]), array([0.15614403]))","(array([0.08735636]), array([0.15130565]))","(array([0.08306845]), array([0.14387878]))","(array([0.07872851]), array([0.13636178]))","(array([0.07598556]), array([0.13161085]))","(array([0.0761971]), array([0.13197725]))","(array([0.07559384]), array([0.13093238]))"
