Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0018773787279121096+0j),[-2.85364938e-14],[1.],[-0.08609686],[1.],"(array([-0.03487218]), array([-0.02533612]))","(array([-1.73931161e-22]), array([-1.74253068e-21]))","(array([-1.06630949e-21]), array([-8.81723662e-22]))","(array([3.85546492e-21]), array([2.16443343e-21]))","(array([-1.44589744e-22]), array([4.0595707e-22]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937781]), array([0.01753213]))"
(0.003710419028477886+0j),[-2.62235299e-14],[1.],[-0.12128037],[1.],"(array([-0.01891743]), array([-0.01374432]))","(array([-9.33744776e-22]), array([-8.1743064e-22]))","(array([3.69942288e-21]), array([2.2254244e-21]))","(array([5.21701455e-23]), array([2.79555231e-22]))","(array([-0.02213331]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727676]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937781]), array([0.01753213]))","(array([-0.02136164]), array([0.00951082]))"
(0.00040176812252593297+0j),[-1.84450123e-14],[1.],[0.03919078],[1.],"(array([-0.00750344]), array([-0.00545157]))","(array([-8.09678248e-22]), array([4.66317224e-21]))","(array([2.66552459e-22]), array([1.87752835e-23]))","(array([-0.02213332]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727677]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937781]), array([0.01753213]))","(array([-0.02136164]), array([0.00951082]))","(array([-0.00847292]), array([0.00377239]))"
(0.016374616625487243+0j),[-1.78332904e-14],[1.],[-0.25367909],[1.],"(array([-0.01970921]), array([-0.01431958]))","(array([1.0971401e-21]), array([-2.65861682e-21]))","(array([-0.02213332]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634388]), array([-0.00727677]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937782]), array([0.01753213]))","(array([-0.02136164]), array([0.00951082]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))"
(0.018926314419485293+0j),[-1.03012798e-14],[1.],[-0.27218746],[1.],"(array([-0.04796713]), array([-0.03485016]))","(array([-0.02213332]), array([0.00985439]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634389]), array([-0.00727677]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937781]), array([0.01753213]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))","(array([-0.05416469]), array([0.02411567]))"
(0.004179478400982126+0j),[-0.00454799],[1.],[-0.12811963],[1.],"(array([-0.05840897]), array([-0.01713245]))","(array([-0.02213063]), array([0.00985319]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634389]), array([-0.00727677]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937781]), array([0.01753213]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))","(array([-0.05416469]), array([0.02411567]))","(array([-0.04150911]), array([0.01792222]))"
(0.019458018091325108+0j),[-0.00885902],[1.],[-0.27567686],[1.],"(array([-0.05814435]), array([-0.01818369]))","(array([0.01599697]), array([-0.00712231]))","(array([0.01634389]), array([-0.00727677]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937782]), array([0.01753213]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))","(array([-0.05416469]), array([0.02411567]))","(array([-0.04150912]), array([0.01792222]))","(array([-0.04228752]), array([0.01717035]))"
(7.061695959617737e-05+0j),[-0.00513879],[1.],[-0.00463063],[1.],"(array([-0.00879951]), array([-0.02709209]))","(array([0.01634389]), array([-0.00727677]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937782]), array([0.01753213]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))","(array([-0.05416469]), array([0.02411567]))","(array([-0.04150912]), array([0.01792222]))","(array([-0.04228752]), array([0.01717035]))","(array([-0.02969257]), array([0.01148949]))"
(0.013272719586312919+0j),[-0.00150488],[1.],[0.22839424],[1.],"(array([0.03728893]), array([0.00701688]))","(array([0.00040222]), array([-0.00017908]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937782]), array([0.01753213]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))","(array([-0.05416469]), array([0.02411568]))","(array([-0.04150912]), array([0.01792222]))","(array([-0.04228752]), array([0.01717035]))","(array([-0.02969257]), array([0.01148949]))","(array([0.02285118]), array([-0.01099211]))"
(0.0008920057979441485+0j),[-0.00135025],[1.],[-0.05795997],[1.],"(array([0.01624382]), array([0.01093239]))","(array([-0.00296452]), array([0.00131989]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.01325711]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937781]), array([0.01753213]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847291]), array([0.00377239]))","(array([-0.02225571]), array([0.00990888]))","(array([-0.05416469]), array([0.02411568]))","(array([-0.04150912]), array([0.01792222]))","(array([-0.04228752]), array([0.01717035]))","(array([-0.02969257]), array([0.01148949]))","(array([0.02285118]), array([-0.01099211]))","(array([0.01754362]), array([-0.00816349]))"
(0.027791938311461366+0j),[-0.00188223],[1.],[-0.32838954],[1.],"(array([-0.03821989]), array([-0.02474602]))","(array([0.00332418]), array([-0.00148002]))","(array([0.02977595]), array([-0.0132571]))","(array([0.02119275]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937781]), array([0.01753213]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847291]), array([0.00377239]))","(array([-0.02225571]), array([0.00990888]))","(array([-0.05416469]), array([0.02411567]))","(array([-0.04150912]), array([0.01792222]))","(array([-0.04228751]), array([0.01717035]))","(array([-0.02969257]), array([0.01148949]))","(array([0.02285118]), array([-0.01099211]))","(array([0.01754362]), array([-0.00816349]))","(array([-0.04020142]), array([0.01749909]))"
(0.021489550104006938+0j),[-0.00112478],[1.],[-0.28924674],[1.],"(array([-0.05281801]), array([-0.042689]))","(array([0.02977594]), array([-0.0132571]))","(array([0.02119274]), array([-0.00943562]))","(array([-0.0328608]), array([0.01463057]))","(array([-0.03937783]), array([0.01753214]))","(array([-0.02136164]), array([0.00951081]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))","(array([-0.05416469]), array([0.02411568]))","(array([-0.04150912]), array([0.01792222]))","(array([-0.04228752]), array([0.01717035]))","(array([-0.02969257]), array([0.01148949]))","(array([0.02285118]), array([-0.01099211]))","(array([0.01754362]), array([-0.00816349]))","(array([-0.04020142]), array([0.01749909]))","(array([-0.06375912]), array([0.02801608]))"
(0.000248612006386659+0j),[0.00501325],[1.],[-0.02332604],[1.],"(array([0.00084163]), array([-0.03374495]))","(array([0.02119274]), array([-0.00943562]))","(array([-0.03286081]), array([0.01463057]))","(array([-0.03937783]), array([0.01753214]))","(array([-0.02136164]), array([0.00951082]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225572]), array([0.00990888]))","(array([-0.05416469]), array([0.02411568]))","(array([-0.04150912]), array([0.01792222]))","(array([-0.04228752]), array([0.01717035]))","(array([-0.02969257]), array([0.01148949]))","(array([0.02285118]), array([-0.01099211]))","(array([0.01754362]), array([-0.00816349]))","(array([-0.04020142]), array([0.01749909]))","(array([-0.06375912]), array([0.02801608]))","(array([-0.03221015]), array([0.01481391]))"
(0.0023614663440718847+0j),[0.00916848],[1.],[-0.09464714],[1.],"(array([0.0094873]), array([-0.01596324]))","(array([-0.03286085]), array([0.01463059]))","(array([-0.03937788]), array([0.01753216]))","(array([-0.02136166]), array([0.00951082]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225574]), array([0.0099089]))","(array([-0.05416476]), array([0.02411572]))","(array([-0.04150915]), array([0.01792224]))","(array([-0.04228754]), array([0.01717037]))","(array([-0.02969256]), array([0.01148949]))","(array([0.02285121]), array([-0.01099213]))","(array([0.01754365]), array([-0.0081635]))","(array([-0.0402014]), array([0.01749908]))","(array([-0.0637591]), array([0.02801608]))","(array([-0.03221012]), array([0.01481391]))","(array([-0.01150581]), array([0.00687339]))"
(0.016037348418395835+0j),[0.00193524],[1.],[-0.25048994],[1.],"(array([-0.06514363]), array([-0.00728049]))","(array([-0.03937788]), array([0.01753216]))","(array([-0.02136166]), array([0.00951082]))","(array([-0.00847292]), array([0.00377239]))","(array([-0.02225574]), array([0.0099089]))","(array([-0.05416477]), array([0.02411572]))","(array([-0.04150915]), array([0.01792224]))","(array([-0.04228754]), array([0.01717037]))","(array([-0.02969256]), array([0.01148949]))","(array([0.02285121]), array([-0.01099213]))","(array([0.01754365]), array([-0.0081635]))","(array([-0.0402014]), array([0.01749908]))","(array([-0.0637591]), array([0.02801608]))","(array([-0.03221012]), array([0.01481391]))","(array([-0.01150581]), array([0.00687339]))","(array([-0.03511694]), array([0.01700217]))"
(0.0198032622073933+0j),[-0.00614501],[1.],[-0.2777289],[1.],"(array([-0.08728201]), array([-0.01786035]))","(array([-0.02136166]), array([0.00951082]))","(array([-0.00847293]), array([0.00377239]))","(array([-0.02225575]), array([0.0099089]))","(array([-0.05416478]), array([0.02411573]))","(array([-0.04150916]), array([0.01792224]))","(array([-0.04228755]), array([0.01717037]))","(array([-0.02969257]), array([0.01148949]))","(array([0.02285121]), array([-0.01099213]))","(array([0.01754365]), array([-0.00816351]))","(array([-0.04020141]), array([0.01749908]))","(array([-0.06375911]), array([0.02801608]))","(array([-0.03221013]), array([0.01481391]))","(array([-0.01150582]), array([0.0068734]))","(array([-0.03511695]), array([0.01700217]))","(array([-0.05460288]), array([0.02378992]))"
(0.0718634287591639+0j),[-0.00991326],[1.],[-0.51528018],[1.],"(array([-0.09305289]), array([-0.04482434]))","(array([-0.00847293]), array([0.00377239]))","(array([-0.02225575]), array([0.0099089]))","(array([-0.05416481]), array([0.02411574]))","(array([-0.04150917]), array([0.01792225]))","(array([-0.04228757]), array([0.01717038]))","(array([-0.02969258]), array([0.0114895]))","(array([0.02285121]), array([-0.01099213]))","(array([0.01754365]), array([-0.00816351]))","(array([-0.04020141]), array([0.01749909]))","(array([-0.06375912]), array([0.02801609]))","(array([-0.03221013]), array([0.01481391]))","(array([-0.01150581]), array([0.0068734]))","(array([-0.03511694]), array([0.01700217]))","(array([-0.05460288]), array([0.02378992]))","(array([-0.08290126]), array([0.03491885]))"
