Es,Sx,Sxx,Sy,Syy,PQ-50,PQ-49,PQ-48,PQ-47,PQ-46,PQ-45,PQ-44,PQ-43,PQ-42,PQ-41,PQ-40,PQ-39,PQ-38,PQ-37,PQ-36,PQ-35,PQ-34,PQ-33,PQ-32,PQ-31,PQ-30,PQ-29,PQ-28,PQ-27,PQ-26,PQ-25,PQ-24,PQ-23,PQ-22,PQ-21,PQ-20,PQ-19,PQ-18,PQ-17,PQ-16,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.005429857831468763+0j),[-6.54608155e-18],[1.],[0.14696999],[1.],"(array([0.00830026]), array([0.01437648]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00830026]), array([0.01437648]))"
(0.020541168042684927+0j),[-3.03885454e-14],[1.],[0.28357913],[1.],"(array([0.02431217]), array([0.04210991]))","(array([3.66897188e-29]), array([5.87378362e-29]))","(array([-6.65164572e-30]), array([6.17844267e-30]))","(array([-5.44868611e-23]), array([2.59362494e-23]))","(array([-2.17285161e-26]), array([1.43971878e-26]))","(array([2.0379413e-27]), array([4.04981614e-27]))","(array([-2.48657689e-27]), array([-4.45247424e-27]))","(array([1.03941627e-27]), array([1.34697225e-27]))","(array([3.38049257e-27]), array([5.90053756e-27]))","(array([7.88383808e-26]), array([1.21983316e-25]))","(array([3.50793646e-27]), array([8.38110184e-27]))","(array([4.65580715e-27]), array([7.78074408e-27]))","(array([-5.38987118e-26]), array([-1.36209916e-25]))","(array([-5.11378023e-28]), array([-1.0188801e-27]))","(array([7.03029006e-26]), array([1.26885295e-25]))","(array([-1.30499505e-26]), array([-2.66658251e-26]))","(array([-7.13130864e-24]), array([1.77609088e-23]))","(array([-1.73825415e-24]), array([-4.59042235e-24]))","(array([-5.12599713e-26]), array([-1.3571171e-25]))","(array([-4.56170532e-25]), array([-5.10000967e-25]))","(array([1.6935408e-24]), array([5.22570401e-24]))","(array([4.46521667e-28]), array([7.23238853e-28]))","(array([-5.05473114e-33]), array([6.83177223e-33]))","(array([7.76011545e-25]), array([1.55824333e-24]))","(array([-2.66365996e-27]), array([-4.34943223e-27]))","(array([1.05357794e-26]), array([1.74768362e-26]))","(array([8.5200504e-27]), array([1.60413427e-26]))","(array([-3.87747254e-26]), array([-6.13116522e-26]))","(array([4.96249557e-27]), array([7.6036895e-27]))","(array([-4.04508423e-27]), array([-8.19254976e-27]))","(array([-6.32241473e-26]), array([6.01453689e-26]))","(array([-4.89134261e-27]), array([-1.27680929e-26]))","(array([1.55892063e-27]), array([3.02219838e-27]))","(array([-2.57019535e-27]), array([-8.98488633e-27]))","(array([-1.83389229e-23]), array([5.4762535e-24]))","(array([1.37448832e-26]), array([3.38546596e-26]))","(array([-3.80800086e-27]), array([-5.64048688e-27]))","(array([-2.21377657e-27]), array([-3.95580187e-27]))","(array([-2.50019146e-26]), array([-3.78140541e-26]))","(array([-7.05298695e-25]), array([-5.12872108e-25]))","(array([7.26926062e-27]), array([-5.41370679e-26]))","(array([-5.68748976e-27]), array([-7.15077894e-27]))","(array([6.02278532e-28]), array([-3.7275398e-28]))","(array([-3.92580594e-27]), array([2.26656249e-27]))","(array([-9.20706001e-26]), array([-1.97385698e-25]))","(array([-9.61222122e-28]), array([-2.06026449e-27]))","(array([8.21924151e-27]), array([1.35717148e-26]))","(array([9.87163346e-27]), array([2.04383239e-26]))","(array([-1.67480707e-26]), array([-2.19443739e-26]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))"
(0.043572430527183556+0j),[3.38110421e-14],[1.],[0.40774529],[1.],"(array([0.03903235]), array([0.06760601]))","(array([-1.97828809e-22]), array([6.18259611e-21]))","(array([-1.91820339e-21]), array([3.80951971e-23]))","(array([5.12939648e-22]), array([7.01672362e-22]))","(array([3.69211258e-22]), array([7.74276295e-22]))","(array([-2.64497258e-22]), array([-3.37665459e-22]))","(array([3.19314905e-21]), array([-1.31070533e-21]))","(array([4.93522677e-21]), array([-1.52231803e-21]))","(array([1.04720061e-21]), array([-2.30461152e-22]))","(array([8.58035912e-22]), array([-1.0985501e-21]))","(array([-9.16605274e-22]), array([1.9387601e-21]))","(array([4.91709801e-21]), array([-2.29247212e-21]))","(array([-4.69432581e-23]), array([-1.25548873e-22]))","(array([1.23012347e-23]), array([-6.31348353e-24]))","(array([-1.55293102e-21]), array([7.49742742e-22]))","(array([5.94000988e-22]), array([-2.5576477e-22]))","(array([-3.35251175e-22]), array([2.74585658e-22]))","(array([7.26125093e-22]), array([-4.57922063e-22]))","(array([-2.28567362e-21]), array([1.18291893e-21]))","(array([-5.79284316e-23]), array([-9.01770029e-23]))","(array([-1.51795903e-21]), array([8.06617157e-22]))","(array([3.2432196e-22]), array([-3.0045326e-22]))","(array([-2.23012334e-21]), array([1.28445051e-21]))","(array([-2.37902023e-21]), array([1.00433735e-21]))","(array([1.59299124e-21]), array([-6.72090854e-22]))","(array([1.52865677e-21]), array([-7.95234235e-22]))","(array([4.18128879e-21]), array([-3.03162381e-21]))","(array([-4.1330771e-21]), array([3.24919001e-21]))","(array([2.90331943e-21]), array([-1.8307572e-21]))","(array([1.64244647e-22]), array([2.7666862e-22]))","(array([-1.51163282e-21]), array([8.11471327e-22]))","(array([7.37719426e-22]), array([-4.37703413e-22]))","(array([-6.31554152e-21]), array([2.71866857e-21]))","(array([2.6332518e-21]), array([-2.21003979e-21]))","(array([-1.55986347e-21]), array([7.45759418e-22]))","(array([-1.82187592e-22]), array([-2.65125651e-22]))","(array([-1.43478297e-21]), array([9.9408408e-22]))","(array([-2.23563586e-23]), array([-3.34219897e-23]))","(array([1.14260357e-24]), array([-5.44960155e-23]))","(array([-9.39351917e-21]), array([4.25858614e-21]))","(array([1.9922169e-21]), array([-8.56438498e-22]))","(array([-3.27397325e-22]), array([-5.54703727e-22]))","(array([2.92924315e-21]), array([-1.83760097e-21]))","(array([-2.23231286e-21]), array([1.72150098e-22]))","(array([1.59796558e-21]), array([-6.69281878e-22]))","(array([-2.90163742e-21]), array([1.83868793e-21]))","(array([-2.15464098e-21]), array([1.40713718e-21]))","(array([6.35164411e-24]), array([1.15795474e-23]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))"
(0.07280559062762015+0j),[6.33269512e-14],[1.],[0.51800386],[1.],"(array([0.05226122]), array([0.09051909]))","(array([-1.39856967e-21]), array([-2.00082011e-22]))","(array([-1.21234929e-20]), array([9.02970107e-21]))","(array([4.67310219e-21]), array([8.40447211e-21]))","(array([7.48842533e-22]), array([1.43509027e-21]))","(array([2.83808582e-21]), array([1.87837002e-21]))","(array([2.95810373e-21]), array([-5.40137659e-22]))","(array([4.19470884e-22]), array([-3.07669516e-22]))","(array([1.173961e-21]), array([-1.22350335e-21]))","(array([-8.57176285e-22]), array([1.89100815e-21]))","(array([4.70978037e-21]), array([-2.16004043e-21]))","(array([-2.31256666e-21]), array([1.96222469e-22]))","(array([-1.41544537e-21]), array([8.50827083e-22]))","(array([1.21309223e-21]), array([-3.33736243e-21]))","(array([2.07245079e-22]), array([-1.45548458e-22]))","(array([-2.56362379e-22]), array([2.07426432e-22]))","(array([-4.90919257e-23]), array([4.40000107e-23]))","(array([4.58110901e-20]), array([5.16091858e-20]))","(array([3.63585718e-21]), array([-3.61292311e-21]))","(array([8.48737041e-21]), array([1.3556178e-20]))","(array([-2.9335739e-21]), array([1.4864526e-21]))","(array([-2.46967621e-21]), array([4.28169903e-22]))","(array([-3.41394263e-21]), array([1.38370951e-21]))","(array([3.28949313e-21]), array([3.53570647e-21]))","(array([1.78047419e-21]), array([-8.09866719e-22]))","(array([4.88538516e-21]), array([-4.29691539e-21]))","(array([-6.92108659e-21]), array([3.17246692e-21]))","(array([-5.37503772e-21]), array([1.61539065e-20]))","(array([1.96933198e-21]), array([-1.71644429e-21]))","(array([1.21200609e-21]), array([2.97651326e-21]))","(array([1.13459321e-22]), array([-1.08657783e-22]))","(array([-8.14416052e-21]), array([5.20644377e-21]))","(array([6.58200108e-21]), array([4.31518612e-21]))","(array([-1.29231536e-21]), array([4.3267805e-22]))","(array([-1.75139964e-21]), array([5.77543704e-22]))","(array([-5.0795862e-21]), array([-3.58859012e-21]))","(array([-9.84764045e-22]), array([4.02386183e-22]))","(array([7.0761246e-22]), array([-3.52146156e-22]))","(array([-8.08387637e-21]), array([3.76852016e-21]))","(array([1.66991635e-22]), array([-2.00024124e-21]))","(array([8.66804083e-22]), array([8.10519975e-22]))","(array([3.67877048e-21]), array([-2.54437648e-20]))","(array([-3.24988601e-21]), array([-1.31208123e-20]))","(array([2.11905072e-20]), array([4.3139757e-20]))","(array([-9.02089438e-21]), array([-1.06980841e-21]))","(array([-3.84484086e-20]), array([-3.07045555e-21]))","(array([-1.26064694e-21]), array([4.53715024e-22]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))"
(0.1066045080252763+0j),[6.38419298e-14],[1.],[0.61345851],[1.],"(array([0.06386618]), array([0.11061947]))","(array([-1.26271837e-20]), array([9.84583236e-21]))","(array([-5.15957335e-20]), array([3.59789358e-20]))","(array([3.67440877e-21]), array([-1.12644998e-21]))","(array([-8.13224367e-21]), array([7.82918605e-21]))","(array([-1.9466473e-20]), array([1.16952068e-20]))","(array([-1.23104111e-20]), array([4.81804322e-21]))","(array([1.51667892e-20]), array([-2.1595244e-20]))","(array([-5.70455684e-21]), array([-6.46847852e-21]))","(array([5.37375241e-20]), array([5.53035375e-20]))","(array([-2.19786201e-20]), array([1.14319778e-20]))","(array([-2.47688921e-20]), array([1.43220386e-20]))","(array([6.92688706e-21]), array([-6.46310532e-21]))","(array([-1.57107612e-20]), array([8.8641677e-21]))","(array([7.5148495e-21]), array([-4.2868208e-21]))","(array([9.29624296e-21]), array([-5.33853288e-21]))","(array([2.91895606e-20]), array([5.73984347e-20]))","(array([6.27346245e-21]), array([-2.97609501e-21]))","(array([1.74182027e-20]), array([-7.31578223e-21]))","(array([-3.46526562e-20]), array([6.93713492e-21]))","(array([1.89763017e-19]), array([-6.6402483e-20]))","(array([2.36905301e-20]), array([4.64698068e-20]))","(array([2.36650199e-20]), array([-2.3356329e-21]))","(array([2.58678867e-20]), array([-1.45021328e-20]))","(array([-5.22665273e-21]), array([1.16636797e-21]))","(array([-2.39084655e-21]), array([6.81452347e-22]))","(array([-2.62716982e-20]), array([2.75312702e-20]))","(array([-3.54305852e-22]), array([1.96356465e-22]))","(array([1.59923215e-20]), array([-4.42654628e-21]))","(array([1.56377343e-20]), array([-8.97741966e-21]))","(array([2.01635422e-21]), array([-6.03146292e-22]))","(array([-3.52734024e-21]), array([9.58304618e-21]))","(array([-2.04927014e-20]), array([1.14743835e-20]))","(array([-1.18758794e-20]), array([6.19938118e-21]))","(array([-8.46652409e-21]), array([-1.47448181e-21]))","(array([4.47684015e-20]), array([-2.30443546e-20]))","(array([-1.22996534e-20]), array([-4.86465691e-20]))","(array([6.08875756e-20]), array([4.57814298e-20]))","(array([1.7402452e-20]), array([2.29313032e-21]))","(array([-8.70008623e-21]), array([6.24637986e-21]))","(array([2.8442131e-20]), array([-3.65621856e-20]))","(array([-6.0802799e-20]), array([2.05623926e-19]))","(array([6.53466345e-20]), array([3.78369906e-20]))","(array([-2.34580455e-20]), array([5.01235982e-22]))","(array([-3.76355932e-20]), array([-2.37479048e-21]))","(array([-5.07611494e-21]), array([2.88933442e-21]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))"
(0.143445858493115+0j),[5.06782887e-14],[1.],[0.69372405],[1.],"(array([0.07377552]), array([0.12778294]))","(array([-8.06634518e-20]), array([4.33603326e-20]))","(array([1.41870886e-20]), array([-4.87578946e-21]))","(array([-5.76271289e-20]), array([2.38226357e-19]))","(array([-2.58397334e-20]), array([2.17285793e-20]))","(array([-3.0565281e-22]), array([-2.76017093e-20]))","(array([5.82212861e-20]), array([-4.47364197e-20]))","(array([-4.68031056e-20]), array([5.04646077e-20]))","(array([1.41690596e-20]), array([7.38179088e-20]))","(array([-8.07600948e-20]), array([-4.00910672e-20]))","(array([-1.27573998e-19]), array([7.17981064e-20]))","(array([-2.08485001e-19]), array([-1.89100361e-19]))","(array([-1.26367094e-19]), array([6.61899502e-20]))","(array([1.25768225e-19]), array([-8.30744714e-20]))","(array([5.1483815e-20]), array([-3.57586963e-20]))","(array([-4.85611034e-22]), array([2.52467699e-19]))","(array([4.75389863e-20]), array([6.60823547e-19]))","(array([2.67957712e-19]), array([-3.51235896e-19]))","(array([-1.1316021e-19]), array([-1.77990904e-19]))","(array([1.36656376e-19]), array([-4.30060998e-20]))","(array([-6.13740224e-21]), array([5.80805444e-20]))","(array([1.11780483e-19]), array([-2.94506906e-20]))","(array([1.36654472e-19]), array([-7.94061572e-20]))","(array([2.71786976e-19]), array([4.88444177e-19]))","(array([1.00262545e-19]), array([-1.03821748e-19]))","(array([-1.23683529e-19]), array([1.22361464e-20]))","(array([-5.31401574e-20]), array([2.82267905e-20]))","(array([4.97281323e-20]), array([-1.78290313e-20]))","(array([1.11900949e-20]), array([7.9883693e-21]))","(array([6.28548591e-21]), array([-7.0013703e-20]))","(array([-5.94441829e-20]), array([3.90838206e-20]))","(array([-2.27795219e-20]), array([1.1088395e-19]))","(array([-9.04126573e-20]), array([3.09241531e-20]))","(array([5.36149893e-20]), array([4.39403438e-20]))","(array([-1.07698649e-19]), array([-7.04728587e-21]))","(array([3.14928248e-20]), array([-1.07240797e-19]))","(array([1.07496039e-19]), array([2.39958852e-20]))","(array([-1.14687443e-19]), array([-3.7643123e-19]))","(array([3.96006031e-21]), array([-1.3896863e-21]))","(array([1.092476e-19]), array([-1.72992789e-20]))","(array([-6.41814146e-20]), array([1.93980805e-19]))","(array([8.33743615e-20]), array([-5.19194597e-20]))","(array([1.36090814e-20]), array([-1.68950503e-20]))","(array([-9.38092903e-20]), array([-1.74451399e-19]))","(array([9.25833819e-20]), array([-2.00780272e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778294]))"
(0.18194273785925663+0j),[5.27549659e-14],[1.],[0.75886422],[1.],"(array([0.08197171]), array([0.14197916]))","(array([1.55809427e-19]), array([-4.84667531e-19]))","(array([1.55903341e-19]), array([3.88951516e-19]))","(array([6.83906918e-20]), array([1.98234867e-19]))","(array([-3.31766123e-19]), array([1.70722744e-19]))","(array([1.46226019e-19]), array([-9.20580805e-20]))","(array([-1.81607553e-19]), array([1.21391123e-19]))","(array([-1.9804618e-19]), array([1.9843231e-19]))","(array([-8.81571873e-19]), array([4.60171821e-19]))","(array([-1.42150327e-19]), array([8.0379683e-20]))","(array([1.771601e-19]), array([-5.07326519e-19]))","(array([-2.97062437e-19]), array([1.82938396e-19]))","(array([1.56158124e-19]), array([-6.3259423e-20]))","(array([2.4442631e-19]), array([-1.72242862e-19]))","(array([-4.34265031e-19]), array([4.81990624e-19]))","(array([-2.46921201e-20]), array([6.78382728e-19]))","(array([6.30163587e-20]), array([-2.33562707e-19]))","(array([-1.0318563e-19]), array([-1.75029409e-19]))","(array([1.86958324e-19]), array([-6.8957193e-20]))","(array([-9.64449149e-20]), array([1.05545513e-19]))","(array([2.77746057e-19]), array([-1.17766305e-19]))","(array([2.61147793e-19]), array([-1.40454315e-19]))","(array([9.09714809e-20]), array([5.71814887e-19]))","(array([3.51493546e-19]), array([-2.42421113e-19]))","(array([-2.26486204e-19]), array([7.22826409e-20]))","(array([-2.32906096e-19]), array([1.24326824e-19]))","(array([1.03408654e-19]), array([1.30205518e-19]))","(array([1.44863902e-19]), array([-7.18816009e-20]))","(array([2.06391369e-20]), array([-6.9199319e-20]))","(array([-2.51304055e-19]), array([1.4519032e-19]))","(array([-1.54251454e-19]), array([-2.82755294e-19]))","(array([3.95577576e-20]), array([4.27848846e-19]))","(array([-1.27538819e-20]), array([1.7427171e-19]))","(array([-1.36672601e-19]), array([2.08088455e-21]))","(array([1.80531522e-19]), array([-2.44299178e-19]))","(array([5.94991305e-20]), array([5.57869063e-20]))","(array([8.53801458e-20]), array([-4.66419675e-19]))","(array([-3.58198917e-21]), array([8.25230581e-21]))","(array([3.75795796e-19]), array([-1.65231689e-19]))","(array([-2.4231989e-19]), array([2.90683756e-19]))","(array([2.44632527e-19]), array([-5.11993427e-19]))","(array([7.82038894e-21]), array([4.81298056e-20]))","(array([-1.33058931e-19]), array([-1.41275888e-19]))","(array([-1.71527845e-19]), array([-5.0042202e-20]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226122]), array([0.09051909]))","(array([0.06386618]), array([0.11061947]))","(array([0.07377552]), array([0.12778295]))","(array([0.08197171]), array([0.14197916]))"
(0.22086138642771588+0j),[5.27330795e-14],[1.],[0.80932648],[1.],"(array([0.08848418]), array([0.1532591]))","(array([-1.15542157e-19]), array([2.36453694e-19]))","(array([1.89401517e-19]), array([1.29561297e-19]))","(array([-5.775411e-19]), array([4.89595827e-19]))","(array([-1.22430731e-18]), array([9.10662897e-19]))","(array([-2.71099046e-19]), array([1.09253205e-18]))","(array([-5.61628831e-19]), array([4.49983038e-19]))","(array([-4.62372516e-19]), array([4.01619255e-19]))","(array([-3.77574534e-19]), array([3.42078848e-19]))","(array([2.20558923e-19]), array([-4.98017547e-19]))","(array([-8.07969809e-19]), array([4.86889223e-19]))","(array([-9.96058594e-21]), array([-1.1660247e-19]))","(array([-5.92043804e-20]), array([2.28906491e-20]))","(array([-6.48922938e-20]), array([2.60281296e-18]))","(array([-4.93307331e-19]), array([9.3329367e-19]))","(array([3.48541206e-20]), array([3.63715129e-19]))","(array([-5.84735672e-19]), array([1.2518683e-19]))","(array([6.17532692e-19]), array([1.87766393e-21]))","(array([-1.55943138e-19]), array([-1.21727515e-18]))","(array([4.97567998e-19]), array([-2.17213263e-19]))","(array([7.42968407e-19]), array([-3.92568021e-19]))","(array([-4.06964253e-19]), array([4.4944844e-19]))","(array([7.49270662e-19]), array([-5.12738374e-19]))","(array([-3.93585884e-19]), array([1.78175147e-20]))","(array([-4.72287983e-19]), array([2.55485514e-19]))","(array([-2.12588954e-19]), array([-2.12198513e-19]))","(array([2.9126982e-19]), array([-1.37525167e-19]))","(array([-7.10505138e-20]), array([-7.18292706e-19]))","(array([-5.27030573e-19]), array([1.86199488e-19]))","(array([-4.38476977e-20]), array([3.08714331e-19]))","(array([-1.01309096e-19]), array([5.86089181e-19]))","(array([-1.54389929e-19]), array([1.93239972e-21]))","(array([-2.37151932e-19]), array([4.22517457e-20]))","(array([6.65600452e-20]), array([-2.95460518e-19]))","(array([-7.60470618e-19]), array([5.38136286e-19]))","(array([1.05676399e-19]), array([-4.53228987e-19]))","(array([-1.75297601e-19]), array([2.06922268e-19]))","(array([6.37974113e-19]), array([-2.25487651e-19]))","(array([-6.26448891e-19]), array([5.08117442e-19]))","(array([5.14303308e-19]), array([-5.70951648e-19]))","(array([-4.07185582e-19]), array([3.13469952e-19]))","(array([-7.65397258e-19]), array([-3.87619693e-20]))","(array([-1.02676041e-18]), array([5.1213182e-19]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210991]))","(array([0.03903235]), array([0.06760601]))","(array([0.05226123]), array([0.0905191]))","(array([0.06386618]), array([0.11061948]))","(array([0.07377552]), array([0.12778295]))","(array([0.08197171]), array([0.14197916]))","(array([0.08848418]), array([0.1532591]))"
(0.2591315721102991+0j),[6.39694301e-14],[1.],[0.84587618],[1.],"(array([0.09338194]), array([0.16174227]))","(array([4.83635331e-19]), array([-3.45070954e-20]))","(array([-1.83856223e-18]), array([1.24085695e-18]))","(array([-1.24774605e-18]), array([9.09610962e-19]))","(array([-1.2440939e-18]), array([1.62498999e-18]))","(array([-1.91795292e-18]), array([1.20516584e-18]))","(array([-3.67085085e-19]), array([1.35676145e-19]))","(array([-7.80870282e-19]), array([1.22542527e-18]))","(array([1.9548123e-19]), array([-5.5461299e-19]))","(array([-1.29972451e-18]), array([7.93571871e-19]))","(array([3.40941644e-19]), array([-3.1218427e-19]))","(array([-7.25118875e-19]), array([4.55116133e-19]))","(array([-1.62359806e-18]), array([3.35487622e-18]))","(array([-1.38341438e-18]), array([1.45227516e-18]))","(array([4.783981e-19]), array([3.79333833e-18]))","(array([-1.28796778e-18]), array([5.63719195e-19]))","(array([1.83728273e-18]), array([-7.66921066e-19]))","(array([-9.26307704e-19]), array([-7.28800997e-19]))","(array([1.1888877e-18]), array([-5.79530182e-19]))","(array([1.6922725e-18]), array([-9.17716117e-19]))","(array([-1.25607877e-18]), array([9.12565636e-19]))","(array([1.17769789e-18]), array([-7.70348929e-19]))","(array([-6.35411928e-19]), array([1.95340122e-19]))","(array([-6.89046469e-19]), array([3.83709351e-19]))","(array([-8.00837334e-19]), array([2.1180217e-19]))","(array([8.8800663e-19]), array([-4.95532377e-19]))","(array([7.14816956e-19]), array([-1.03702934e-18]))","(array([-1.00066789e-18]), array([4.19098146e-19]))","(array([-1.39770522e-18]), array([1.09723898e-18]))","(array([-7.69799097e-20]), array([5.88511545e-19]))","(array([2.97514718e-20]), array([-8.11284981e-20]))","(array([-8.1397287e-19]), array([3.47284715e-19]))","(array([-7.08550064e-19]), array([1.81506479e-19]))","(array([-2.32810911e-18]), array([1.4779401e-18]))","(array([3.60473489e-19]), array([-5.57769471e-19]))","(array([-9.4898634e-19]), array([7.27441142e-19]))","(array([1.80463416e-18]), array([-8.90242915e-19]))","(array([-1.35359625e-18]), array([9.4506219e-19]))","(array([8.65789863e-19]), array([-7.25326112e-19]))","(array([-9.59841827e-19]), array([6.56466461e-19]))","(array([-2.16196938e-18]), array([8.09122503e-19]))","(array([-2.86105356e-18]), array([1.63807886e-18]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431217]), array([0.04210992]))","(array([0.03903235]), array([0.06760602]))","(array([0.05226124]), array([0.09051912]))","(array([0.06386619]), array([0.11061949]))","(array([0.07377553]), array([0.12778297]))","(array([0.08197172]), array([0.14197918]))","(array([0.08848419]), array([0.15325911]))","(array([0.09338194]), array([0.16174227]))"
(0.29585125924667866+0j),[4.21179021e-14],[1.],[0.86953171],[1.],"(array([0.09676615]), array([0.16760389]))","(array([-3.46364677e-18]), array([1.23345899e-18]))","(array([-2.54889157e-18]), array([1.23533011e-18]))","(array([-7.36642398e-19]), array([1.43718852e-18]))","(array([-2.60516629e-18]), array([1.82427627e-18]))","(array([1.17692143e-18]), array([-9.0507665e-19]))","(array([-2.48140334e-18]), array([2.26570808e-18]))","(array([1.6314216e-19]), array([-6.0641615e-19]))","(array([-1.10541278e-18]), array([6.77899528e-19]))","(array([7.53462279e-19]), array([-5.28453299e-19]))","(array([-7.22794229e-18]), array([-2.60358025e-18]))","(array([-5.43453226e-18]), array([8.25841124e-18]))","(array([-9.54877549e-19]), array([2.35896599e-18]))","(array([2.50904012e-19]), array([3.89325812e-18]))","(array([-2.58378843e-18]), array([1.38351455e-18]))","(array([4.15220915e-18]), array([-2.03185029e-18]))","(array([-1.87472086e-18]), array([-8.56615218e-20]))","(array([2.24811162e-18]), array([-1.25700045e-18]))","(array([2.12953676e-18]), array([-1.11583262e-18]))","(array([-2.53115498e-18]), array([1.58848745e-18]))","(array([-1.15357919e-19]), array([2.79975932e-19]))","(array([-1.66549979e-18]), array([1.1167011e-18]))","(array([-1.99591393e-19]), array([1.43214869e-19]))","(array([-1.9209345e-18]), array([6.04139461e-19]))","(array([2.57263039e-18]), array([-1.51998579e-18]))","(array([8.30930768e-19]), array([-1.14463484e-18]))","(array([-2.63769972e-18]), array([1.35960352e-18]))","(array([-2.47302484e-18]), array([1.66935353e-18]))","(array([-4.36962687e-19]), array([7.14905747e-19]))","(array([8.88016496e-19]), array([-5.56579658e-19]))","(array([-8.46390413e-19]), array([3.88861454e-19]))","(array([-1.30547295e-18]), array([6.88895735e-19]))","(array([-4.12751445e-18]), array([2.71784535e-18]))","(array([1.03945291e-18]), array([-8.20856293e-19]))","(array([-2.23467781e-18]), array([1.28631006e-18]))","(array([5.07316374e-18]), array([-1.58405626e-18]))","(array([-3.50234375e-18]), array([1.06028591e-18]))","(array([2.79261577e-18]), array([-1.8159346e-18]))","(array([-3.11768404e-18]), array([1.17238152e-18]))","(array([-3.97409888e-18]), array([1.83310479e-18]))","(array([-5.23711783e-18]), array([5.1770706e-18]))","(array([0.00830026]), array([0.01437648]))","(array([0.02431218]), array([0.04210993]))","(array([0.03903237]), array([0.06760604]))","(array([0.05226125]), array([0.09051915]))","(array([0.06386621]), array([0.11061953]))","(array([0.07377555]), array([0.127783]))","(array([0.08197174]), array([0.14197922]))","(array([0.08848421]), array([0.15325915]))","(array([0.09338196]), array([0.1617423]))","(array([0.09676615]), array([0.16760389]))"
