Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.35524036499326006+0j),[-1.05939135e-14],[1.],[0.87932628],[1.],"(array([0.12352982]), array([0.21395993]))","(array([0.03903242]), array([0.06760613]))","(array([0.05226133]), array([0.09051928]))","(array([0.06386632]), array([0.11061971]))","(array([0.07377566]), array([0.12778319]))","(array([0.08197185]), array([0.1419794]))","(array([0.08848433]), array([0.15325935]))","(array([0.09338208]), array([0.16174251]))","(array([0.09676626]), array([0.16760408]))","(array([0.09868922]), array([0.17093474]))","(array([0.0992178]), array([0.17185027]))"
(0.37550543041281537+0j),[-8.53493936e-15],[1.],[0.86955512],[1.],"(array([0.13762202]), array([0.23836833]))","(array([0.05226138]), array([0.09051937]))","(array([0.0638664]), array([0.11061985]))","(array([0.07377576]), array([0.12778337]))","(array([0.08197197]), array([0.14197961]))","(array([0.08848448]), array([0.15325962]))","(array([0.09338225]), array([0.1617428]))","(array([0.09676642]), array([0.16760435]))","(array([0.09868936]), array([0.17093499]))","(array([0.09921793]), array([0.17185049]))","(array([0.09859004]), array([0.17076296]))"
(0.3895898221349118+0j),[-9.93430497e-15],[1.],[0.85371278],[1.],"(array([0.14938665]), array([0.25874527]))","(array([0.0638665]), array([0.11062003]))","(array([0.07377591]), array([0.12778362]))","(array([0.08197214]), array([0.1419799]))","(array([0.0884847]), array([0.15326]))","(array([0.09338251]), array([0.16174325]))","(array([0.09676667]), array([0.16760479]))","(array([0.0986896]), array([0.1709354]))","(array([0.09921814]), array([0.17185087]))","(array([0.09859024]), array([0.1707633]))","(array([0.09712604]), array([0.16822724]))"
(0.39791680239860133+0j),[-8.50475853e-15],[1.],[0.83423863],[1.],"(array([0.15898298]), array([0.2753666]))","(array([0.07377607]), array([0.1277839]))","(array([0.08197233]), array([0.14198025]))","(array([0.08848493]), array([0.1532604]))","(array([0.09338278]), array([0.16174373]))","(array([0.09676697]), array([0.1676053]))","(array([0.09868988]), array([0.17093589]))","(array([0.09921841]), array([0.17185132]))","(array([0.09859049]), array([0.17076373]))","(array([0.09712628]), array([0.16822766]))","(array([0.09511767]), array([0.16474864]))"
(0.4010881106143985+0j),[-7.40960757e-15],[1.],[0.81315094],[1.],"(array([0.16659077]), array([0.28854368]))","(array([0.08197255]), array([0.14198063]))","(array([0.08848517]), array([0.1532608]))","(array([0.09338304]), array([0.16174416]))","(array([0.09676725]), array([0.16760579]))","(array([0.09869019]), array([0.17093642]))","(array([0.0992187]), array([0.17185184]))","(array([0.09859076]), array([0.17076421]))","(array([0.09712656]), array([0.16822814]))","(array([0.09511795]), array([0.16474913]))","(array([0.09281638]), array([0.16076269]))"
(0.39982644989151256+0j),[-5.0658222e-15],[1.],[0.79210909],[1.],"(array([0.17239993]), array([0.29860543]))","(array([0.08848545]), array([0.15326129]))","(array([0.0933833]), array([0.16174462]))","(array([0.09676752]), array([0.16760625]))","(array([0.09869049]), array([0.17093694]))","(array([0.09921902]), array([0.17185239]))","(array([0.09859107]), array([0.17076474]))","(array([0.09712685]), array([0.16822864]))","(array([0.09511826]), array([0.16474966]))","(array([0.0928167]), array([0.16076324]))","(array([0.09042957]), array([0.1566286]))"
(0.39494323414703086+0j),[-2.87685785e-15],[1.],[0.77247655],[1.],"(array([0.17661057]), array([0.30589847]))","(array([0.09338368]), array([0.16174528]))","(array([0.09676785]), array([0.16760684]))","(array([0.09869082]), array([0.17093751]))","(array([0.09921938]), array([0.17185301]))","(array([0.09859144]), array([0.17076539]))","(array([0.0971272]), array([0.16822925]))","(array([0.09511861]), array([0.16475027]))","(array([0.09281708]), array([0.1607639]))","(array([0.09042996]), array([0.15662928]))","(array([0.08812776]), array([0.15264175]))"
(0.38730294736728316+0j),[-7.53061535e-16],[1.],[0.75533908],[1.],"(array([0.17942972]), array([0.31078139]))","(array([0.09676838]), array([0.16760775]))","(array([0.09869126]), array([0.17093828]))","(array([0.09921981]), array([0.17185375]))","(array([0.09859189]), array([0.17076616]))","(array([0.09712764]), array([0.16823001]))","(array([0.09511901]), array([0.16475096]))","(array([0.0928175]), array([0.16076463]))","(array([0.09043041]), array([0.15663007]))","(array([0.08812823]), array([0.15264256]))","(array([0.08604908]), array([0.14904138]))"
(0.37771789832808206+0j),[-2.13782796e-15],[1.],[0.74132007],[1.],"(array([0.18105427]), array([0.31359519]))","(array([0.09869194]), array([0.17093946]))","(array([0.09922036]), array([0.1718547]))","(array([0.09859239]), array([0.17076702]))","(array([0.09712814]), array([0.16823087]))","(array([0.09511949]), array([0.16475178]))","(array([0.09281794]), array([0.16076539]))","(array([0.09043089]), array([0.1566309]))","(array([0.08812874]), array([0.15264345]))","(array([0.08604962]), array([0.14904231]))","(array([0.0842893]), array([0.14599335]))"
(0.3670232465914028+0j),[1.35956995e-15],[1.],[0.73083268],[1.],"(array([0.18159518]), array([0.31453208]))","(array([0.09922121]), array([0.17185617]))","(array([0.09859304]), array([0.17076816]))","(array([0.09712871]), array([0.16823187]))","(array([0.09512003]), array([0.16475273]))","(array([0.09281845]), array([0.16076627]))","(array([0.09043139]), array([0.15663176]))","(array([0.08812929]), array([0.15264441]))","(array([0.0860502]), array([0.14904332]))","(array([0.08428991]), array([0.14599441]))","(array([0.08290688]), array([0.14359893]))"
(0.3560585298605467+0j),[-2.65158117e-16],[1.],[0.72404114],[1.],"(array([0.18115178]), array([0.31376409]))","(array([0.09859409]), array([0.17076997]))","(array([0.0971295]), array([0.16823323]))","(array([0.09512069]), array([0.16475388]))","(array([0.09281905]), array([0.16076731]))","(array([0.09043194]), array([0.15663272]))","(array([0.08812986]), array([0.1526454]))","(array([0.08605083]), array([0.14904442]))","(array([0.08429057]), array([0.14599555]))","(array([0.08290758]), array([0.14360014]))","(array([0.08193432]), array([0.1419144]))"
(0.3455560212760153+0j),[-3.16410495e-16],[1.],[0.72083063],[1.],"(array([0.1799643]), array([0.31170731]))","(array([0.09713075]), array([0.16823539]))","(array([0.09512161]), array([0.16475546]))","(array([0.0928198]), array([0.1607686]))","(array([0.0904326]), array([0.15663386]))","(array([0.08813048]), array([0.15264647]))","(array([0.08605149]), array([0.14904556]))","(array([0.08429129]), array([0.1459968]))","(array([0.08290832]), array([0.14360143]))","(array([0.0819351]), array([0.14191576]))","(array([0.08137394]), array([0.1409438]))"
(0.33607758594965315+0j),[-1.43654548e-15],[1.],[0.72085517],[1.],"(array([0.17832627]), array([0.30887016]))","(array([0.09512305]), array([0.16475796]))","(array([0.09282084]), array([0.16077041]))","(array([0.09043343]), array([0.15663529]))","(array([0.08813119]), array([0.1526477]))","(array([0.08605218]), array([0.14904675]))","(array([0.08429204]), array([0.1459981]))","(array([0.08290912]), array([0.14360282]))","(array([0.08193593]), array([0.14191719]))","(array([0.08137481]), array([0.1409453]))","(array([0.08119916]), array([0.14064108]))"
(0.3280187048911075+0j),[-5.05057082e-15],[1.],[0.72361233],[1.],"(array([0.17648117]), array([0.30567435]))","(array([0.09282244]), array([0.16077318]))","(array([0.09043458]), array([0.15663728]))","(array([0.08813208]), array([0.15264923]))","(array([0.08605294]), array([0.14904806]))","(array([0.08429279]), array([0.1459994]))","(array([0.08290995]), array([0.14360424]))","(array([0.08193679]), array([0.14191869]))","(array([0.0813757]), array([0.14094684]))","(array([0.08120009]), array([0.14064268]))","(array([0.08136159]), array([0.14092241]))"
(0.3216150054518549+0j),[-6.77309892e-16],[1.],[0.72850346],[1.],"(array([0.17461781]), array([0.30244691]))","(array([0.09043626]), array([0.15664019]))","(array([0.08813329]), array([0.15265134]))","(array([0.08605385]), array([0.14904964]))","(array([0.08429358]), array([0.14600077]))","(array([0.08291076]), array([0.14360565]))","(array([0.08193767]), array([0.14192021]))","(array([0.08137661]), array([0.14094842]))","(array([0.08120101]), array([0.14064428]))","(array([0.08136255]), array([0.14092408]))","(array([0.08179865]), array([0.14167942]))"
(0.31696040088539884+0j),[-6.36278738e-16],[1.],[0.73489539],[1.],"(array([0.17287366]), array([0.29942597]))","(array([0.08813497]), array([0.15265424]))","(array([0.08605509]), array([0.14905178]))","(array([0.08429451]), array([0.14600237]))","(array([0.08291158]), array([0.14360707]))","(array([0.08193853]), array([0.14192171]))","(array([0.08137753]), array([0.14095002]))","(array([0.08120195]), array([0.1406459]))","(array([0.08136349]), array([0.14092569]))","(array([0.08179962]), array([0.14168109]))","(array([0.08244048]), array([0.14279109]))"
(0.31402841274081406+0j),[-1.75604182e-15],[1.],[0.74216699],[1.],"(array([0.17134812]), array([0.29678365]))","(array([0.08605668]), array([0.14905453]))","(array([0.08429572]), array([0.14600446]))","(array([0.0829125]), array([0.14360865]))","(array([0.08193937]), array([0.14192316]))","(array([0.08137843]), array([0.14095157]))","(array([0.0812029]), array([0.14064755]))","(array([0.08136443]), array([0.14092733]))","(array([0.08180054]), array([0.14168269]))","(array([0.08244141]), array([0.14279272]))","(array([0.08321603]), array([0.14413439]))"
