Es,Sx,Sxx,Sy,Syy,PQ-15,PQ-14,PQ-13,PQ-12,PQ-11,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.45236749017882066+0j),[7.46676184e-15],[1.],[0.91425036],[1.],"(array([0.10384287]), array([0.17986113]))","(array([1.80540026e-18]), array([-1.58094679e-18]))","(array([-9.61314605e-19]), array([-2.01892634e-21]))","(array([1.07321007e-18]), array([-3.48141339e-19]))","(array([-2.77403162e-18]), array([2.09843622e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.00658879]), array([0.01141213]))","(array([0.01071757]), array([0.01856338]))","(array([0.01462648]), array([0.02533381]))","(array([0.02981702]), array([0.05164459]))","(array([0.05430174]), array([0.09405337]))","(array([0.07448073]), array([0.12900442]))","(array([0.08964253]), array([0.15526541]))","(array([0.09897468]), array([0.17142917]))","(array([0.1032854]), array([0.17889555]))","(array([0.10384287]), array([0.17986113]))"
(0.5072394513312467+0j),[7.9642359e-15],[1.],[0.87765259],[1.],"(array([0.10114733]), array([0.17519232]))","(array([2.2477355e-18]), array([1.33214073e-17]))","(array([1.48843016e-17]), array([-3.58794677e-18]))","(array([-5.93038794e-18]), array([4.65248295e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.0065888]), array([0.01141213]))","(array([0.01071757]), array([0.01856338]))","(array([0.01462649]), array([0.02533382]))","(array([0.02981703]), array([0.05164462]))","(array([0.05430178]), array([0.09405345]))","(array([0.0744808]), array([0.12900453]))","(array([0.08964259]), array([0.15526553]))","(array([0.09897474]), array([0.17142928]))","(array([0.10328545]), array([0.17889565]))","(array([0.10384291]), array([0.1798612]))","(array([0.10114733]), array([0.17519232]))"
(0.48956571423353257+0j),[7.47165139e-15],[1.],[0.83437705],[1.],"(array([0.0964496]), array([0.16705561]))","(array([2.53936711e-17]), array([1.45591947e-17]))","(array([6.41354507e-18]), array([4.84665297e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.0065888]), array([0.01141213]))","(array([0.01071758]), array([0.01856339]))","(array([0.01462649]), array([0.02533383]))","(array([0.02981707]), array([0.05164468]))","(array([0.05430187]), array([0.0940536]))","(array([0.07448093]), array([0.12900476]))","(array([0.08964275]), array([0.1552658]))","(array([0.09897488]), array([0.17142953]))","(array([0.10328558]), array([0.17889588]))","(array([0.10384303]), array([0.17986141]))","(array([0.10114742]), array([0.17519247]))","(array([0.0964496]), array([0.16705561]))"
(0.47210367532407216+0j),[-5.60178128e-15],[1.],[0.79589378],[1.],"(array([0.09184227]), array([0.15907548]))","(array([1.79979743e-17]), array([2.449186e-18]))","(array([0.00223434]), array([0.00387]))","(array([0.0065888]), array([0.01141213]))","(array([0.01071758]), array([0.01856339]))","(array([0.0146265]), array([0.02533384]))","(array([0.0298171]), array([0.05164473]))","(array([0.05430196]), array([0.09405376]))","(array([0.07448108]), array([0.12900502]))","(array([0.08964294]), array([0.15526613]))","(array([0.09897507]), array([0.17142985]))","(array([0.10328576]), array([0.17889618]))","(array([0.1038432]), array([0.1798617]))","(array([0.10114758]), array([0.17519274]))","(array([0.09644973]), array([0.16705583]))","(array([0.09184227]), array([0.15907548]))"
(0.45500346837676187+0j),[-3.93240218e-15],[1.],[0.76192146],[1.],"(array([0.08775957]), array([0.15200403]))","(array([0.00223434]), array([0.00387]))","(array([0.0065888]), array([0.01141214]))","(array([0.01071758]), array([0.0185634]))","(array([0.01462651]), array([0.02533385]))","(array([0.02981713]), array([0.05164479]))","(array([0.05430206]), array([0.09405393]))","(array([0.07448126]), array([0.12900532]))","(array([0.08964317]), array([0.15526652]))","(array([0.0989753]), array([0.17143025]))","(array([0.10328597]), array([0.17889654]))","(array([0.1038434]), array([0.17986205]))","(array([0.10114777]), array([0.17519308]))","(array([0.09644991]), array([0.16705615]))","(array([0.09184242]), array([0.15907574]))","(array([0.08775957]), array([0.15200403]))"
(0.4380268590262797+0j),[-8.11412461e-15],[1.],[0.73209258],[1.],"(array([0.08639943]), array([0.14964821]))","(array([0.0065888]), array([0.01141214]))","(array([0.01071759]), array([0.01856341]))","(array([0.01462652]), array([0.02533387]))","(array([0.02981717]), array([0.05164486]))","(array([0.0543022]), array([0.09405417]))","(array([0.0744815]), array([0.12900575]))","(array([0.0896435]), array([0.1552671]))","(array([0.09897563]), array([0.17143083]))","(array([0.10328625]), array([0.17889703]))","(array([0.10384365]), array([0.17986248]))","(array([0.10114801]), array([0.17519349]))","(array([0.09645014]), array([0.16705654]))","(array([0.09184263]), array([0.1590761]))","(array([0.08775973]), array([0.15200431]))","(array([0.08416509]), array([0.14577821]))"
(0.44608453350291727+0j),[-7.43392558e-16],[1.],[0.7123317],[1.],"(array([0.08797576]), array([0.15237849]))","(array([0.01071759]), array([0.01856341]))","(array([0.01462652]), array([0.02533388]))","(array([0.02981721]), array([0.05164492]))","(array([0.05430234]), array([0.09405441]))","(array([0.07448176]), array([0.1290062]))","(array([0.08964386]), array([0.15526772]))","(array([0.098976]), array([0.17143147]))","(array([0.10328657]), array([0.17889759]))","(array([0.10384392]), array([0.17986295]))","(array([0.10114826]), array([0.17519393]))","(array([0.0964504]), array([0.16705699]))","(array([0.09184288]), array([0.15907653]))","(array([0.08775996]), array([0.1520047]))","(array([0.08416527]), array([0.14577853]))","(array([0.08138698]), array([0.14096639]))"
(0.4512685538902166+0j),[2.81272367e-16],[1.],[0.69146883],[1.],"(array([0.08980619]), array([0.15554888]))","(array([0.01462654]), array([0.02533391]))","(array([0.02981728]), array([0.05164505]))","(array([0.05430259]), array([0.09405485]))","(array([0.07448223]), array([0.129007]))","(array([0.0896445]), array([0.15526882]))","(array([0.0989767]), array([0.17143267]))","(array([0.10328721]), array([0.1788987]))","(array([0.10384446]), array([0.17986389]))","(array([0.10114872]), array([0.17519473]))","(array([0.09645082]), array([0.16705772]))","(array([0.09184329]), array([0.15907724]))","(array([0.08776035]), array([0.15200539]))","(array([0.08416564]), array([0.14577917]))","(array([0.08138725]), array([0.14096686]))","(array([0.07908864]), array([0.13698554]))"
(0.45386067975446825+0j),[2.74428552e-15],[1.],[0.67039371],[1.],"(array([0.09134396]), array([0.15821237]))","(array([0.02981738]), array([0.05164522]))","(array([0.05430294]), array([0.09405544]))","(array([0.07448287]), array([0.12900811]))","(array([0.08964539]), array([0.15527037]))","(array([0.09897772]), array([0.17143444]))","(array([0.10328817]), array([0.17890035]))","(array([0.10384524]), array([0.17986524]))","(array([0.10114936]), array([0.17519582]))","(array([0.09645138]), array([0.16705869]))","(array([0.09184383]), array([0.15907818]))","(array([0.08776089]), array([0.15200633]))","(array([0.08416618]), array([0.14578009]))","(array([0.08138774]), array([0.14096771]))","(array([0.079089]), array([0.13698616]))","(array([0.0767175]), array([0.13287861]))"
(0.45208752330449975+0j),[7.08081869e-15],[1.],[0.64968017],[1.],"(array([0.1041694]), array([0.18042669]))","(array([0.05430328]), array([0.09405604]))","(array([0.07448357]), array([0.12900933]))","(array([0.08964643]), array([0.15527218]))","(array([0.09897897]), array([0.17143661]))","(array([0.10328939]), array([0.17890247]))","(array([0.10384626]), array([0.17986699]))","(array([0.10115017]), array([0.17519724]))","(array([0.09645217]), array([0.16706005]))","(array([0.09184464]), array([0.15907959]))","(array([0.08776173]), array([0.15200777]))","(array([0.084167]), array([0.14578152]))","(array([0.08138853]), array([0.14096906]))","(array([0.07908967]), array([0.13698733]))","(array([0.07671808]), array([0.13287962]))","(array([0.0743523]), array([0.12878196]))"
(0.43995727122079553+0j),[2.4903527e-15],[1.],[0.62951532],[1.],"(array([0.12633834]), array([0.21882443]))","(array([0.07448447]), array([0.12901089]))","(array([0.0896478]), array([0.15527455]))","(array([0.09898064]), array([0.1714395]))","(array([0.10329105]), array([0.17890535]))","(array([0.10384769]), array([0.17986948]))","(array([0.10115157]), array([0.17519966]))","(array([0.09645367]), array([0.16706266]))","(array([0.09184613]), array([0.15908216]))","(array([0.08776316]), array([0.15201025]))","(array([0.08416836]), array([0.14578388]))","(array([0.08138982]), array([0.1409713]))","(array([0.07909087]), array([0.1369894]))","(array([0.07671926]), array([0.13288165]))","(array([0.07435346]), array([0.12878397]))","(array([0.07203583]), array([0.12476971]))"
(0.42301137066905264+0j),[7.11071065e-15],[1.],[0.61302245],[1.],"(array([0.14444655]), array([0.25018876]))","(array([0.08964951]), array([0.1552775]))","(array([0.09898273]), array([0.17144312]))","(array([0.10329311]), array([0.17890891]))","(array([0.10384952]), array([0.17987264]))","(array([0.10115346]), array([0.17520293]))","(array([0.09645563]), array([0.16706605]))","(array([0.09184799]), array([0.15908538]))","(array([0.08776489]), array([0.15201324]))","(array([0.08416997]), array([0.14578666]))","(array([0.08139131]), array([0.14097389]))","(array([0.07909232]), array([0.13699192]))","(array([0.0767208]), array([0.13288432]))","(array([0.07435518]), array([0.12878694]))","(array([0.07203758]), array([0.12477274]))","(array([0.069964]), array([0.12118121]))"
(0.4023542587546615+0j),[5.32038099e-15],[1.],[0.60128496],[1.],"(array([0.15801564]), array([0.27369111]))","(array([0.09898544]), array([0.17144781]))","(array([0.1032957]), array([0.1789134]))","(array([0.10385175]), array([0.17987651]))","(array([0.10115555]), array([0.17520656]))","(array([0.09645771]), array([0.16706966]))","(array([0.09184991]), array([0.1590887]))","(array([0.0877666]), array([0.15201622]))","(array([0.08417151]), array([0.14578933]))","(array([0.08139272]), array([0.14097633]))","(array([0.07909377]), array([0.13699442]))","(array([0.07672238]), array([0.13288706]))","(array([0.07435711]), array([0.12879029]))","(array([0.07203968]), array([0.12477638]))","(array([0.06996615]), array([0.12118493]))","(array([0.06836979]), array([0.11841995]))"
(0.3795914388552506+0j),[7.10387454e-15],[1.],[0.5950485],[1.],"(array([0.16633777]), array([0.28810546]))","(array([0.10329943]), array([0.17891986]))","(array([0.10385488]), array([0.17988193]))","(array([0.10115811]), array([0.17521098]))","(array([0.09646005]), array([0.1670737]))","(array([0.09185202]), array([0.15909237]))","(array([0.08776849]), array([0.15201948]))","(array([0.0841732]), array([0.14579225]))","(array([0.08139431]), array([0.14097908]))","(array([0.07909538]), array([0.13699722]))","(array([0.07672411]), array([0.13289005]))","(array([0.07435921]), array([0.12879392]))","(array([0.07204204]), array([0.12478047]))","(array([0.06996867]), array([0.12118929]))","(array([0.06837241]), array([0.11842448]))","(array([0.06735711]), array([0.11666593]))"
(0.37415760459509695+0j),[6.31716572e-15],[1.],[0.60786406],[1.],"(array([0.17102009]), array([0.29621548]))","(array([0.10385983]), array([0.1798905]))","(array([0.10116203]), array([0.17521778]))","(array([0.09646324]), array([0.16707923]))","(array([0.09185475]), array([0.1590971]))","(array([0.08777085]), array([0.15202357]))","(array([0.08417528]), array([0.14579587]))","(array([0.08139625]), array([0.14098243]))","(array([0.07909726]), array([0.13700047]))","(array([0.07672603]), array([0.13289338]))","(array([0.07436136]), array([0.12879766]))","(array([0.07204444]), array([0.12478462]))","(array([0.06997125]), array([0.12119376]))","(array([0.06837519]), array([0.1184293]))","(array([0.06736006]), array([0.11667105]))","(array([0.06772816]), array([0.11730861]))"
(0.36879914973473377+0j),[5.01845753e-15],[1.],[0.62365299],[1.],"(array([0.17319747]), array([0.29998681]))","(array([0.10116958]), array([0.17523085]))","(array([0.09646931]), array([0.16708975]))","(array([0.09185967]), array([0.15910561]))","(array([0.08777487]), array([0.15203053]))","(array([0.08417865]), array([0.1458017]))","(array([0.08139914]), array([0.14098744]))","(array([0.0790998]), array([0.13700488]))","(array([0.07672841]), array([0.1328975]))","(array([0.07436375]), array([0.1288018]))","(array([0.07204701]), array([0.12478908]))","(array([0.06997403]), array([0.12119857]))","(array([0.06837822]), array([0.11843454]))","(array([0.06736344]), array([0.11667691]))","(array([0.06773204]), array([0.11731533]))","(array([0.0693457]), array([0.12011027]))"
(0.3647022220375175+0j),[1.4381305e-16],[1.],[0.64205067],[1.],"(array([0.17244488]), array([0.29868329]))","(array([0.09648075]), array([0.16710956]))","(array([0.09186893]), array([0.15912166]))","(array([0.08778222]), array([0.15204327]))","(array([0.08418443]), array([0.1458117]))","(array([0.08140363]), array([0.14099522]))","(array([0.07910333]), array([0.13701099]))","(array([0.07673138]), array([0.13290264]))","(array([0.07436648]), array([0.12880652]))","(array([0.07204978]), array([0.12479388]))","(array([0.06997698]), array([0.12120369]))","(array([0.06838147]), array([0.11844018]))","(array([0.06736722]), array([0.11668344]))","(array([0.0677368]), array([0.11732357]))","(array([0.06935172]), array([0.1201207]))","(array([0.07128292]), array([0.12346563]))"
(0.3637541442732625+0j),[-2.71403876e-15],[1.],[0.66171124],[1.],"(array([0.16992377]), array([0.29431661]))","(array([0.09188254]), array([0.15914523]))","(array([0.08779387]), array([0.15206344]))","(array([0.08419415]), array([0.14582855]))","(array([0.08141135]), array([0.1410086]))","(array([0.07910916]), array([0.13702109]))","(array([0.07673576]), array([0.13291023]))","(array([0.07436998]), array([0.12881258]))","(array([0.07205291]), array([0.12479929]))","(array([0.06997999]), array([0.1212089]))","(array([0.06838457]), array([0.11844554]))","(array([0.06737073]), array([0.11668953]))","(array([0.06774131]), array([0.11733139]))","(array([0.06935793]), array([0.12013146]))","(array([0.07129087]), array([0.12347941]))","(array([0.07344425]), array([0.12720918]))"
