Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(6.004060576390566e-05+0j),[-2.99755307e-17],[1.],[-0.0154967],[1.],"(array([0.0017472]), array([1.62879232e-17]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0017472]), array([1.60318564e-18]))"
(0.0001092184085678634+0j),[-1.23072033e-17],[1.],[-0.02090031],[1.],"(array([0.00410357]), array([1.73365947e-17]))","(array([-1.00754578e-31]), array([-1.82389884e-31]))","(array([-1.22300295e-34]), array([-5.8062639e-35]))","(array([-7.22046627e-26]), array([-4.12598072e-26]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.0017472]), array([-1.80286144e-19]))","(array([0.00410357]), array([-9.55344381e-17]))"
(0.00024046887944390147+0j),[3.95040452e-15],[1.],[-0.03101016],[1.],"(array([0.00585267]), array([9.09892006e-16]))","(array([5.04170842e-29]), array([1.47321965e-29]))","(array([-7.02749717e-26]), array([-1.05427476e-28]))","(array([3.48997053e-28]), array([2.49292844e-25]))","(array([6.07901684e-28]), array([8.31010075e-26]))","(array([-1.25458692e-27]), array([-8.30880927e-26]))","(array([2.51137048e-25]), array([-1.63394539e-25]))","(array([-3.31649689e-25]), array([2.50279226e-25]))","(array([0.0017472]), array([-2.62551347e-16]))","(array([0.00410357]), array([5.45343874e-16]))","(array([0.00585267]), array([1.03118673e-15]))"
(0.0006476029716293157+0j),[6.25197224e-15],[1.],[-0.05087878],[1.],"(array([0.00923285]), array([1.43636614e-15]))","(array([-2.10700124e-25]), array([4.09326807e-25]))","(array([1.98505375e-25]), array([8.22446743e-25]))","(array([-1.01486414e-25]), array([8.22745488e-25]))","(array([-2.78993567e-27]), array([-4.11682412e-25]))","(array([1.41586525e-24]), array([4.42332171e-25]))","(array([-3.20386163e-25]), array([2.36469461e-25]))","(array([0.0017472]), array([-3.20929397e-16]))","(array([0.00410357]), array([6.70327447e-16]))","(array([0.00585267]), array([1.20159231e-15]))","(array([0.00923285]), array([1.06942697e-15]))"
(0.0026948162339387794+0j),[1.11080891e-14],[1.],[-0.10367828],[1.],"(array([0.01742966]), array([2.57497489e-15]))","(array([2.47347503e-25]), array([8.23078581e-25]))","(array([6.16723935e-26]), array([4.97345496e-24]))","(array([-4.76729561e-24]), array([-6.72510623e-24]))","(array([9.20028553e-24]), array([-4.24751643e-24]))","(array([-3.41078874e-25]), array([2.04898358e-25]))","(array([0.0017472]), array([-3.14829493e-16]))","(array([0.00410357]), array([6.66445374e-16]))","(array([0.00585267]), array([1.19147241e-15]))","(array([0.00923285]), array([1.51196714e-15]))","(array([0.01742966]), array([2.9178961e-15]))"
(0.0053994365248837715+0j),[7.03118296e-15],[1.],[-0.14654022],[1.],"(array([0.02821542]), array([1.80416642e-15]))","(array([7.82875387e-25]), array([4.85527686e-24]))","(array([8.80329989e-23]), array([4.63369532e-23]))","(array([3.70654214e-24]), array([-4.45335798e-23]))","(array([2.10343826e-23]), array([-1.19067478e-22]))","(array([0.0017472]), array([-3.11540687e-16]))","(array([0.00410357]), array([6.49283699e-16]))","(array([0.00585267]), array([1.18622538e-15]))","(array([0.00923285]), array([1.14719737e-15]))","(array([0.01742966]), array([2.49218268e-15]))","(array([0.02821542]), array([2.12660459e-15]))"
(0.009815854727509577+0j),[7.07453175e-15],[1.],[-0.19710312],[1.],"(array([0.03875301]), array([1.52778919e-15]))","(array([8.81804801e-23]), array([4.56712207e-23]))","(array([3.8358151e-22]), array([-1.62902761e-22]))","(array([5.23123548e-23]), array([5.06936782e-23]))","(array([0.0017472]), array([-3.44321024e-16]))","(array([0.00410357]), array([7.23802157e-16]))","(array([0.00585267]), array([1.30264521e-15]))","(array([0.00923285]), array([8.24678306e-16]))","(array([0.01742966]), array([1.95853794e-15]))","(array([0.02821542]), array([1.81927058e-15]))","(array([0.03875301]), array([1.08779325e-15]))"
(0.014818479465702037+0j),[1.73429734e-15],[1.],[-0.24147806],[1.],"(array([0.04945698]), array([7.01216585e-16]))","(array([3.37487766e-22]), array([-7.77985494e-23]))","(array([8.43153242e-22]), array([4.88835936e-23]))","(array([0.0017472]), array([-3.66730182e-16]))","(array([0.00410357]), array([7.8303254e-16]))","(array([0.00585267]), array([1.38070556e-15]))","(array([0.00923285]), array([7.81387872e-16]))","(array([0.01742966]), array([1.87229213e-15]))","(array([0.02821542]), array([1.53253574e-15]))","(array([0.03875301]), array([6.32513739e-16]))","(array([0.04945698]), array([4.43031825e-16]))"
(0.026999631298114755+0j),[-2.15505869e-16],[1.],[-0.32379132],[1.],"(array([0.06377314]), array([-8.12829978e-17]))","(array([8.0946088e-22]), array([2.83752246e-23]))","(array([0.0017472]), array([-3.76457668e-16]))","(array([0.00410357]), array([8.19390158e-16]))","(array([0.00585267]), array([1.41993617e-15]))","(array([0.00923285]), array([6.54926102e-16]))","(array([0.01742966]), array([1.87701222e-15]))","(array([0.02821542]), array([1.43536303e-15]))","(array([0.03875301]), array([9.03711153e-16]))","(array([0.04945698]), array([6.358837e-16]))","(array([0.06377314]), array([-3.98593814e-16]))"
(0.04178649963052723+0j),[-1.03989136e-14],[1.],[-0.39936086],[1.],"(array([0.08158083]), array([-1.98706393e-15]))","(array([0.0017472]), array([-3.80292549e-16]))","(array([0.00410357]), array([7.78452226e-16]))","(array([0.00585267]), array([1.24880037e-15]))","(array([0.00923285]), array([2.33068959e-16]))","(array([0.01742966]), array([1.22274515e-15]))","(array([0.02821542]), array([2.57317536e-16]))","(array([0.03875301]), array([4.86499186e-16]))","(array([0.04945698]), array([8.56211657e-17]))","(array([0.06377314]), array([-8.24150796e-16]))","(array([0.08158083]), array([-2.40672158e-15]))"
