Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.00045636070510449714+0j),[-7.34340325e-16],[1.],[-0.04271534],[1.],"(array([0.00240833]), array([0.00417135]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00481666]), array([-4.16333634e-17]))"
(0.0017181103754864099+0j),[7.93012095e-16],[1.],[-0.08282642],[1.],"(array([0.00707806]), array([0.01225955]))","(array([2.36638725e-31]), array([-9.35459961e-32]))","(array([-2.08727739e-38]), array([-3.9497314e-38]))","(array([2.31461175e-39]), array([3.63044961e-39]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.]), array([0.]))","(array([0.00481666]), array([1.33356867e-16]))","(array([0.01415611]), array([1.03649728e-16]))"
(0.0018269260518312463+0j),[7.36853827e-15],[1.],[-0.08539765],[1.],"(array([0.00948317]), array([0.01642534]))","(array([2.4970259e-23]), array([-4.75240229e-24]))","(array([3.64242589e-23]), array([-2.10423104e-23]))","(array([1.46169576e-23]), array([-2.25518977e-23]))","(array([1.65680296e-23]), array([-1.96099461e-23]))","(array([-3.13559607e-23]), array([1.78005501e-23]))","(array([9.52316024e-24]), array([1.35909456e-24]))","(array([-2.01971057e-28]), array([3.99633957e-26]))","(array([0.00481666]), array([1.15359111e-16]))","(array([0.01415611]), array([1.25333771e-16]))","(array([0.01896634]), array([1.09287579e-15]))"
(0.0037599078400772155+0j),[1.41742754e-14],[1.],[-0.12238756],[1.],"(array([0.01171475]), array([0.02029054]))","(array([9.57610951e-23]), array([-2.05984824e-23]))","(array([2.37528767e-23]), array([-7.22048823e-23]))","(array([4.85685996e-23]), array([-3.59327877e-23]))","(array([-5.1510908e-23]), array([2.99739014e-23]))","(array([8.86860471e-24]), array([1.38403902e-24]))","(array([-5.96125533e-25]), array([5.26334865e-25]))","(array([0.00481666]), array([1.08420217e-17]))","(array([0.01415611]), array([4.73579509e-16]))","(array([0.01896634]), array([3.8424125e-16]))","(array([0.0234295]), array([3.06525638e-15]))"
(0.006248652697833621+0j),[2.00638446e-14],[1.],[-0.15755924],[1.],"(array([0.01578302]), array([0.027337]))","(array([1.70811805e-23]), array([-6.37451821e-23]))","(array([-5.58395606e-23]), array([3.42511829e-23]))","(array([-2.48672195e-22]), array([8.83838305e-23]))","(array([9.04664423e-23]), array([-1.01290405e-22]))","(array([-8.11423462e-24]), array([4.58309178e-24]))","(array([0.00481666]), array([5.6378513e-18]))","(array([0.01415611]), array([4.63604849e-16]))","(array([0.01896634]), array([1.26634814e-16]))","(array([0.0234295]), array([3.27602528e-15]))","(array([0.03156605]), array([4.48079074e-15]))"
(0.009193467832731157+0j),[1.61677949e-14],[1.],[-0.19078957],[1.],"(array([0.01963926]), array([0.03401619]))","(array([4.67957115e-22]), array([-7.39679843e-22]))","(array([-5.87150904e-24]), array([9.63953569e-25]))","(array([-1.99965285e-22]), array([4.48397498e-23]))","(array([2.4552912e-23]), array([-5.55604826e-23]))","(array([0.00481666]), array([7.76288755e-17]))","(array([0.01415611]), array([4.44522891e-16]))","(array([0.01896634]), array([2.63677968e-16]))","(array([0.0234295]), array([2.48932819e-15]))","(array([0.03156605]), array([4.69676381e-15]))","(array([0.03927851]), array([4.49466853e-15]))"
(0.008324725266257804+0j),[2.47230041e-14],[1.],[-0.18154987],[1.],"(array([0.02098961]), array([0.03635507]))","(array([1.445959e-23]), array([2.03122355e-23]))","(array([-2.30912379e-22]), array([-8.00769096e-22]))","(array([-2.64465161e-22]), array([7.71944875e-24]))","(array([0.00481666]), array([1.89084859e-16]))","(array([0.01415611]), array([6.92154667e-16]))","(array([0.01896634]), array([2.60208521e-16]))","(array([0.0234295]), array([2.46157261e-15]))","(array([0.03156605]), array([5.2683552e-15]))","(array([0.03927851]), array([5.19202736e-15]))","(array([0.04197921]), array([5.87030424e-15]))"
(0.01137995877607334+0j),[2.78898477e-14],[1.],[-0.21191736],[1.],"(array([0.02218261]), array([0.03842141]))","(array([1.40892798e-23]), array([-1.17571718e-21]))","(array([6.34110948e-22]), array([1.96109918e-21]))","(array([0.00481666]), array([-3.50630983e-16]))","(array([0.01415611]), array([-7.70217223e-16]))","(array([0.01896634]), array([-7.63278329e-17]))","(array([0.0234295]), array([3.39311912e-15]))","(array([0.03156605]), array([6.10102247e-15]))","(array([0.03927851]), array([6.02295991e-15]))","(array([0.04197921]), array([6.50521303e-15]))","(array([0.04436522]), array([6.87644386e-15]))"
(0.014989975903447111+0j),[3.08567606e-14],[1.],[-0.24271401],[1.],"(array([0.025631]), array([0.04439419]))","(array([3.41686097e-22]), array([1.7405224e-21]))","(array([0.00481666]), array([-4.56232274e-16]))","(array([0.01415611]), array([-1.27111863e-15]))","(array([0.01896634]), array([-1.00180281e-15]))","(array([0.0234295]), array([3.04964387e-15]))","(array([0.03156605]), array([5.84775284e-15]))","(array([0.03927851]), array([5.62744296e-15]))","(array([0.04197921]), array([6.5763367e-15]))","(array([0.04436522]), array([7.08981485e-15]))","(array([0.051262]), array([7.61023189e-15]))"
(0.01884240687103451+0j),[3.17272826e-14],[1.],[-0.2714819],[1.],"(array([0.02898882]), array([0.05021011]))","(array([0.00481666]), array([-4.58834359e-16]))","(array([0.01415611]), array([-1.27328703e-15]))","(array([0.01896634]), array([-1.01741532e-15]))","(array([0.0234295]), array([3.155462e-15]))","(array([0.03156605]), array([5.93362165e-15]))","(array([0.03927851]), array([5.84254867e-15]))","(array([0.04197921]), array([6.59541866e-15]))","(array([0.04436522]), array([7.54084295e-15]))","(array([0.051262]), array([7.77676534e-15]))","(array([0.05797764]), array([6.85389245e-15]))"
