Es,Sx,Sxx,Sy,Syy,PQ-10,PQ-9,PQ-8,PQ-7,PQ-6,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.045181179928635316+0j),[-1.34143502e-14],[1.],[-0.41378699],[1.],"(array([0.09342692]), array([-1.62977984e-15]))","(array([0.00410357]), array([-1.87507774e-15]))","(array([0.00585267]), array([-1.71701287e-15]))","(array([0.00923285]), array([-5.96165475e-15]))","(array([0.01742966]), array([-5.93952345e-15]))","(array([0.02821542]), array([-1.75470694e-15]))","(array([0.03875301]), array([-2.78717767e-15]))","(array([0.04945698]), array([-3.91789735e-15]))","(array([0.06377314]), array([-3.31019507e-15]))","(array([0.08158083]), array([-2.9208947e-15]))","(array([0.09167971]), array([-2.85319342e-15]))"
(0.0621066995166183+0j),[-1.27021028e-14],[1.],[-0.48028798],[1.],"(array([0.10495894]), array([-5.15485268e-15]))","(array([0.00585267]), array([-1.73226665e-15]))","(array([0.00923285]), array([-6.98381872e-15]))","(array([0.01742966]), array([-3.97962423e-15]))","(array([0.02821542]), array([-1.5507279e-15]))","(array([0.03875301]), array([-3.96864141e-15]))","(array([0.04945698]), array([-3.68667581e-15]))","(array([0.06377314]), array([-2.54532971e-15]))","(array([0.08158083]), array([-2.80874638e-15]))","(array([0.09167971]), array([-3.47160092e-15]))","(array([0.10085537]), array([-3.25952986e-15]))"
(0.06819113044470186+0j),[-1.10875092e-14],[1.],[-0.50042246],[1.],"(array([0.11642787]), array([-3.49190658e-15]))","(array([0.00923285]), array([-7.52888802e-15]))","(array([0.01742966]), array([-3.89974205e-15]))","(array([0.02821542]), array([-2.46334356e-15]))","(array([0.03875301]), array([-3.24642368e-15]))","(array([0.04945698]), array([-3.92383023e-15]))","(array([0.06377314]), array([-1.15777009e-15]))","(array([0.08158083]), array([-5.82543757e-15]))","(array([0.09167971]), array([-2.07443072e-15]))","(array([0.10085537]), array([-2.52947662e-15]))","(array([0.11057519]), array([-2.10026169e-15]))"
(0.06531730097739505+0j),[-8.90606416e-15],[1.],[-0.48897714],[1.],"(array([0.1207785]), array([-6.86526288e-15]))","(array([0.01742966]), array([-3.13943288e-15]))","(array([0.02821542]), array([-4.13881573e-15]))","(array([0.03875301]), array([-3.85092383e-15]))","(array([0.04945698]), array([-4.64747774e-15]))","(array([0.06377314]), array([-9.66404488e-16]))","(array([0.08158083]), array([-5.70087501e-15]))","(array([0.09167971]), array([-2.45336386e-15]))","(array([0.10085537]), array([-2.17976876e-15]))","(array([0.11057519]), array([-1.91904227e-15]))","(array([0.11154565]), array([-2.1461125e-15]))"
(0.06036009209210516+0j),[-8.97199152e-15],[1.],[-0.46981187],[1.],"(array([0.12552587]), array([-4.52908241e-15]))","(array([0.02821542]), array([-4.32177516e-15]))","(array([0.03875301]), array([-6.2346015e-15]))","(array([0.04945698]), array([-4.02842219e-15]))","(array([0.06377314]), array([-2.34840956e-15]))","(array([0.08158083]), array([-6.56492598e-15]))","(array([0.09167971]), array([-2.55727995e-15]))","(array([0.10085537]), array([-1.35858626e-15]))","(array([0.11057519]), array([-3.52764958e-15]))","(array([0.11154565]), array([-2.37994786e-15]))","(array([0.10809621]), array([-1.32247914e-15]))"
(0.06194840308624452+0j),[-6.97454549e-15],[1.],[-0.47480006],[1.],"(array([0.13471305]), array([-3.44638615e-15]))","(array([0.03875301]), array([-5.82256123e-15]))","(array([0.04945698]), array([-4.44849881e-15]))","(array([0.06377314]), array([-3.02227224e-15]))","(array([0.08158083]), array([-7.23214363e-15]))","(array([0.09167971]), array([-3.15076622e-15]))","(array([0.10085537]), array([-9.97360077e-16]))","(array([0.11057519]), array([-3.82534758e-15]))","(array([0.11154565]), array([-2.58636212e-15]))","(array([0.10809621]), array([-2.11069657e-16]))","(array([0.10649764]), array([-1.68009828e-15]))"
(0.07080127516764952+0j),[-7.15995212e-15],[1.],[-0.50507698],[1.],"(array([0.14924146]), array([-1.01733035e-14]))","(array([0.04945698]), array([-5.43600024e-15]))","(array([0.06377314]), array([-3.3333428e-15]))","(array([0.08158083]), array([-7.89322907e-15]))","(array([0.09167971]), array([-3.23309095e-15]))","(array([0.10085537]), array([-5.67393129e-16]))","(array([0.11057519]), array([-3.70568339e-15]))","(array([0.11154565]), array([-4.22560091e-15]))","(array([0.10809621]), array([2.18582748e-16]))","(array([0.10649764]), array([-1.94313986e-15]))","(array([0.11048847]), array([-1.15569217e-15]))"
(0.07566583085817317+0j),[-7.31602965e-15],[1.],[-0.51999756],[1.],"(array([0.16502958]), array([-4.7524434e-15]))","(array([0.06377314]), array([-5.49867257e-15]))","(array([0.08158083]), array([-8.85705699e-15]))","(array([0.09167971]), array([-2.74049405e-15]))","(array([0.10085537]), array([-1.76516052e-15]))","(array([0.11057519]), array([-2.99311216e-15]))","(array([0.11154565]), array([-3.16692472e-15]))","(array([0.10809621]), array([8.26907647e-16]))","(array([0.10649764]), array([-2.74866079e-15]))","(array([0.11048847]), array([-9.18781831e-17]))","(array([0.11557262]), array([-1.23426704e-15]))"
(0.07449084406377757+0j),[-5.63895537e-15],[1.],[-0.51490745],[1.],"(array([0.18044606]), array([-5.83647216e-15]))","(array([0.08158083]), array([-1.07379596e-14]))","(array([0.09167971]), array([-1.01198218e-15]))","(array([0.10085537]), array([-1.83430762e-15]))","(array([0.11057519]), array([-3.96820148e-15]))","(array([0.11154565]), array([-3.71492393e-15]))","(array([0.10809621]), array([1.8155631e-15]))","(array([0.10649764]), array([-2.78459666e-15]))","(array([0.11048847]), array([-1.25996924e-15]))","(array([0.11557262]), array([-2.00262314e-15]))","(array([0.11667296]), array([-1.18684241e-15]))"
(0.07948209235916039+0j),[-4.24992653e-15],[1.],[-0.52990176],[1.],"(array([0.19937628]), array([-1.26284314e-14]))","(array([0.09167971]), array([-1.65451133e-15]))","(array([0.10085537]), array([-1.84540918e-15]))","(array([0.11057519]), array([-3.53750361e-15]))","(array([0.11154565]), array([-3.05238165e-15]))","(array([0.10809621]), array([1.97232469e-15]))","(array([0.10649764]), array([-2.19847428e-15]))","(array([0.11048847]), array([-1.62872248e-15]))","(array([0.11557262]), array([-2.02664211e-15]))","(array([0.11667296]), array([-1.52921877e-15]))","(array([0.11779552]), array([-2.01645979e-15]))"
